AP02_010725.csv;;Schick;30.07.2025 13:39:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,6191
191;1,4369
192;1,2613
193;1,1087
194;0,9855
195;0,8848
196;0,819
197;0,764
198;0,7066
199;0,6637
200;0,6309
201;0,6036
202;0,5806
203;0,5597
204;0,54
205;0,5242
206;0,5078
207;0,4921
208;0,479
209;0,4654
210;0,4528
211;0,4397
212;0,4287
213;0,4171
214;0,4043
215;0,3929
216;0,3805
217;0,37
218;0,3592
219;0,3485
220;0,3388
221;0,33
222;0,3212
223;0,3131
224;0,3059
225;0,2982
226;0,2913
227;0,2858
228;0,2806
229;0,2748
230;0,2697
231;0,2636
232;0,2588
233;0,2551
234;0,2505
235;0,2469
236;0,2434
237;0,24
238;0,2364
239;0,2334
240;0,2307
241;0,2285
242;0,2261
243;0,2232
244;0,2209
245;0,2193
246;0,2177
247;0,2159
248;0,214
249;0,2122
250;0,2105
251;0,2089
252;0,2075
253;0,2056
254;0,2036
255;0,202
256;0,2002
257;0,1983
258;0,197
259;0,1955
260;0,1932
261;0,1914
262;0,1893
263;0,1869
264;0,1849
265;0,1828
266;0,1802
267;0,1779
268;0,1753
269;0,1731
270;0,1713
271;0,169
272;0,1666
273;0,1641
274;0,1616
275;0,1592
276;0,1571
277;0,1544
278;0,1516
279;0,1492
280;0,1472
281;0,145
282;0,1425
283;0,1403
284;0,1379
285;0,1358
286;0,1337
287;0,1311
288;0,1288
289;0,1269
290;0,1245
291;0,1222
292;0,1202
293;0,1183
294;0,1162
295;0,1144
296;0,1126
297;0,1107
298;0,1089
299;0,107
300;0,1053
301;0,1036
302;0,1017
303;0,0998
304;0,0984
305;0,0967
306;0,0951
307;0,0937
308;0,0922
309;0,0908
310;0,0893
311;0,0883
312;0,086
313;0,0851
314;0,0839
315;0,0828
316;0,0816
317;0,0801
318;0,0791
319;0,078
320;0,0764
321;0,0754
322;0,0742
323;0,073
324;0,072
325;0,0706
326;0,0698
327;0,0686
328;0,0675
329;0,0665
330;0,0655
331;0,0647
332;0,0638
333;0,0629
334;0,062
335;0,061
336;0,0601
337;0,0593
338;0,0583
339;0,0575
340;0,0564
341;0,0558
342;0,055
343;0,0541
344;0,0535
345;0,0527
346;0,052
347;0,0509
348;0,0503
349;0,0491
350;0,0487
351;0,048
352;0,047
353;0,0465
354;0,0459
355;0,0451
356;0,0444
357;0,0438
358;0,0431
359;0,0423
360;0,0417
361;0,0411
362;0,0407
363;0,04
364;0,039
365;0,0385
366;0,038
367;0,0371
368;0,0369
369;0,0362
370;0,0354
371;0,0349
372;0,0343
373;0,0338
374;0,0331
375;0,0328
376;0,0321
377;0,0318
378;0,0312
379;0,0307
380;0,0301
381;0,0296
382;0,029
383;0,0288
384;0,0282
385;0,0277
386;0,0271
387;0,0268
388;0,0265
389;0,026
390;0,0253
391;0,0251
392;0,0247
393;0,0242
394;0,0239
395;0,0234
396;0,0231
397;0,0225
398;0,0223
399;0,0218
400;0,0216
401;0,0213
402;0,0208
403;0,0206
404;0,0205
405;0,0199
406;0,0196
407;0,0194
408;0,019
409;0,0189
410;0,0185
411;0,018
412;0,0179
413;0,0177
414;0,0173
415;0,0172
416;0,017
417;0,0167
418;0,0164
419;0,0162
420;0,0159
421;0,0159
422;0,0157
423;0,0153
424;0,0153
425;0,015
426;0,0148
427;0,0146
428;0,0144
429;0,0141
430;0,0141
431;0,0137
432;0,0135
433;0,0133
434;0,0131
435;0,013
436;0,0129
437;0,0126
438;0,0127
439;0,0125
440;0,0122
441;0,0121
442;0,0119
443;0,0114
444;0,0116
445;0,0116
446;0,0113
447;0,0112
448;0,0109
449;0,0108
450;0,0107
451;0,0106
452;0,0105
453;0,0105
454;0,01
455;0,01
456;0,01
457;0,0096
458;0,0099
459;0,0094
460;0,0096
461;0,0095
462;0,0094
463;0,0091
464;0,0093
465;0,0091
466;0,0088
467;0,0088
468;0,009
469;0,0086
470;0,0084
471;0,0085
472;0,0085
473;0,0082
474;0,0082
475;0,0078
476;0,008
477;0,0081
478;0,0077
479;0,0077
480;0,0076
481;0,0077
482;0,0078
483;0,0068
484;0,0073
485;0,0074
486;0,0073
487;0,0072
488;0,0071
489;0,0071
490;0,0069
491;0,007
492;0,0069
493;0,0067
494;0,0068
495;0,0062
496;0,0064
497;0,0067
498;0,0062
499;0,0066
500;0,0063
501;0,0062
502;0,0062
503;0,0061
504;0,006
505;0,0061
506;0,006
507;0,0057
508;0,0056
509;0,0058
510;0,0055
511;0,0054
512;0,0054
513;0,0058
514;0,0058
515;0,0056
516;0,0053
517;0,0053
518;0,0051
519;0,0054
520;0,0052
521;0,005
522;0,0053
523;0,0049
524;0,0048
525;0,0054
526;0,0048
527;0,005
528;0,005
529;0,0049
530;0,005
531;0,005
532;0,0046
533;0,0048
534;0,0047
535;0,0044
536;0,0047
537;0,0048
538;0,0044
539;0,0048
540;0,0044
541;0,0044
542;0,0044
543;0,0042
544;0,0044
545;0,004
546;0,0042
547;0,004
548;0,0045
549;0,0041
550;0,0042
551;0,0039
552;0,0042
553;0,0045
554;0,0037
555;0,0041
556;0,0043
557;0,0036
558;0,0035
559;0,0039
560;0,0032
561;0,0039
562;0,0041
563;0,0035
564;0,0036
565;0,0038
566;0,0036
567;0,0037
568;0,0035
569;0,0039
570;0,004
571;0,0033
572;0,0034
573;0,0035
574;0,0033
575;0,0035
576;0,0038
577;0,0036
578;0,0039
579;0,0037
580;0,0027
581;0,0031
582;0,0033
583;0,0032
584;0,0031
585;0,003
586;0,0035
587;0,0034
588;0,0031
589;0,0035
590;0,0034
591;0,003
592;0,003
593;0,0029
594;0,0027
595;0,0034
596;0,0027
597;0,0032
598;0,003
599;0,003
600;0,003
601;0,0026
602;0,0027
603;0,0028
604;0,003
605;0,0024
606;0,0028
607;0,0026
608;0,0027
609;0,0033
610;0,0026
611;0,003
612;0,0029
613;0,0029
614;0,0024
615;0,0027
616;0,0026
617;0,0023
618;0,0028
619;0,0022
620;0,0027
