AP02_240625.csv;;Schick;30.07.2025 13:39:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5163
191;1,3288
192;1,1512
193;0,9942
194;0,8685
195;0,7655
196;0,6984
197;0,6434
198;0,5847
199;0,5415
200;0,5089
201;0,4821
202;0,4598
203;0,4402
204;0,4223
205;0,4082
206;0,3943
207;0,3812
208;0,3703
209;0,3597
210;0,3498
211;0,3396
212;0,3309
213;0,3227
214;0,3133
215;0,3042
216;0,2949
217;0,2869
218;0,2791
219;0,2707
220;0,2631
221;0,2563
222;0,2495
223;0,2432
224;0,2374
225;0,2313
226;0,2257
227;0,2212
228;0,2171
229;0,2123
230;0,2079
231;0,2027
232;0,1986
233;0,1954
234;0,1915
235;0,1884
236;0,1853
237;0,1823
238;0,1791
239;0,1766
240;0,1742
241;0,1724
242;0,1703
243;0,1678
244;0,1656
245;0,1642
246;0,163
247;0,1614
248;0,1598
249;0,1582
250;0,1568
251;0,1554
252;0,1541
253;0,1527
254;0,1508
255;0,1495
256;0,1479
257;0,1464
258;0,1452
259;0,1441
260;0,1422
261;0,1408
262;0,1392
263;0,1371
264;0,1353
265;0,1337
266;0,1316
267;0,1298
268;0,1277
269;0,1258
270;0,1246
271;0,1227
272;0,1207
273;0,1187
274;0,1167
275;0,1148
276;0,1131
277;0,111
278;0,1088
279;0,1068
280;0,1052
281;0,1035
282;0,1016
283;0,0997
284;0,0978
285;0,0961
286;0,0944
287;0,0924
288;0,0905
289;0,089
290;0,0871
291;0,0853
292;0,0837
293;0,0823
294;0,0806
295;0,0792
296;0,0777
297;0,0763
298;0,0748
299;0,0733
300;0,0721
301;0,0708
302;0,0692
303;0,0679
304;0,0668
305;0,0653
306;0,0642
307;0,0632
308;0,0621
309;0,061
310;0,0599
311;0,059
312;0,0572
313;0,0566
314;0,0557
315;0,055
316;0,054
317;0,053
318;0,0522
319;0,0514
320;0,0502
321;0,0494
322;0,0485
323;0,0477
324;0,0469
325;0,0459
326;0,0452
327;0,0444
328;0,0436
329;0,0428
330;0,0421
331;0,0414
332;0,0408
333;0,0401
334;0,0393
335;0,0387
336;0,0382
337;0,0373
338;0,0367
339;0,0361
340;0,0352
341;0,0349
342;0,0342
343;0,0337
344;0,033
345;0,0326
346;0,032
347;0,0313
348;0,0309
349;0,03
350;0,0296
351;0,0293
352;0,0281
353;0,0282
354;0,0276
355;0,027
356;0,0267
357;0,0262
358;0,0256
359;0,0252
360;0,0248
361;0,0242
362;0,024
363;0,0234
364;0,0226
365;0,0226
366;0,0224
367;0,0217
368;0,0214
369;0,021
370;0,0206
371;0,0202
372;0,0196
373;0,0192
374;0,0192
375;0,0187
376;0,0185
377;0,0183
378;0,0177
379;0,0175
380;0,0173
381;0,0171
382;0,0164
383;0,0163
384;0,0159
385;0,0158
386;0,0154
387;0,0151
388;0,0148
389;0,0147
390;0,0142
391;0,0143
392;0,0139
393;0,0136
394;0,0134
395;0,013
396;0,0128
397;0,0127
