Wavelength_nm,Absorbance,Date,Sample
278,0.1417,2025-06-10,SP02
279,0.1481,2025-06-10,SP01
279,0.1392,2025-06-10,SP02
280,0.146,2025-06-10,SP01
280,0.1372,2025-06-10,SP02
281,0.1441,2025-06-10,SP01
281,0.135,2025-06-10,SP02
282,0.1418,2025-06-10,SP01
282,0.1328,2025-06-10,SP02
283,0.1392,2025-06-10,SP01
283,0.1305,2025-06-10,SP02
284,0.1367,2025-06-10,SP01
284,0.128,2025-06-10,SP02
285,0.1346,2025-06-10,SP01
285,0.1259,2025-06-10,SP02
286,0.1326,2025-06-10,SP01
286,0.1237,2025-06-10,SP02
287,0.1298,2025-06-10,SP01
287,0.1212,2025-06-10,SP02
288,0.1271,2025-06-10,SP01
288,0.1189,2025-06-10,SP02
289,0.1249,2025-06-10,SP01
289,0.1166,2025-06-10,SP02
290,0.1229,2025-06-10,SP01
290,0.1144,2025-06-10,SP02
291,0.1204,2025-06-10,SP01
291,0.112,2025-06-10,SP02
292,0.1179,2025-06-10,SP01
292,0.1098,2025-06-10,SP02
293,0.1158,2025-06-10,SP01
293,0.1077,2025-06-10,SP02
294,0.1139,2025-06-10,SP01
294,0.1057,2025-06-10,SP02
295,0.1121,2025-06-10,SP01
295,0.1039,2025-06-10,SP02
296,0.1104,2025-06-10,SP01
296,0.102,2025-06-10,SP02
297,0.1087,2025-06-10,SP01
297,0.1002,2025-06-10,SP02
298,0.1067,2025-06-10,SP01
298,0.0982,2025-06-10,SP02
299,0.1046,2025-06-10,SP01
299,0.0963,2025-06-10,SP02
300,0.1029,2025-06-10,SP01
300,0.0947,2025-06-10,SP02
301,0.1012,2025-06-10,SP01
301,0.093,2025-06-10,SP02
302,0.0994,2025-06-10,SP01
302,0.0912,2025-06-10,SP02
303,0.0976,2025-06-10,SP01
303,0.0897,2025-06-10,SP02
304,0.0961,2025-06-10,SP01
304,0.0882,2025-06-10,SP02
305,0.0944,2025-06-10,SP01
305,0.0866,2025-06-10,SP02
306,0.0928,2025-06-10,SP01
306,0.0853,2025-06-10,SP02
307,0.0914,2025-06-10,SP01
307,0.0839,2025-06-10,SP02
308,0.0903,2025-06-10,SP01
308,0.0824,2025-06-10,SP02
309,0.089,2025-06-10,SP01
309,0.0812,2025-06-10,SP02
310,0.0877,2025-06-10,SP01
310,0.08,2025-06-10,SP02
311,0.0865,2025-06-10,SP01
311,0.0787,2025-06-10,SP02
312,0.0843,2025-06-10,SP01
312,0.0769,2025-06-10,SP02
313,0.0833,2025-06-10,SP01
313,0.0762,2025-06-10,SP02
314,0.0827,2025-06-10,SP01
314,0.075,2025-06-10,SP02
315,0.0819,2025-06-10,SP01
315,0.0741,2025-06-10,SP02
316,0.0805,2025-06-10,SP01
316,0.073,2025-06-10,SP02
317,0.0791,2025-06-10,SP01
317,0.0717,2025-06-10,SP02
318,0.0779,2025-06-10,SP01
318,0.0706,2025-06-10,SP02
319,0.0772,2025-06-10,SP01
319,0.0699,2025-06-10,SP02
320,0.0761,2025-06-10,SP01
320,0.0685,2025-06-10,SP02
321,0.0743,2025-06-10,SP01
321,0.0675,2025-06-10,SP02
322,0.0732,2025-06-10,SP01
322,0.0664,2025-06-10,SP02
323,0.0723,2025-06-10,SP01
323,0.0653,2025-06-10,SP02
324,0.0718,2025-06-10,SP01
324,0.0643,2025-06-10,SP02
