SP01_1006.csv;;Schick;17.06.2025 11:08:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,557
191;1,3837
192;1,2368
193;1,0852
194;0,9645
195;0,8747
196;0,7999
197;0,748
198;0,7
199;0,6503
200;0,6137
201;0,5864
202;0,5601
203;0,537
204;0,5165
205;0,4966
206;0,4803
207;0,4634
208;0,4485
209;0,4358
210;0,423
211;0,4109
212;0,3999
213;0,3904
214;0,3804
215;0,3698
216;0,3599
217;0,3511
218;0,3429
219;0,3345
220;0,3263
221;0,3193
222;0,3123
223;0,3058
224;0,2994
225;0,293
226;0,2869
227;0,2812
228;0,2774
229;0,2728
230;0,2671
231;0,2616
232;0,2559
233;0,2518
234;0,2472
235;0,2434
236;0,2395
237;0,2358
238;0,232
239;0,228
240;0,2248
241;0,2228
242;0,2211
243;0,2176
244;0,2143
245;0,2124
246;0,2112
247;0,2098
248;0,2082
249;0,2057
250;0,2037
251;0,2025
252;0,2013
253;0,1993
254;0,1975
255;0,1955
256;0,194
257;0,1921
258;0,1906
259;0,19
260;0,1887
261;0,1864
262;0,1845
263;0,1825
264;0,1802
265;0,1785
266;0,1767
267;0,1741
268;0,1719
269;0,1696
270;0,1683
271;0,1668
272;0,1643
273;0,1618
274;0,1594
275;0,1574
276;0,1555
277;0,1531
278;0,1505
279;0,1481
280;0,146
281;0,1441
282;0,1418
283;0,1392
284;0,1367
285;0,1346
286;0,1326
287;0,1298
288;0,1271
289;0,1249
290;0,1229
291;0,1204
292;0,1179
293;0,1158
294;0,1139
295;0,1121
296;0,1104
297;0,1087
298;0,1067
299;0,1046
300;0,1029
301;0,1012
302;0,0994
303;0,0976
304;0,0961
305;0,0944
306;0,0928
307;0,0914
308;0,0903
309;0,089
310;0,0877
311;0,0865
312;0,0843
313;0,0833
314;0,0827
315;0,0819
316;0,0805
317;0,0791
318;0,0779
319;0,0772
320;0,0761
321;0,0743
322;0,0732
323;0,0723
324;0,0718
325;0,0704
326;0,0694
327;0,0683
328;0,0671
329;0,066
330;0,0651
331;0,0642
332;0,0633
333;0,0627
334;0,062
335;0,0608
336;0,0599
337;0,0591
338;0,0581
339;0,0577
340;0,0567
341;0,056
342;0,055
343;0,054
344;0,0536
345;0,0535
346;0,0527
347;0,0519
348;0,0512
349;0,0503
350;0,0496
351;0,0489
352;0,0479
353;0,0474
354;0,0472
355;0,0464
356;0,0456
357;0,0454
358;0,0451
359;0,044
360;0,0434
361;0,0431
362;0,0434
363;0,0424
364;0,0415
365;0,0411
366;0,0405
367;0,04
368;0,0396
369;0,0391
370;0,0383
