SP02_080725.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,4541
191;1,2972
192;1,1526
193;1,034
194;0,9417
195;0,8668
196;0,8186
197;0,7762
198;0,731
199;0,6971
200;0,6697
201;0,6449
202;0,6233
203;0,6024
204;0,5819
205;0,5652
206;0,5473
207;0,5307
208;0,5164
209;0,5023
210;0,4895
211;0,4759
212;0,4654
213;0,4546
214;0,4427
215;0,4323
216;0,4213
217;0,4119
218;0,4027
219;0,3932
220;0,3848
221;0,3772
222;0,3694
223;0,362
224;0,3552
225;0,348
226;0,3412
227;0,3361
228;0,3309
229;0,3247
230;0,3193
231;0,3124
232;0,3072
233;0,3027
234;0,2975
235;0,2934
236;0,2892
237;0,285
238;0,2808
239;0,2772
240;0,274
241;0,2715
242;0,2686
243;0,265
244;0,2623
245;0,2604
246;0,2586
247;0,2565
248;0,2541
249;0,2519
250;0,2501
251;0,2482
252;0,2464
253;0,2443
254;0,2419
255;0,2398
256;0,2379
257;0,2356
258;0,234
259;0,2324
260;0,2297
261;0,2275
262;0,225
263;0,2222
264;0,2199
265;0,2175
266;0,2144
267;0,2117
268;0,2086
269;0,2061
270;0,2041
271;0,2013
272;0,1983
273;0,1953
274;0,1924
275;0,1896
276;0,1869
277;0,1837
278;0,1805
279;0,1775
280;0,1749
281;0,172
282;0,1689
283;0,1661
284;0,1632
285;0,1605
286;0,1576
287;0,1543
288;0,1514
289;0,1488
290;0,1457
291;0,1429
292;0,1404
293;0,1379
294;0,1354
295;0,1331
296;0,1309
297;0,1286
298;0,1263
299;0,1239
300;0,1219
301;0,1199
302;0,1173
303;0,1154
304;0,1135
305;0,1113
306;0,1095
307;0,1078
308;0,106
309;0,1044
310;0,1028
311;0,1007
312;0,0992
313;0,0977
314;0,0962
315;0,0949
316;0,0933
317;0,0917
318;0,0903
319;0,0889
320;0,0871
321;0,0856
322;0,0841
323;0,083
324;0,0816
325;0,08
326;0,0786
327;0,0773
328;0,0759
329;0,0747
330;0,0735
331;0,0723
332;0,0714
333;0,0703
334;0,0692
335;0,068
336;0,067
337;0,0657
338;0,0649
339;0,0637
340;0,0627
341;0,0618
342;0,0607
343;0,0599
344;0,059
345;0,0582
346;0,0573
347;0,0564
348;0,0553
349;0,0544
350;0,0536
351;0,0528
352;0,0519
353;0,051
354;0,0505
355;0,0495
356;0,0488
357;0,0483
358;0,0475
359;0,0466
360;0,0459
361;0,0453
362;0,0447
363;0,0439
364;0,0429
365;0,0422
366;0,0419
367;0,0411
368;0,0402
369;0,0397
370;0,0388
371;0,0385
372;0,0379
373;0,0369
374;0,0364
375;0,0359
376;0,0353
377;0,0348
378;0,0344
379;0,0336
380;0,0332
381;0,0324
382;0,0321
383;0,0314
384;0,0308
385;0,0304
386;0,03
387;0,0295
388;0,0289
389;0,0285
390;0,0279
391;0,0276
392;0,0272
393;0,0266
394;0,0263
395;0,026
396;0,0252
397;0,0248
398;0,0247
399;0,024
400;0,0238
401;0,0233
402;0,0228
403;0,0228
404;0,0224
405;0,0219
406;0,0216
407;0,0214
408;0,0209
409;0,0204
410;0,0203
411;0,0196
412;0,0196
413;0,0192
414;0,0189
415;0,0186
416;0,0182
417;0,018
418;0,0178
419;0,0177
420;0,0173
421;0,0171
422;0,0169
423;0,0166
424;0,0163
425;0,0161
426;0,0157
427;0,0155
428;0,0152
429;0,015
430;0,0147
431;0,0143
432;0,0141
433;0,014
434;0,0137
435;0,0134
436;0,0135
437;0,0131
438;0,0127
439;0,0128
440;0,0127
441;0,0124
442;0,0121
443;0,0118
444;0,0118
445;0,0115
446;0,0113
447;0,0114
448;0,011
449;0,0109
450;0,0107
451;0,0104
452;0,0105
453;0,0105
454;0,0098
455;0,0098
456;0,0099
457;0,0097
458;0,0096
459;0,0095
460;0,0095
461;0,0094
462;0,0093
463;0,0091
464;0,0088
465;0,0088
466;0,0084
467;0,0086
468;0,0084
469;0,0081
470;0,0082
471;0,0082
472;0,0078
473;0,0078
474;0,0078
475;0,0077
476;0,0076
477;0,0074
478;0,0072
479;0,0073
480;0,0073
481;0,0072
482;0,007
483;0,0064
484;0,0068
485;0,0068
486;0,0067
487;0,0066
488;0,0065
489;0,0065
490;0,0062
491;0,0063
492;0,0061
493;0,0063
494;0,0063
495;0,006
496;0,0059
497;0,0059
498;0,0057
499;0,0056
500;0,0054
501;0,0052
502;0,0055
503;0,005
504;0,0054
505;0,0051
506;0,0053
507;0,0051
508;0,0047
509;0,0048
510;0,0048
511;0,0051
512;0,0048
513;0,0049
514;0,0048
515;0,0046
516;0,0042
517;0,0047
518;0,0045
519;0,0046
520;0,0045
521;0,0045
522;0,0044
523;0,0041
524;0,0042
525;0,0042
526;0,0042
527;0,0042
528;0,0042
529;0,0041
530;0,0041
531;0,004
532;0,0041
533;0,0042
534;0,0042
535;0,0035
536;0,0037
537;0,0034
538;0,0038
539;0,0039
540;0,0036
541;0,0037
542;0,0039
543;0,0036
544;0,0036
545;0,0036
546;0,0032
547;0,0032
548;0,0036
549;0,003
550;0,0034
551;0,0031
552;0,0031
553;0,0033
554;0,0032
555;0,0034
556;0,0037
557;0,0031
558;0,0035
559;0,0033
560;0,0031
561;0,0027
562;0,0034
563;0,0024
564;0,0028
565;0,0029
566;0,0025
567;0,0032
568;0,0029
569;0,0025
570;0,0028
571;0,0025
572;0,0026
573;0,0023
574;0,0023
575;0,0021
576;0,0029
577;0,0024
578;0,0023
579;0,0027
580;0,0027
581;0,0027
582;0,0024
583;0,0021
584;0,0021
585;0,0019
586;0,0021
587;0,0024
588;0,0026
589;0,0019
590;0,002
591;0,0021
592;0,0022
593;0,002
594;0,0019
595;0,0022
596;0,002
597;0,0017
598;0,0019
599;0,0019
600;0,0024
601;0,0022
602;0,0017
603;0,0018
604;0,0022
605;0,0016
606;0,0016
607;0,0016
608;0,0021
609;0,0014
610;0,0019
611;0,0013
612;0,0018
613;0,0018
614;0,0015
615;0,0015
616;0,0015
617;0,0017
618;0,0016
619;0,0015
620;0,0017
621;0,0013
622;0,0021
623;0,0015
624;0,0016
625;0,0018
