Location,Date,Wavelength_nm,Absorbance,PercentAbsorbed
SP,2025-06-10,190,1.5547,97.21191448385073
SP,2025-06-10,191,1.3815499999999998,95.84610684253755
SP,2025-06-10,192,1.2346,94.17352922748596
SP,2025-06-10,193,1.08345,91.74810818066568
SP,2025-06-10,194,0.9632499999999999,89.11692056959231
SP,2025-06-10,195,0.8738,86.62785945366788
SP,2025-06-10,196,0.7996000000000001,84.1364601604065
SP,2025-06-10,197,0.7475,82.11453285556328
SP,2025-06-10,198,0.6993499999999999,80.01746941255949
SP,2025-06-10,199,0.6503,77.62824781204726
SP,2025-06-10,200,0.61415,75.68634594176802
SP,2025-06-10,201,0.58635,74.0791044004635
SP,2025-06-10,202,0.56025,72.47356137720473
SP,2025-06-10,203,0.5372,70.97314081706074
SP,2025-06-10,204,0.5167999999999999,69.57713546674007
SP,2025-06-10,205,0.4968,68.14335425625538
SP,2025-06-10,206,0.48035,66.91356289760444
SP,2025-06-10,207,0.4635,65.60462795013225
SP,2025-06-10,208,0.4485,64.3959009964043
SP,2025-06-10,209,0.43535,63.301337782011245
SP,2025-06-10,210,0.42264999999999997,62.21232764818167
SP,2025-06-10,211,0.41015,61.108862330805316
SP,2025-06-10,212,0.39905,60.10202702641456
SP,2025-06-10,213,0.38895,59.163132537311256
SP,2025-06-10,214,0.37855,58.17326736315296
SP,2025-06-10,215,0.36795,57.13982496706579
SP,2025-06-10,216,0.35775,56.121141412583924
SP,2025-06-10,217,0.34845000000000004,55.171099740775276
SP,2025-06-10,218,0.33995,54.28486369068987
SP,2025-06-10,219,0.33130000000000004,53.365020613922894
SP,2025-06-10,220,0.32289999999999996,52.45407414116441
SP,2025-06-10,221,0.3156,51.64785322233036
SP,2025-06-10,222,0.30835,50.8336506385376
SP,2025-06-10,223,0.30169999999999997,50.0748529246472
SP,2025-06-10,224,0.29515,49.31601019471489
SP,2025-06-10,225,0.28864999999999996,48.55161044417001
SP,2025-06-10,226,0.2824,47.805671660556854
SP,2025-06-10,227,0.27665,47.10996746194242
SP,2025-06-10,228,0.2724,46.589237055816795
SP,2025-06-10,229,0.26749999999999996,45.98276637123989
SP,2025-06-10,230,0.26175000000000004,45.26275285165049
SP,2025-06-10,231,0.25625,44.56514038594586
SP,2025-06-10,232,0.25075000000000003,43.858949547072925
SP,2025-06-10,233,0.2466,43.31983181981547
SP,2025-06-10,234,0.24205,42.722964179049974
SP,2025-06-10,235,0.23815,42.20613598717666
SP,2025-06-10,236,0.23435,41.69839181680001
SP,2025-06-10,237,0.23070000000000002,41.206414745943576
SP,2025-06-10,238,0.227,40.7035379615231
SP,2025-06-10,239,0.22325,40.18970072398833
SP,2025-06-10,240,0.22010000000000002,39.754386463816644
SP,2025-06-10,241,0.21789999999999998,39.44811855135835
SP,2025-06-10,242,0.21585,39.16104696963467
SP,2025-06-10,243,0.21265,38.711610561248676
SP,2025-06-10,244,0.20965,38.28725088417393
SP,2025-06-10,245,0.20775,38.01667160882141
SP,2025-06-10,246,0.20625,37.801743796976865
SP,2025-06-10,247,0.20465,37.571840048327346
SP,2025-06-10,248,0.2031,37.3487205574598
SP,2025-06-10,249,0.20079999999999998,37.01637655695839
SP,2025-06-10,250,0.1989,36.74038779925858
SP,2025-06-10,251,0.1976,36.550582126427834
SP,2025-06-10,252,0.19625,36.35279157753512
SP,2025-06-10,253,0.1945,36.09622335750208
SP,2025-06-10,254,0.1928,35.84575009372875
SP,2025-06-10,255,0.19095,35.572121026511596
SP,2025-06-10,256,0.18945,35.34921028434809
SP,2025-06-10,257,0.18764999999999998,35.080854007798536
SP,2025-06-10,258,0.1861,34.84866588575886
SP,2025-06-10,259,0.18514999999999998,34.705427811377206
SP,2025-06-10,260,0.18375,34.494433181623386
SP,2025-06-10,261,0.1816,34.16959525989548
SP,2025-06-10,262,0.17975,33.88865762133217
SP,2025-06-10,263,0.1778,33.59123075033429
SP,2025-06-10,264,0.17565,33.26190063808245
SP,2025-06-10,265,0.1739,32.992354062532144
SP,2025-06-10,266,0.17195,32.690560281346144
SP,2025-06-10,267,0.16955,32.317898608833715
SP,2025-06-10,268,0.16735,31.974172384102605
SP,2025-06-10,269,0.16515000000000002,31.628863650080852
SP,2025-06-10,270,0.16360000000000002,31.383994551358246
SP,2025-06-10,271,0.1619,31.11452745607964
SP,2025-06-10,272,0.15955,30.74103845780091
SP,2025-06-10,273,0.1572,30.36551613984031
SP,2025-06-10,274,0.15494999999999998,30.004068402209064
SP,2025-06-10,275,0.1529,29.672802193286874
SP,2025-06-10,276,0.15084999999999998,29.339794956414405
SP,2025-06-10,277,0.14850000000000002,28.956498065956954
SP,2025-06-10,278,0.1461,28.563151232542317
SP,2025-06-10,279,0.14365,28.15892900951146
SP,2025-06-10,280,0.1416,27.81910069647096
SP,2025-06-10,281,0.13955,27.477321740316267
SP,2025-06-10,282,0.1373,27.100707530197997
SP,2025-06-10,283,0.13485,26.68855411408359
SP,2025-06-10,284,0.13235,26.265322518235674
SP,2025-06-10,285,0.13025,25.90792034291455
SP,2025-06-10,286,0.12815,25.54861211316964
SP,2025-06-10,287,0.1255,25.093192663226233
SP,2025-06-10,288,0.123,24.66108646445776
SP,2025-06-10,289,0.12075,24.26967374244437
SP,2025-06-10,290,0.11865,23.902428933228663
SP,2025-06-10,291,0.1162,23.47200969941242
SP,2025-06-10,292,0.11385,23.057041031652876
SP,2025-06-10,293,0.11175,22.68408787243234
SP,2025-06-10,294,0.10980000000000001,22.336071837236737
SP,2025-06-10,295,0.10800000000000001,22.01351380755106
SP,2025-06-10,296,0.10619999999999999,21.689443812079205
SP,2025-06-10,297,0.10445,21.373164870507374
SP,2025-06-10,298,0.10245,21.010239889295683
SP,2025-06-10,299,0.10045,20.645816422845563
SP,2025-06-10,300,0.0988,20.343842479610913
SP,2025-06-10,301,0.09709999999999999,20.031425779915537
SP,2025-06-10,302,0.0953,19.69929596949513
SP,2025-06-10,303,0.09365000000000001,19.393890016076227
SP,2025-06-10,304,0.09215000000000001,19.115005035137717
SP,2025-06-10,305,0.0905,18.80720144686662
SP,2025-06-10,306,0.08904999999999999,18.535913884729503
SP,2025-06-10,307,0.08765,18.272880967112528
SP,2025-06-10,308,0.08635000000000001,18.027541075790094
SP,2025-06-10,309,0.0851,17.791351044194876
SP,2025-06-10,310,0.08385000000000001,17.554479377528864
SP,2025-06-10,311,0.0826,17.316755334485237
SP,2025-06-10,312,0.0806,16.935441513566573
SP,2025-06-10,313,0.07975,16.77294851390664
SP,2025-06-10,314,0.07885,16.59980524254744
SP,2025-06-10,315,0.078,16.436328924724126
SP,2025-06-10,316,0.07675,16.19572180688978
SP,2025-06-10,317,0.0754,15.934894759044742
SP,2025-06-10,318,0.07425,15.712079773033887
SP,2025-06-10,319,0.07355,15.576114151080802
SP,2025-06-10,320,0.0723,15.332521830761099
SP,2025-06-10,321,0.0709,15.059794218353407
SP,2025-06-10,322,0.0698,14.844381273073198
SP,2025-06-10,323,0.0688,14.647921179495471
SP,2025-06-10,324,0.06805,14.499985210637078
SP,2025-06-10,325,0.06684999999999999,14.263745078699618
SP,2025-06-10,326,0.06570000000000001,14.036169136670768
SP,2025-06-10,327,0.06465,13.828165651475777
SP,2025-06-10,328,0.0636,13.619820302158054
SP,2025-06-10,329,0.06255,13.410804802609437
SP,2025-06-10,330,0.06165,13.231177652766895
SP,2025-06-10,331,0.06079999999999999,13.06126658212331
SP,2025-06-10,332,0.05985,12.870804683789395
SP,2025-06-10,333,0.0591,12.719963222501018
SP,2025-06-10,334,0.05845,12.589317943785051
SP,2025-06-10,335,0.057249999999999995,12.34745931745635
SP,2025-06-10,336,0.05645,12.186011517231659
SP,2025-06-10,337,0.05575,12.044516511482534
SP,2025-06-10,338,0.05475,11.841758181784723
SP,2025-06-10,339,0.054150000000000004,11.719555948067956
SP,2025-06-10,340,0.05325,11.536584499191981
SP,2025-06-10,341,0.0526,11.404164355206658
SP,2025-06-10,342,0.051699999999999996,11.220532160655855
SP,2025-06-10,343,0.05085,11.046831214654436
SP,2025-06-10,344,0.0503,10.933879187992257
SP,2025-06-10,345,0.049949999999999994,10.86166678759891
SP,2025-06-10,346,0.04925,10.718042593608612
SP,2025-06-10,347,0.0485,10.563806107159529
SP,2025-06-10,348,0.0478,10.419535757446152
SP,2025-06-10,349,0.047,10.254529765061449
SP,2025-06-10,350,0.0464,10.130610981312305
SP,2025-06-10,351,0.045700000000000005,9.985641840543774
SP,2025-06-10,352,0.0448,9.799059916497527
SP,2025-06-10,353,0.0443,9.6951524440203
SP,2025-06-10,354,0.04395,9.622117799482899
SP,2025-06-10,355,0.0432,9.4659832798282
SP,2025-06-10,356,0.0426,9.341117480457761
SP,2025-06-10,357,0.04225,9.267803723214419
SP,2025-06-10,358,0.041800000000000004,9.173508682029151
SP,2025-06-10,359,0.04095,8.995952215052549
SP,2025-06-10,360,0.040400000000000005,8.880702765396169
SP,2025-06-10,361,0.03995,8.786016303278842
SP,2025-06-10,362,0.0398,8.753771947867662
SP,2025-06-10,363,0.039,8.585874541282596
SP,2025-06-10,364,0.038250000000000006,8.428113688982446
SP,2025-06-10,365,0.037849999999999995,8.343734012527543
SP,2025-06-10,366,0.0373,8.227663445377527
SP,2025-06-10,367,0.03685,8.132600358315656
SP,2025-06-10,368,0.036250000000000004,8.00527611321753
SP,2025-06-10,369,0.03585,7.920667911028567
SP,2025-06-10,370,0.03515,7.772290362213918
SP,2025-06-10,371,0.034850000000000006,7.7084031285095
SP,2025-06-10,372,0.03435,7.601925653512319
SP,2025-06-10,373,0.03365,7.453196399616463
SP,2025-06-10,374,0.033350000000000005,7.389397458354196
SP,2025-06-10,375,0.03275,7.26136275976314
SP,2025-06-10,376,0.03225,7.154531972992013
SP,2025-06-10,377,0.0321,7.1222279242869
SP,2025-06-10,378,0.031799999999999995,7.0575528437854365
SP,2025-06-10,379,0.0312,6.929229605502584
SP,2025-06-10,380,0.03075,6.832989469482115
SP,2025-06-10,381,0.0305,6.77926185645245
SP,2025-06-10,382,0.02975,6.61821732920308
SP,2025-06-10,383,0.029449999999999997,6.553847733017982
SP,2025-06-10,384,0.029200000000000004,6.500117774198355
SP,2025-06-10,385,0.028499999999999998,6.349135848096088
SP,2025-06-10,386,0.02835,6.317017222241566
SP,2025-06-10,387,0.02785,6.208785316398597
SP,2025-06-10,388,0.02765,6.165582918885609
SP,2025-06-10,389,0.02705,6.03601570679041
SP,2025-06-10,390,0.026750000000000003,5.97138936119363
SP,2025-06-10,391,0.026500000000000003,5.917020224942998
SP,2025-06-10,392,0.02645,5.905950312392532
SP,2025-06-10,393,0.0259,5.78694995623234
SP,2025-06-10,394,0.025599999999999998,5.721689952702358
SP,2025-06-10,395,0.025500000000000002,5.699979070109789
SP,2025-06-10,396,0.02505,5.602297661570537
SP,2025-06-10,397,0.02465,5.515314113428376
SP,2025-06-10,398,0.02435,5.450179255274978
SP,2025-06-10,399,0.0241,5.395501222025494
SP,2025-06-10,400,0.02395,5.363055536361816
SP,2025-06-10,401,0.02375,5.319307962881731
SP,2025-06-10,402,0.022949999999999998,5.145045719518637
SP,2025-06-10,403,0.022949999999999998,5.145045719518637
SP,2025-06-10,404,0.0228,5.112203487799155
