AP01_2705.csv;;Schick;17.06.2025 11:08:25;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5257
191;1,3241
192;1,1459
193;0,9596
194;0,8134
195;0,7028
196;0,6117
197;0,5498
198;0,494
199;0,4389
200;0,3999
201;0,3721
202;0,3461
203;0,3261
204;0,3095
205;0,2941
206;0,2826
207;0,272
208;0,2629
209;0,2553
210;0,2484
211;0,2417
212;0,2359
213;0,2309
214;0,2254
215;0,2201
216;0,2149
217;0,2102
218;0,2059
219;0,2015
220;0,1972
221;0,1934
222;0,1896
223;0,1859
224;0,1824
225;0,1788
226;0,1755
227;0,1723
228;0,1696
229;0,1668
230;0,1635
231;0,1605
232;0,1575
233;0,155
234;0,1523
235;0,1501
236;0,1478
237;0,1456
238;0,1434
239;0,1412
240;0,1392
241;0,1376
242;0,136
243;0,1341
244;0,1322
245;0,131
246;0,1297
247;0,1284
248;0,1273
249;0,1258
250;0,1245
251;0,1233
252;0,1222
253;0,1209
254;0,1198
255;0,1185
256;0,1173
257;0,1159
258;0,1148
259;0,1138
260;0,1126
261;0,1113
262;0,1101
263;0,1087
264;0,1072
265;0,1058
266;0,1045
267;0,1029
268;0,1013
269;0,1001
270;0,0988
271;0,0975
272;0,096
273;0,0946
274;0,0931
275;0,0919
276;0,0904
277;0,089
278;0,0875
279;0,086
280;0,0847
281;0,0835
282;0,0821
283;0,0807
284;0,0793
285;0,0782
286;0,0769
287;0,0756
288;0,0742
289;0,0729
290;0,0717
291;0,0703
292;0,0691
293;0,068
294;0,0668
295;0,0657
296;0,0646
297;0,0637
298;0,0626
299;0,0615
300;0,0606
301;0,0595
302;0,0583
303;0,0575
304;0,0565
305;0,0556
306;0,0548
307;0,054
308;0,053
309;0,0523
310;0,0516
311;0,0509
312;0,0495
313;0,0491
314;0,0483
315;0,0479
316;0,0471
317;0,0464
318;0,046
319;0,0452
320;0,0443
321;0,044
322;0,0431
323;0,0425
324;0,0419
325;0,0411
326;0,0403
327;0,0398
328;0,0391
329;0,0384
330;0,0381
331;0,0375
332;0,0368
333;0,0364
334;0,036
335;0,0353
336;0,0348
337;0,0342
338;0,0338
339;0,0333
340;0,0328
341;0,0321
342;0,0316
343;0,0314
344;0,0308
345;0,0305
346;0,0301
347;0,0292
348;0,0291
349;0,0286
350;0,0281
351;0,0276
352;0,0273
353;0,0271
354;0,0267
355;0,0259
356;0,0257
357;0,0253
358;0,0249
359;0,0246
360;0,0242
361;0,0238
362;0,0234
363;0,023
364;0,0226
365;0,0221
366;0,0217
367;0,0213
368;0,0212
369;0,0208
370;0,0206
371;0,0203
372;0,02
373;0,0195
374;0,0193
375;0,0189
376;0,0186
377;0,0183
378;0,0181
379;0,0177
380;0,0172
381;0,0173
382;0,0167
383;0,0164
384;0,0161
385;0,016
386;0,0158
387;0,0155
388;0,0152
389;0,0151
390;0,0148
391;0,0146
392;0,0144
393;0,0141
394;0,0139
395;0,0138
396;0,0136
397;0,0132
398;0,013
399;0,0126
400;0,0125
401;0,0125
402;0,0121
403;0,0121
404;0,012
405;0,0117
406;0,0118
407;0,0115
408;0,0113
409;0,0112
410;0,0111
411;0,0108
412;0,0108
413;0,0107
414;0,0104
415;0,0104
416;0,0102
417;0,01
418;0,0099
419;0,0098
420;0,0097
421;0,0096
422;0,0094
423;0,0092
424;0,0091
425;0,009
426;0,0088
427;0,0086
428;0,0087
429;0,0085
430;0,0083
431;0,0082
432;0,0081
433;0,0083
434;0,0077
435;0,0077
436;0,0078
437;0,0074
438;0,0075
439;0,0071
440;0,0072
441;0,007
442;0,0072
443;0,0067
444;0,0069
445;0,0068
446;0,0067
447;0,0067
448;0,0067
449;0,0063
450;0,0063
451;0,0062
452;0,0063
453;0,0062
454;0,006
455;0,0061
456;0,0057
457;0,0058
458;0,0059
459;0,0057
460;0,0055
461;0,0058
462;0,0055
463;0,0057
464;0,0055
465;0,0055
466;0,0053
467;0,0052
468;0,0054
469;0,0052
470;0,0052
471;0,0052
472;0,005
473;0,0051
474;0,0048
475;0,0049
476;0,0047
477;0,0047
478;0,0047
479;0,0047
480;0,0045
481;0,0047
482;0,0049
483;0,004
484;0,0045
485;0,0045
486;0,0044
487;0,0044
488;0,0044
489;0,0042
490;0,0042
491;0,0045
492;0,0042
493;0,004
494;0,004
495;0,004
496;0,0039
497;0,0038
498;0,0039
499;0,004
500;0,004
501;0,0039
502;0,004
503;0,0037
504;0,0037
505;0,0039
506;0,0039
507;0,0034
508;0,0034
509;0,0034
510;0,0034
511;0,0034
512;0,0035
513;0,0034
514;0,0033
515;0,0032
516;0,0036
517;0,0031
518;0,003
519;0,0033
520;0,0028
521;0,0031
522;0,0032
523;0,0029
524;0,0028
525;0,0031
526;0,003
527;0,0031
528;0,0031
529;0,0031
530;0,0029
531;0,0029
532;0,0027
533;0,003
534;0,0029
535;0,0027
536;0,0028
537;0,0024
538;0,0023
539;0,0026
540;0,0024
541;0,0027
542;0,0025
543;0,0023
544;0,0024
545;0,0025
546;0,0023
547;0,0025
548;0,0024
549;0,0029
550;0,0027
551;0,0028
552;0,0025
553;0,0023
554;0,0025
555;0,0023
556;0,0025
557;0,0021
558;0,0022
559;0,0024
560;0,0022
561;0,0021
562;0,0018
563;0,002
564;0,0019
565;0,0022
566;0,0025
567;0,0022
568;0,0019
569;0,0022
570;0,0023
571;0,002
572;0,0025
573;0,0022
574;0,0021
575;0,0028
576;0,0018
577;0,0018
578;0,0025
579;0,0024
580;0,0023
581;0,0022
582;0,0025
583;0,0023
584;0,0022
585;0,0018
586;0,0022
587;0,0017
588;0,0019
589;0,0018
590;0,0014
591;0,0018
592;0,0019
593;0,0018
594;0,0018
595;0,002
596;0,0015
597;0,0021
598;0,0019
599;0,0018
600;0,0021
601;0,0014
602;0,0016
603;0,0021
604;0,0023
605;0,0014
606;0,0015
607;0,002
608;0,0015
609;0,0023
610;0,0022
611;0,0016
612;0,0015
613;0,0014
614;0,0018
615;0,0024
616;0,0015
617;0,002
618;0,0016
619;0,001
620;0,0017
621;0,0016
622;0,0018
623;0,0022
624;0,0012
625;0,0019
626;0,0018
627;0,0011
628;0,0016
629;0,0015
630;0,0014
631;0,0017
632;0,0012
633;0,0012
634;0,001
635;0,0015
636;0,0011
637;0,0019
638;0,0012
639;0,0014
640;0,0019
641;0,001
642;0,001
643;0,0009
644;0,0017
645;0,0022
646;0,001
647;0,0018
648;0,0007
649;0,001
650;0,0013
651;0,0014
652;0,0018
653;0,0021
654;0,0015
655;0,0013
656;0,0019
657;0,0022
658;0,0015
659;0,0015
660;0,0009
661;0,0013
662;0,0004
663;0,0017
664;0,0013
665;0,0007
666;0,0014
667;0,0015
668;0,0013
669;0,0009
670;0,002
671;0,0015
672;0,0013
673;0,0012
674;0,0012
675;0,0014
676;0,0017
677;0,0016
678;0,0013
679;0,0014
680;0,0014
681;0,0014
682;0,0016
683;0,0015
684;0,0015
685;0,0014
686;0,0015
687;0,0013
688;0,0016
689;0,0012
690;0,001
691;0,0007
692;0,0017
693;0,0012
694;0,002
695;0,0009
696;0,0015
697;0,0015
698;0,0009
699;0,0011
700;0,001
701;0,0011
702;0,0013
703;0,0014
704;0,0012
705;0,0014
706;0,0008
707;0,0013
708;0,001
709;0,0014
710;0,0011
711;0,001
712;0,0011
713;0,0009
714;0,0006
715;0,0003
716;0,0014
717;0,001
718;0,0012
719;0,0011
720;0,0015
721;0,0018
722;0,001
723;0,0012
724;0,0002
725;0,0006
726;0,001
727;0,0008
728;0,0008
729;0,0011
730;0,0008
731;0,0005
732;0,0014
733;0,0002
734;0,0011
735;0,0012
736;0,0015
737;0,0012
738;0,0005
739;0,0012
740;0,0015
741;0,0004
742;0,0011
743;0,0005
744;0,0018
745;0,0005
746;0,0004
747;0,0007
748;0,0013
749;0,0003
750;0,0008
751;0,0012
752;0,0003
753;0,0014
754;0,001
755;0,0003
756;0,0011
757;0,0011
758;0,0005
759;0,0014
760;0,0015
761;0,0013
762;0,0007
763;0,0009
764;0,0006
765;0,0004
766;0,0012
767;0,0009
768;0,0016
769;0,0007
770;0,001
771;0,0015
772;0,001
773;0,0006
774;0,0011
775;0,0007
