SP02_240625.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
644;0,0008
645;0,0012
646;0,001
647;0,0011
648;0,0015
649;0,0004
650;0,002
651;0,0015
652;0,0009
653;0,0017
654;0,0019
655;0,0013
656;0,001
657;0,0013
658;0,0007
659;0,0015
660;0,0012
661;0,0009
662;0,0021
663;0,0009
664;0,0008
665;0,0002
666;0,0006
667;0,001
668;-0,0006
669;0,0004
670;0,0003
671;0,0012
672;0,0006
673;0,0012
674;0,0013
675;0,0013
676;0,0011
677;0,0011
678;0,0015
679;0,0011
680;0,0012
681;0,001
682;0,0009
683;0,0011
684;0,0014
685;0,001
686;0,0015
687;0,0012
688;0,0018
689;0,0013
690;0,0011
691;0,0012
692;0,001
693;0,0009
694;0,0014
695;0,0015
696;0,001
697;0,0012
698;0,0009
699;0,0014
700;0,0014
701;0,0011
702;0,0017
703;0,0008
704;0,001
705;0,0003
706;0,0008
707;0,0007
708;0,0007
709;0,0006
710;0,0009
711;0,0005
712;0,0007
713;0,0006
714;-0,0002
715;0,0006
716;0,0006
717;0,0002
718;0,0008
719;0,0006
720;-0,0003
721;0,0012
722;0
723;0,0008
724;0,0002
725;0,0003
726;0,0003
727;0,0015
728;-0,0001
729;0
730;0,0005
731;-0,0001
732;0,0002
733;-0,0004
734;0,0005
735;0,0008
736;0,0009
737;0,0006
738;-0,0003
739;0,0003
740;0,0011
741;0,0005
742;0,0003
743;0,0005
744;0,0002
745;0,0001
746;-0,001
747;-0,0004
748;0,001
749;0,001
750;0,0003
751;-0,0002
752;-0,0004
753;-0,0003
754;-0,0007
755;-0,0007
756;0,0007
757;0
758;0,0002
759;0
760;-0,0002
761;0,0007
762;-0,0001
763;0,0009
764;0,0002
765;0,0002
766;0,0002
767;-0,0007
768;0,0001
769;0,0002
770;-0,0001
771;0
772;0
773;0,0006
774;0,0005
775;0,0002
776;0,0001
777;0,0008
778;0,0001
779;-0,0002
780;0,0002
781;0,0001
782;0,0002
783;0,0002
784;0,0013
785;0,0008
786;0,0001
787;0,0005
788;-0,001
789;-0,0001
790;0,0002
791;0
792;-0,0003
793;0,0001
794;-0,0007
795;-0,0002
796;0,0001
797;0,0009
798;0,0009
799;0,0004
800;0,0002
801;-0,0006
802;-0,0008
803;0,0002
804;0,0001
805;0,0003
806;-0,0001
807;-0,0002
808;0,0002
809;0,0004
810;0,0007
811;0,0001
812;-0,0003
813;0,0007
814;-0,0007
815;0,0002
816;-0,0004
817;-0,0002
818;0,0006
819;0,0004
820;0,0006
821;0,0001
822;0,001
823;0,0003
824;0,0006
825;0,0005
826;0,0003
827;0,0005
828;0,0005
829;0,0001
830;0
831;0,0002
832;0,0003
833;0,0002
834;0,0008
835;0,0004
836;0,0003
837;-0,0003
838;0,0006
839;0,0007
840;0,001
841;0,0003
842;0,0002
843;0,0005
844;-0,0009
845;0,0001
846;0,0015
847;0
848;-0,0005
849;0,0002
850;0,0009
851;-0,0001
852;0,0008
853;-0,0012
854;0,0004
855;-0,0003
856;-0,0009
857;0,0001
858;-0,001
859;0,002
860;-0,0009
861;-0,0004
862;0
863;0
864;-0,0009
865;0,0004
866;0,0001
867;0,0009
868;-0,0011
869;0,0005
870;0,0012
871;0,0008
872;0,0002
873;0,0002
874;0,0016
875;-0,0006
876;0,0011
877;0,0006
878;0,0005
879;0,0005
880;0,0003
881;0,0002
882;0,001
883;0,0007
884;0,0008
885;0,0003
886;0,0004
887;0,001
888;-0,0001
889;0,0004
890;0,0006
891;0,0005
892;0,0006
893;0,0002
894;0,0005
895;0,0003
896;0,0005
897;0,0007
898;0,0007
899;0,0001
900;0,0005
901;0,0008
902;0,0013
903;0,0006
904;0,0008
905;0,0003
906;0,0006
907;0,0001
908;0,0001
909;0,0007
910;0,0003
911;0,0007
912;0,0002
913;0,0003
914;0,0011
915;0,0008
916;0,001
917;0,0007
918;0,0008
919;0,001
920;0,0004
921;0,001
922;0,0008
923;0,0017
924;0,001
925;0,0003
926;0,0009
927;-0,0004
928;0,0004
929;0,0008
930;0,0005
931;0,0018
932;0,0017
933;0,0012
934;0,0007
935;0,0004
936;0,0014
937;0,0008
938;0,001
939;0,0009
940;0,0009
941;0,0007
942;0,0008
943;0,0018
944;0,0002
945;0,0008
946;0,001
947;0,0008
948;0,0004
949;0,0014
950;0,0005
951;0,0004
952;0,0006
953;0,0007
954;0,0003
955;0,0008
956;-0,0002
957;0,0004
958;-0,0002
959;0,0005
960;0,0008
961;0,0007
962;-0,0001
963;0,001
964;-0,0003
965;-0,0001
966;0,0007
967;0,0005
968;0,0004
969;0,0001
970;-0,0002
971;0,0006
972;0,0006
973;0
974;0,0003
975;0,0005
976;0,0002
977;0,0001
978;0,0012
979;0,0002
980;0,0003
981;-0,0003
982;0,0001
983;-0,0001
984;0,0003
985;-0,0004
986;0,0014
987;0,0013
988;-0,0004
989;0,0013
990;0,0007
991;0,0006
992;0,0004
993;0,0003
994;0,0004
995;0,0008
996;0,0004
997;0,0011
998;-0,0002
999;-0,0001
1000;0,0013
1001;-0,0001
1002;-0,0001
1003;0,0002
1004;0,0005
1005;-0,0006
1006;0,001
1007;0,001
1008;0,0003
1009;0,0003
1010;0,0009
1011;0,0007
1012;0,0004
1013;0,0007
1014;0,0007
1015;0,0015
1016;0,0011
1017;0,0021
1018;0
1019;0,0001
1020;0,0013
1021;0,001
1022;0,0005
1023;0,0015
1024;0,0011
1025;0,0024
1026;0,0007
1027;-0,0001
1028;0,0016
1029;0,0017
1030;0,0022
1031;0,0017
1032;0,0019
1033;-0,001
1034;0,0007
1035;0,0014
1036;-0,0005
1037;-0,0006
1038;-0,0003
1039;0,0018
1040;0,0017
1041;0,0021
1042;0,0009
1043;0,0015
1044;-0,0013
1045;0,0005
1046;0,0017
1047;0,0023
1048;0,0019
1049;0,0002
1050;0,0014
1051;0,0022
1052;0,0004
1053;0,0009
1054;0,0016
1055;0,0018
1056;0,0047
1057;0,0021
1058;0,0001
1059;0,0018
1060;0,0015
1061;0,0037
1062;0,0008
1063;0,0031
1064;0,0005
1065;-0,0003
1066;0,0005
1067;0,0009
1068;-0,0012
1069;0,0019
1070;0,0038
1071;0,0003
1072;-0,0021
1073;0,0002
1074;0,0054
1075;0,0019
1076;0,0016
1077;0,0003
1078;0,0022
1079;0,003
1080;0,0031
1081;0,0003
1082;0,003
1083;0,0021
1084;0,0033
1085;0,0031
1086;0,0025
1087;0,0049
1088;-0,0004
1089;0,0014
1090;0,0006
1091;0,0014
1092;0,0021
1093;0,0025
1094;0,0072
1095;0,0002
1096;0,0007
1097;0,002
1098;0,0088
1099;0,0046
1100;-0,0002
