AP02_080725.csv;;Schick;30.07.2025 16:06:22;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
645;0,0016
646;0,0017
647;0,0011
648;0,0017
649;0,0012
650;0,0011
651;0,0011
652;0,0009
653;0,0014
654;0,0011
655;0,0013
656;0,0013
657;0,0014
658;0,0011
659;0,0016
660;0,0014
661;0,001
662;0,0019
663;0,0004
664;0,0012
665;-0,0004
666;0,0009
667;0,0015
668;0
669;0,0004
670;0,0016
671;0,0009
672;0,0013
673;0,0015
674;0,001
675;0,0017
676;0,0015
677;0,0011
678;0,0017
679;0,0016
680;0,0017
681;0,0019
682;0,0017
683;0,0019
684;0,0018
685;0,0015
686;0,0016
687;0,0015
688;0,0014
689;0,0016
690;0,0013
691;0,0014
692;0,0014
693;0,0011
694;0,0011
695;0,0008
696;0,0012
697;0,0016
698;0,0011
699;0,0017
700;0,0014
701;0,0009
702;0,0015
703;0,0008
704;0,0006
705;0,0008
706;0,0018
707;0,0012
708;0,0007
709;0,001
710;0,0011
711;0,0003
712;0,0008
713;0,0008
714;0,0001
715;0,0006
716;0,0013
717;0,0012
718;0,0003
719;0,0012
720;0,0005
721;0,0005
722;0,0006
723;0,0008
724;0,0001
725;0,0005
726;0,001
727;0,0006
728;0,0008
729;0,0008
730;0,0005
731;0,0008
732;0,0008
733;0,0004
734;0,0005
735;0,0007
736;0,0011
737;0,0009
738;-0,0002
739;0,0007
740;0,001
741;0,0005
742;0,0008
743;0,0001
744;0,0002
745;0,0007
746;-0,0003
747;0,0006
748;0,0008
749;0,001
750;0,0009
751;0,0001
752;0,0004
753;0,0005
754;-0,0004
755;-0,0005
756;0,0005
757;0,0006
758;0,0005
759;0,0008
760;0,0006
761;0,0008
762;-0,0002
763;0,001
764;0,0005
765;0,0009
766;0,0005
767;-0,0002
768;0,0003
769;0,0005
770;0,0006
771;0,0002
772;0,001
773;0,0001
774;0,0003
775;-0,0002
776;0,0002
777;0,0006
778;0,0005
779;0,0009
780;0,0003
781;-0,0007
782;0,0004
783;-0,0004
784;0,0011
785;0,0007
786;-0,0004
787;0,0006
788;-0,0006
789;0,0008
790;0,0004
791;-0,0007
792;-0,0004
793;0,0009
794;-0,0005
795;0,0008
796;0,0002
797;0,0002
798;0,0011
799;0,001
800;0,0007
801;0,0006
802;-0,0002
803;-0,0001
804;-0,0001
805;0,0003
806;0,0001
807;0
808;0,0007
809;-0,0007
810;-0,0001
811;0,0004
812;0,0001
813;0,0012
814;-0,0002
815;-0,0002
816;-0,001
817;0
818;0,0006
819;-0,0003
820;0,0001
821;0,0005
822;0,0012
823;0,001
824;0,0012
825;0,0007
826;0,0005
827;0,0005
828;0,0007
