Location,Date,Wavelength_nm,Absorbance,PercentAbsorbed
AP,2025-05-27,190,1.56105,97.24331530391385
AP,2025-05-27,191,1.3617,95.63558919758603
AP,2025-05-27,192,1.18255,93.40834285668656
AP,2025-05-27,193,0.99695,89.89225904631685
AP,2025-05-27,194,0.8499,85.8214438568321
AP,2025-05-27,195,0.73905,81.69957747645356
AP,2025-05-27,196,0.6475500000000001,77.40938835442797
AP,2025-05-27,197,0.58505,73.91571210195502
AP,2025-05-27,198,0.52905,70.32690595352207
AP,2025-05-27,199,0.47330000000000005,66.26653357060621
AP,2025-05-27,200,0.43420000000000003,63.08923227621852
AP,2025-05-27,201,0.40585,60.603279050084666
AP,2025-05-27,202,0.37945,58.13710706463035
AP,2025-05-27,203,0.3591,56.131523417444654
AP,2025-05-27,204,0.34204999999999997,54.378594901411006
AP,2025-05-27,205,0.3262,52.68648379507419
AP,2025-05-27,206,0.31420000000000003,51.36503342876025
AP,2025-05-27,207,0.3029,50.08876232612366
AP,2025-05-27,208,0.29325,48.97187397827002
AP,2025-05-27,209,0.2851,48.009787497920414
AP,2025-05-27,210,0.27765,47.114786866510386
AP,2025-05-27,211,0.2703,46.217494367258034
AP,2025-05-27,212,0.26395,45.42984205786492
AP,2025-05-27,213,0.2585,44.74438475894809
AP,2025-05-27,214,0.25234999999999996,43.961609849960624
AP,2025-05-27,215,0.24645,43.199929028967034
AP,2025-05-27,216,0.24065000000000003,42.44104082946335
AP,2025-05-27,217,0.23535,41.73901648254856
AP,2025-05-27,218,0.23049999999999998,41.08900690381461
AP,2025-05-27,219,0.22555,40.417932329961204
AP,2025-05-27,220,0.22075,39.759551436991146
AP,2025-05-27,221,0.21644999999999998,39.16389544066228
AP,2025-05-27,222,0.21215,38.56226840814358
AP,2025-05-27,223,0.20805,37.98245002098299
AP,2025-05-27,224,0.20425,37.439613774711574
AP,2025-05-27,225,0.20029999999999998,36.870555511665046
AP,2025-05-27,226,0.19665,36.340269515396756
AP,2025-05-27,227,0.19315,35.827301704483396
AP,2025-05-27,228,0.19035000000000002,35.41294015094163
AP,2025-05-27,229,0.18730000000000002,34.95953296520673
AP,2025-05-27,230,0.18375,34.427471440642044
AP,2025-05-27,231,0.1805,33.93668623021041
AP,2025-05-27,232,0.1773,33.449519347996215
AP,2025-05-27,233,0.1747,33.050605740595614
AP,2025-05-27,234,0.1718,32.60345524320243
AP,2025-05-27,235,0.1694,32.23137034630239
AP,2025-05-27,236,0.16704999999999998,31.864023222319275
AP,2025-05-27,237,0.16475,31.50291841842327
AP,2025-05-27,238,0.1624,31.13231503883707
AP,2025-05-27,239,0.1601,30.767323193094107
AP,2025-05-27,240,0.158,30.43243766826713
AP,2025-05-27,241,0.15635,30.167976664855857
AP,2025-05-27,242,0.15475,29.910231490715233
AP,2025-05-27,243,0.15275,29.58740950006353
AP,2025-05-27,244,0.1508,29.270892252064712
AP,2025-05-27,245,0.14950000000000002,29.059554616228887
AP,2025-05-27,246,0.14825,28.854728302581478
AP,2025-05-27,247,0.14695,28.641445791439367
AP,2025-05-27,248,0.14579999999999999,28.452591030163976
AP,2025-05-27,249,0.14425,28.19713306568346
AP,2025-05-27,250,0.1429,27.97393890807288
AP,2025-05-27,251,0.14175000000000001,27.78261059116623
AP,2025-05-27,252,0.1406,27.591480954164847
AP,2025-05-27,253,0.13935,27.382417793718577
AP,2025-05-27,254,0.1382,27.19022901147902
AP,2025-05-27,255,0.13679999999999998,26.955849550786088
AP,2025-05-27,256,0.1356,26.753742011141995
AP,2025-05-27,257,0.13419999999999999,26.51724298608605
AP,2025-05-27,258,0.1331,26.330886749130745
AP,2025-05-27,259,0.13215,26.169203990263473
AP,2025-05-27,260,0.131,25.9730825978614
AP,2025-05-27,261,0.1296,25.73478506249065
AP,2025-05-27,262,0.12840000000000001,25.52929893143358
AP,2025-05-27,263,0.127,25.288846399365276
AP,2025-05-27,264,0.12545,25.022088407593472
AP,2025-05-27,265,0.1241,24.788293552454938
AP,2025-05-27,266,0.12275,24.55450026248507
AP,2025-05-27,267,0.12110000000000001,24.267683265266303
AP,2025-05-27,268,0.11955,23.996544215099043
AP,2025-05-27,269,0.1182,23.76102200796501
AP,2025-05-27,270,0.11699999999999999,23.549339377559075
AP,2025-05-27,271,0.1157,23.32015213170281
AP,2025-05-27,272,0.1142,23.054851425399242
AP,2025-05-27,273,0.11274999999999999,22.79789334549583
AP,2025-05-27,274,0.1112,22.52223826979671
AP,2025-05-27,275,0.1099,22.290715181575866
AP,2025-05-27,276,0.10844999999999999,22.030457477937016
AP,2025-05-27,277,0.107,21.770075332335225
AP,2025-05-27,278,0.10544999999999999,21.490747249993365
AP,2025-05-27,279,0.10389999999999999,21.210420755128133
AP,2025-05-27,280,0.1026,20.97422179331032
AP,2025-05-27,281,0.1013,20.73806445109024
AP,2025-05-27,282,0.0999,20.482141882537775
AP,2025-05-27,283,0.09845,20.216583801672435
AP,2025-05-27,284,0.09705,19.958977465668106
AP,2025-05-27,285,0.09585,19.738262911526334
AP,2025-05-27,286,0.09455,19.497650648385886
AP,2025-05-27,287,0.09315000000000001,19.238476210736632
AP,2025-05-27,288,0.0917,18.968759418828597
AP,2025-05-27,289,0.09035000000000001,18.716859075909415
AP,2025-05-27,290,0.0891,18.482946732294153
AP,2025-05-27,291,0.08765,18.21070347464167
AP,2025-05-27,292,0.08635,17.96626386718769
AP,2025-05-27,293,0.08515,17.740032598059347
AP,2025-05-27,294,0.08395,17.51242560255641
AP,2025-05-27,295,0.08274999999999999,17.284938367195693
