AP01_080725.csv;;Schick;30.07.2025 16:06:22;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5414
191;1,3548
192;1,1751
193;1,0224
194;0,8985
195;0,7971
196;0,7308
197;0,6759
198;0,6181
199;0,5751
200;0,5431
201;0,5155
202;0,4927
203;0,4731
204;0,455
205;0,4408
206;0,4264
207;0,4128
208;0,4016
209;0,3901
210;0,3796
211;0,369
212;0,3598
213;0,3503
214;0,3403
215;0,3311
216;0,3213
217;0,3129
218;0,3045
219;0,2958
220;0,2878
221;0,2806
222;0,2735
223;0,2667
224;0,2605
225;0,2541
226;0,2479
227;0,2432
228;0,2388
229;0,2338
230;0,2291
231;0,2233
232;0,2189
233;0,2154
234;0,2111
235;0,2077
236;0,2044
237;0,2011
238;0,1977
239;0,1947
240;0,1922
241;0,1902
242;0,1879
243;0,185
244;0,1827
245;0,1811
246;0,1797
247;0,1781
248;0,1761
249;0,1743
250;0,1727
251;0,1712
252;0,1698
253;0,1681
254;0,1662
255;0,1647
256;0,1631
257;0,1613
258;0,1602
259;0,1589
260;0,157
261;0,1553
262;0,1536
263;0,1515
264;0,1498
265;0,1481
266;0,1459
267;0,144
268;0,1416
269;0,1399
270;0,1384
271;0,1366
272;0,1345
273;0,1324
274;0,1303
275;0,1285
276;0,1267
277;0,1246
278;0,1222
279;0,1203
280;0,1188
281;0,1169
282;0,115
283;0,113
284;0,1111
285;0,1094
286;0,1077
287;0,1056
288;0,1037
289;0,1021
290;0,1002
291;0,0983
292;0,0967
293;0,0952
294;0,0935
295;0,092
296;0,0906
297;0,0891
298;0,0876
299;0,0861
300;0,0847
301;0,0835
302;0,0818
303;0,0804
304;0,0791
305;0,0777
306;0,0765
307;0,0754
308;0,0743
309;0,0732
310;0,072
311;0,0711
312;0,0692
313;0,0685
314;0,0676
315;0,0667
316;0,0655
317;0,0645
318;0,0637
319;0,0627
320;0,0615
321;0,0606
322;0,0597
323;0,0587
324;0,058
325;0,0569
326;0,0557
327;0,0551
328;0,0543
329;0,0533
330;0,0526
331;0,0517
332;0,051
333;0,0504
334;0,0495
335;0,0488
336;0,0481
337;0,0474
338;0,0468
339;0,0459
340;0,045
341;0,0446
342;0,0437
343;0,0431
344;0,0424
345;0,042
346;0,0412
347;0,0403
348;0,0397
349;0,0388
350;0,0384
351;0,038
352;0,0372
353;0,0366
354;0,036
355;0,0356
356;0,0349
357;0,0345
358;0,0339
359;0,0332
360;0,0326
361;0,0322
362;0,0318
363;0,0313
364;0,0305
365;0,03
366;0,0295
367;0,0289
368;0,0285
369;0,028
370;0,0273
371;0,027
372;0,0264
373;0,0259
374;0,0256
375;0,025
376;0,0246
377;0,0244
378;0,0242
379;0,0235
380;0,023
381;0,0228
382;0,0221
383;0,0221
384;0,0216
385;0,0209
386;0,0208
387;0,0205
388;0,0201
389;0,0198
390;0,0194
391;0,0191
392;0,0187
393;0,0184
394;0,0182
395;0,0177
396;0,0173
397;0,0169
398;0,0167
399;0,0163
400;0,0162
401;0,016
402;0,0154
403;0,0153
404;0,0153
405;0,0148
406;0,0143
407;0,014
408;0,0138
409;0,0137
410;0,0137
411;0,0132
412;0,013
413;0,0128
414;0,0126
415;0,0126
416;0,0122
417;0,012
418;0,0121
419;0,0118
420;0,0116
421;0,0115
422;0,0113
423;0,0111
424;0,011
425;0,0107
426;0,0106
427;0,0106
428;0,0103
429;0,0101
430;0,0101
431;0,0097
432;0,0095
433;0,0093
434;0,0093
435;0,0093
436;0,009
437;0,0089
438;0,0088
439;0,0088
440;0,0086
441;0,0085
442;0,0084
443;0,0083
444;0,0082
445;0,0082
446;0,008
447;0,0078
448;0,0077
449;0,0076
450;0,0073
451;0,0073
452;0,0072
453;0,0073
454;0,0066
455;0,0069
456;0,0068
457;0,0064
458;0,0066
459;0,0065
460;0,0066
461;0,0065
