AP02_1006.csv;;Schick;17.06.2025 11:08:21;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,6319
191;1,4366
192;1,2588
193;1,0762
194;0,927
195;0,8176
196;0,7271
197;0,6653
198;0,6096
199;0,5539
200;0,5158
201;0,4867
202;0,4619
203;0,4415
204;0,4248
205;0,4095
206;0,3978
207;0,3869
208;0,3775
209;0,3693
210;0,3618
211;0,3551
212;0,3485
213;0,3429
214;0,3373
215;0,3313
216;0,3254
217;0,3201
218;0,3151
219;0,3101
220;0,3051
221;0,3007
222;0,2963
223;0,292
224;0,2878
225;0,2836
226;0,2796
227;0,2758
228;0,2727
229;0,2694
230;0,2656
231;0,2617
232;0,2581
233;0,2551
234;0,2519
235;0,249
236;0,2464
237;0,2436
238;0,2408
239;0,2382
240;0,2357
241;0,2338
242;0,2319
243;0,2294
244;0,2272
245;0,2255
246;0,2241
247;0,2225
248;0,2211
249;0,2192
250;0,2175
251;0,2164
252;0,2149
253;0,2135
254;0,212
255;0,2104
256;0,209
257;0,2075
258;0,206
259;0,205
260;0,2036
261;0,202
262;0,2005
263;0,1989
264;0,1972
265;0,1956
266;0,194
267;0,1921
268;0,1904
269;0,1887
270;0,1873
271;0,1858
272;0,1841
273;0,1823
274;0,1806
275;0,179
276;0,1773
277;0,1756
278;0,1737
279;0,172
280;0,1705
281;0,1688
282;0,1673
283;0,1656
284;0,1639
285;0,1624
286;0,1608
287;0,1592
288;0,1575
289;0,1559
290;0,1543
291;0,1527
292;0,1512
293;0,1497
294;0,1483
295;0,147
296;0,1456
297;0,1443
298;0,1429
299;0,1414
300;0,1402
301;0,1389
302;0,1374
303;0,1362
304;0,1348
305;0,1336
306;0,1325
307;0,1314
308;0,1301
309;0,129
310;0,128
311;0,1269
312;0,1253
313;0,1246
314;0,1236
315;0,1227
316;0,1217
317;0,1207
318;0,1197
319;0,1188
320;0,1177
321;0,1166
322;0,1159
323;0,1148
324;0,1139
325;0,1127
326;0,1118
327;0,1109
328;0,1098
329;0,109
330;0,108
331;0,1073
332;0,1064
333;0,1054
334;0,1046
335;0,1036
336;0,1029
337;0,102
338;0,1012
339;0,1003
340;0,0997
341;0,0989
342;0,0981
343;0,097
344;0,0964
345;0,0957
346;0,0948
347;0,0941
348;0,0932
349;0,0923
350;0,0915
351;0,0908
352;0,0899
353;0,089
354;0,0883
355;0,0874
356;0,0867
357;0,086
358;0,0851
359;0,0842
360;0,0835
361;0,0828
362;0,0819
363;0,0809
364;0,0799
365;0,0793
366;0,0784
367;0,0777
368;0,0767
369;0,0758
370;0,0748
371;0,0742
372;0,0734
373;0,0722
374;0,0717
375;0,0708
376;0,07
377;0,0692
378;0,0686
379;0,0675
380;0,0668
381;0,0661
382;0,065
383;0,0643
384;0,0635
385;0,0625
386;0,0619
387;0,0611
388;0,0603
389;0,0594
390;0,0588
391;0,0581
392;0,0575
393;0,0569
394;0,056
395;0,0553
396;0,0545
397;0,0538
398;0,0534
399;0,0525
400;0,0521
401;0,0516
402;0,0505
403;0,0503
404;0,0495
405;0,0489
406;0,0485
407;0,0481
408;0,0472
409;0,0467
410;0,0464
411;0,0456
412;0,0454
413;0,0447
414;0,0442
415;0,0439
416;0,0432
417;0,0429
418;0,0423
419;0,0417
420;0,0412
421;0,041
422;0,0404
423;0,0399
424;0,0395
425;0,0391
426;0,0383
427;0,0382
428;0,0377
429;0,0371
430;0,0367
431;0,0364
432;0,0357
433;0,0355
434;0,0349
435;0,0346
436;0,0343
437;0,0337
438;0,0334
439;0,0329
440;0,0324
441;0,0324
442;0,0321
443;0,0314
