AP02_2705.csv;;Schick;17.06.2025 11:08:25;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5964
191;1,3993
192;1,2192
193;1,0343
194;0,8864
195;0,7753
196;0,6834
197;0,6203
198;0,5641
199;0,5077
200;0,4685
201;0,4396
202;0,4128
203;0,3921
204;0,3746
205;0,3583
206;0,3458
207;0,3338
208;0,3236
209;0,3149
210;0,3069
211;0,2989
212;0,292
213;0,2861
214;0,2793
215;0,2728
216;0,2664
217;0,2605
218;0,2551
219;0,2496
220;0,2443
221;0,2395
222;0,2347
223;0,2302
224;0,2261
225;0,2218
226;0,2178
227;0,214
228;0,2111
229;0,2078
230;0,204
231;0,2005
232;0,1971
233;0,1944
234;0,1913
235;0,1887
236;0,1863
237;0,1839
238;0,1814
239;0,179
240;0,1768
241;0,1751
242;0,1735
243;0,1714
244;0,1694
245;0,168
246;0,1668
247;0,1655
248;0,1643
249;0,1627
250;0,1613
251;0,1602
252;0,159
253;0,1578
254;0,1566
255;0,1551
256;0,1539
257;0,1525
258;0,1514
259;0,1505
260;0,1494
261;0,1479
262;0,1467
263;0,1453
264;0,1437
265;0,1424
266;0,141
267;0,1393
268;0,1378
269;0,1363
270;0,1352
271;0,1339
272;0,1324
273;0,1309
274;0,1293
275;0,1279
276;0,1265
277;0,125
278;0,1234
279;0,1218
280;0,1205
281;0,1191
282;0,1177
283;0,1162
284;0,1148
285;0,1135
286;0,1122
287;0,1107
288;0,1092
289;0,1078
290;0,1065
291;0,105
292;0,1036
293;0,1023
294;0,1011
295;0,0998
296;0,0986
297;0,0976
298;0,0964
299;0,095
300;0,094
301;0,093
302;0,0916
303;0,0906
304;0,0894
305;0,0883
306;0,0874
307;0,0865
308;0,0855
309;0,0846
310;0,0837
311;0,083
312;0,0816
313;0,0809
314;0,0802
315;0,0796
316;0,0787
317;0,0777
318;0,0771
319;0,0763
320;0,0755
321;0,0747
322;0,0738
323;0,0733
324;0,0725
325;0,0717
326;0,0708
327;0,0702
328;0,0695
329;0,0687
330;0,0681
331;0,0675
332;0,0666
333;0,066
334;0,0656
335;0,0647
336;0,0643
337;0,0635
338;0,0629
339;0,0625
340;0,0617
341;0,0609
342;0,0603
343;0,0598
344;0,0594
345;0,0588
346;0,0583
347;0,0576
348;0,0569
349;0,0564
350;0,0556
351;0,0553
352;0,0547
353;0,0542
354;0,0538
355;0,0529
356;0,0525
357;0,052
358;0,0516
359;0,051
360;0,0505
361;0,0499
362;0,0495
363;0,0488
364;0,0482
365;0,0477
366;0,0471
367;0,0466
368;0,0462
369;0,0456
370;0,045
371;0,0447
372;0,044
373;0,0434
374;0,0429
375;0,0425
376;0,0419
377;0,0416
378;0,0412
379;0,0404
380;0,0401
381;0,0398
382;0,039
383;0,0384
384;0,0382
385;0,0375
386;0,0372
387;0,0366
388;0,0363
389;0,0358
390;0,0354
391;0,0348
392;0,0348
393;0,034
394;0,0338
395;0,0332
396;0,0329
397;0,0324
398;0,032
399;0,0317
400;0,0312
401;0,031
402;0,0305
403;0,0302
404;0,0297
405;0,0294
406;0,029
407;0,0289
408;0,0286
409;0,0281
410;0,0279
411;0,0276
412;0,0273
413;0,027
414;0,0267
415;0,0263
416;0,0261
417;0,0258
418;0,0255
419;0,0254
420;0,025
421;0,0248
422;0,0246
423;0,0241
424;0,024
425;0,0237
426;0,0235
427;0,0231
428;0,0229
429;0,0227
430;0,0223
431;0,022
432;0,0219
433;0,0216
434;0,0212
435;0,021
436;0,0208
437;0,0205
438;0,0204
439;0,0201
440;0,0199
441;0,0198
442;0,0196
443;0,0191
444;0,0191
445;0,0189
446;0,0187
447;0,0186
448;0,0185
449;0,0181
450;0,018
451;0,0177
452;0,0178
453;0,0176
454;0,0173
455;0,0173
456;0,0169
457;0,0167
458;0,0168
459;0,0166
460;0,0164
461;0,0164
462;0,0162
463;0,016
464;0,016
465;0,0159
466;0,0157
467;0,0154
468;0,0154
469;0,0153
470;0,0151
471;0,015
472;0,0148
473;0,0147
474;0,0146
475;0,0144
476;0,0142
477;0,0143
478;0,0142
479;0,0141
480;0,0137
481;0,0138
482;0,0137
483;0,013
484;0,0134
485;0,0134
486;0,0133
487;0,0131
488;0,0131
489;0,0129
490;0,0128
491;0,0127
492;0,0125
493;0,0124
494;0,0124
495;0,0125
496;0,0121
497;0,0121
498;0,012
499;0,0119
500;0,0118
501;0,0116
502;0,0115
503;0,0111
504;0,0113
505;0,0113
506;0,0115
507;0,011
508;0,0109
509;0,0107
510;0,0109
511;0,011
512;0,0106
513;0,0103
514;0,0108
515;0,0103
516;0,0102
517;0,0101
518;0,0098
519;0,0102
520;0,01
521;0,0099
522;0,0097
523;0,0097
524;0,0095
525;0,0096
526;0,0095
527;0,0094
528;0,0093
529;0,0095
530;0,0092
531;0,0094
532;0,009
533;0,0093
534;0,009
535;0,0086
536;0,0091
537;0,0088
538;0,0089
539;0,0084
540;0,0086
541;0,0085
542;0,0086
543;0,0081
544;0,0084
545;0,0085
546;0,0078
547;0,0081
548;0,008
549;0,008
550;0,0081
551;0,0081
552;0,0078
553;0,0078
554;0,0079
555;0,0078
556;0,0078
557;0,0076
558;0,0076
559;0,0076
560;0,0073
561;0,0074
562;0,0074
563;0,0071
564;0,0073
565;0,0072
566;0,0074
567;0,0073
568;0,0066
569;0,0069
570;0,0071
571;0,0067
572;0,007
573;0,0066
574;0,0066
575;0,0072
576;0,0068
577;0,0067
578;0,0068
579;0,007
580;0,0066
581;0,0065
582;0,0065
583;0,0064
584;0,0063
585;0,0059
586;0,0064
587;0,0066
588;0,0059
589;0,0061
590;0,006
591;0,0062
592;0,0065
593;0,0062
594;0,006
595;0,006
596;0,0055
597;0,0061
598;0,0064
599;0,0061
600;0,0062
601;0,0059
602;0,0056
603;0,0059
604;0,0062
605;0,0058
606;0,0056
607;0,0062
608;0,0055
609;0,0056
610;0,0059
611;0,0056
612;0,0054
613;0,006
614;0,0052
615;0,0055
616;0,0052
617;0,0054
618;0,0058
619;0,0054
620;0,0057
621;0,0045
622;0,0052
623;0,0055
624;0,0049
625;0,0056
626;0,0056
