SP01_010725.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5253
191;1,3539
192;1,1975
193;1,0656
194;0,964
195;0,8836
196;0,8318
197;0,7877
198;0,7411
199;0,7072
200;0,6795
201;0,6554
202;0,6336
203;0,6131
204;0,5936
205;0,5771
206;0,5596
207;0,5433
208;0,529
209;0,5146
210;0,5016
211;0,4883
212;0,4773
213;0,466
214;0,4546
215;0,4442
216;0,4334
217;0,4241
218;0,4151
219;0,4059
220;0,3974
221;0,3898
222;0,3825
223;0,3756
224;0,369
225;0,3622
226;0,3556
227;0,3508
228;0,3458
229;0,3399
230;0,3348
231;0,3284
232;0,3236
233;0,3193
234;0,3145
235;0,3103
236;0,3064
237;0,3025
238;0,2985
239;0,295
240;0,292
241;0,2894
242;0,2864
243;0,2829
244;0,2802
245;0,2781
246;0,2762
247;0,274
248;0,2715
249;0,2691
250;0,2672
251;0,2652
252;0,2632
253;0,261
254;0,2585
255;0,2565
256;0,2546
257;0,2524
258;0,2508
259;0,249
260;0,2463
261;0,244
262;0,2414
263;0,2385
264;0,2361
265;0,2334
266;0,2304
267;0,2275
268;0,2242
269;0,2217
270;0,2194
271;0,2165
272;0,2132
273;0,2101
274;0,2071
275;0,2042
276;0,2014
277;0,1981
278;0,1946
279;0,1916
280;0,1887
281;0,186
282;0,1828
283;0,1798
284;0,1767
285;0,1739
286;0,171
287;0,1677
288;0,1647
289;0,162
290;0,1587
291;0,1557
292;0,1531
293;0,1506
294;0,1479
295;0,1455
296;0,1431
297;0,1406
298;0,1383
299;0,1359
300;0,1336
301;0,1315
302;0,1287
303;0,1264
304;0,1243
305;0,1219
306;0,1196
307;0,1177
308;0,1157
309;0,1138
310;0,1118
311;0,1102
312;0,1074
313;0,1062
314;0,1046
315;0,103
316;0,1013
317;0,0991
318;0,0976
319;0,0959
320;0,0939
321;0,092
322;0,0904
323;0,0888
324;0,0875
325;0,0858
326;0,0844
327;0,0829
328;0,0813
329;0,0802
330;0,079
331;0,0777
332;0,0765
333;0,0755
334;0,0742
335;0,0729
336;0,0719
337;0,0707
338;0,0697
339;0,0687
340;0,0674
341;0,0664
342;0,0653
343;0,0646
344;0,0635
345;0,0628
346;0,0617
347;0,0608
348;0,0596
349;0,0585
350;0,0578
351;0,0571
352;0,0559
353;0,0551
354;0,0544
355;0,0536
356;0,0527
357;0,0521
358;0,0512
359;0,0503
360;0,0496
361;0,0489
362;0,0482
363;0,0474
364;0,0466
365;0,0458
366;0,0452
367;0,0445
368;0,0437
369;0,043
370;0,042
371;0,0417
372;0,0411
373;0,0402
374;0,0393
375;0,0387
376;0,0381
377;0,0378
378;0,0371
379;0,0363
380;0,0359
381;0,0353
382;0,0348
383;0,0342
384;0,0336
385;0,0328
386;0,0324
387;0,032
388;0,0313
389;0,0308
390;0,0303
391;0,0299
392;0,0292
393;0,0288
