AP01_010725.csv;;Schick;30.07.2025 13:39:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5217
191;1,3345
192;1,1561
193;1,0005
194;0,8746
195;0,7716
196;0,705
197;0,6492
198;0,591
199;0,5477
200;0,5147
201;0,4877
202;0,4656
203;0,4457
204;0,4284
205;0,4142
206;0,4007
207;0,3884
208;0,3782
209;0,3682
210;0,3591
211;0,3497
212;0,3422
213;0,3342
214;0,3265
215;0,3184
216;0,3104
217;0,3036
218;0,2967
219;0,2894
220;0,283
221;0,2771
222;0,2712
223;0,2655
224;0,2603
225;0,2548
226;0,2493
227;0,2453
228;0,2412
229;0,2368
230;0,2323
231;0,2273
232;0,2233
233;0,2199
234;0,216
235;0,2127
236;0,2095
237;0,2063
238;0,203
239;0,2003
240;0,1976
241;0,1955
242;0,1932
243;0,1905
244;0,1883
245;0,1865
246;0,1848
247;0,1831
248;0,1812
249;0,1795
250;0,1777
251;0,1761
252;0,1748
253;0,173
254;0,1711
255;0,1696
256;0,1679
257;0,1662
258;0,1648
259;0,1635
260;0,1615
261;0,16
262;0,1581
263;0,1561
264;0,1544
265;0,1526
266;0,1502
267;0,1484
268;0,1462
269;0,1445
270;0,1428
271;0,1409
272;0,1389
273;0,1369
274;0,1348
275;0,1328
276;0,1311
277;0,1289
278;0,1266
279;0,1248
280;0,1229
281;0,1211
282;0,1192
283;0,1173
284;0,1153
285;0,1136
286;0,1119
287;0,1099
288;0,108
289;0,1064
290;0,1044
291;0,1027
292;0,101
293;0,0995
294;0,0978
295;0,0964
296;0,0949
297;0,0935
298;0,092
299;0,0905
300;0,0891
301;0,0879
302;0,0862
303;0,0848
304;0,0836
305;0,0821
306;0,0808
307;0,0796
308;0,0784
309;0,0773
310;0,076
311;0,0751
312;0,0733
313;0,0726
314;0,0716
315;0,0708
316;0,0697
317;0,0685
318;0,0676
319;0,0667
320;0,0654
321;0,0644
322;0,0634
323;0,0624
324;0,0615
325;0,0603
326;0,0596
327;0,0585
328;0,0578
329;0,057
330;0,0562
331;0,0555
332;0,0547
333;0,0537
334;0,053
335;0,0523
336;0,0514
337;0,0506
338;0,0501
339;0,049
340;0,0484
341;0,0478
342;0,0473
343;0,0464
344;0,0459
345;0,0453
346;0,0446
347;0,0435
348;0,0431
349;0,0421
350;0,0417
351;0,0412
352;0,0402
353;0,0399
354;0,0393
355;0,0386
356;0,0379
357;0,0375
358;0,0368
359;0,0361
360;0,0354
361;0,035
362;0,0347
363;0,034
364;0,033
365;0,0326
366;0,0324
367;0,0314
368;0,0307
369;0,0306
370;0,0299
371;0,0295
372;0,0288
373;0,0282
374;0,0277
375;0,0272
376;0,0268
377;0,0266
378;0,0261
379;0,0256
380;0,0252
381;0,0247
382;0,024
383;0,0239
384;0,0235
385;0,023
386;0,0226
387;0,0222
388;0,0219
389;0,0214
390;0,0209
391;0,0207
392;0,0204
393;0,0199
394;0,0198
395;0,0191
396;0,0188
397;0,0183
398;0,0182
399;0,0179
400;0,0176
401;0,0172
402;0,0168
403;0,0166
404;0,0166
405;0,0163
406;0,0159
407;0,0157
408;0,0155
409;0,0152
410;0,0149
411;0,0143
412;0,0144
413;0,0141
414;0,0137
415;0,0138
416;0,0135
417;0,0133
418;0,0132
419;0,0128
420;0,0127
421;0,0124
422;0,0124
423;0,0121
424;0,012
425;0,0119
426;0,0116
427;0,0114
428;0,0112
429;0,0109
430;0,011
431;0,0105
432;0,0105
433;0,0102
434;0,0098
435;0,01
436;0,0099
437;0,0097
438;0,0095
439;0,0094
440;0,0093
441;0,0092
442;0,0089
443;0,0088
444;0,0087
445;0,0086
446;0,0084
447;0,0083
448;0,0082
449;0,0082
450;0,0077
451;0,0077
452;0,0076
453;0,0077
454;0,0073
455;0,0072
456;0,0072
457;0,0069
458;0,0071
459;0,0068
460;0,007
461;0,0069
462;0,0067
463;0,0067
464;0,0066
465;0,0068
466;0,0064
467;0,0062
468;0,0062
469;0,006
470;0,0061
471;0,0061
472;0,0059
473;0,0061
474;0,0059
475;0,0056
476;0,0058
477;0,0057
478;0,0056
479;0,0054
480;0,0056
481;0,0054
482;0,0054
483;0,0046
484;0,005
485;0,0053
486;0,0052
487;0,005
488;0,0048
489;0,0048
490;0,005
491;0,0048
492;0,0048
493;0,0046
494;0,0046
495;0,0043
496;0,0045
497;0,0045
498;0,0044
499;0,0046
500;0,0046
501;0,0043
502;0,004
503;0,0041
504;0,004
505;0,0043
506;0,0041
507;0,0042
508;0,004
509;0,0037
510;0,0039
511;0,0037
512;0,0036
513;0,0036
514;0,0037
515;0,0035
516;0,0037
517;0,0034
518;0,0036
519;0,0035
520;0,0035
521;0,0033
522;0,0035
523;0,0033
524;0,0033
525;0,0033
526;0,0028
527;0,003
528;0,0033
529;0,0033
530;0,003
531;0,0029
532;0,0028
533;0,003
534;0,0029
535;0,0028
536;0,0029
537;0,0027
538;0,0028
539;0,0029
540;0,0027
541;0,0026
542;0,0027
543;0,0022
544;0,0025
545;0,0025
546;0,0023
547;0,0026
548;0,0025
549;0,0023
550;0,0023
551;0,0022
552;0,0025
553;0,0026
554;0,0023
555;0,0021
556;0,0023
557;0,0021
558;0,0015
559;0,0021
560;0,0017
561;0,0019
562;0,0019
563;0,0017
564;0,0015
565;0,0019
566;0,0018
567;0,002
568;0,0019
569;0,002
