SP02_010725.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,4461
191;1,288
192;1,1445
193;1,0253
194;0,931
195;0,8565
196;0,8072
197;0,7651
198;0,7195
199;0,6846
200;0,6575
201;0,6326
202;0,6102
203;0,59
204;0,5697
205;0,5529
206;0,5356
207;0,5187
208;0,5042
209;0,4895
210;0,4764
211;0,4625
212;0,4514
213;0,4401
214;0,4281
215;0,4168
216;0,4051
217;0,3952
218;0,3855
219;0,3754
220;0,3666
221;0,3587
222;0,3505
223;0,343
224;0,3359
225;0,3286
226;0,3219
227;0,3165
228;0,3113
229;0,3052
230;0,2999
231;0,2932
232;0,288
233;0,2837
234;0,2786
235;0,2745
236;0,2704
237;0,2664
238;0,2623
239;0,2588
240;0,2556
241;0,2532
242;0,2504
243;0,2469
244;0,2442
245;0,2423
246;0,2406
247;0,2386
248;0,2363
249;0,2342
250;0,2323
251;0,2305
252;0,2288
253;0,2267
254;0,2245
255;0,2224
256;0,2205
257;0,2184
258;0,2168
259;0,2154
260;0,2128
261;0,2107
262;0,2085
263;0,2056
264;0,2034
265;0,201
266;0,1982
267;0,1957
268;0,1927
269;0,1904
270;0,1884
271;0,1859
272;0,1831
273;0,1802
274;0,1775
275;0,175
276;0,1724
277;0,1696
278;0,1665
279;0,1638
280;0,1615
281;0,1589
282;0,1559
283;0,1533
284;0,1507
285;0,1481
286;0,1456
287;0,1425
288;0,1398
289;0,1375
290;0,1347
291;0,132
292;0,1298
293;0,1276
294;0,1253
295;0,1232
296;0,1212
297;0,1191
298;0,1171
299;0,1149
300;0,1131
301;0,1114
302;0,109
303;0,1072
304;0,1055
305;0,1036
306;0,1019
307;0,1005
308;0,0987
309;0,0972
310;0,0959
311;0,0939
312;0,0925
313;0,0911
314;0,0898
315;0,0887
316;0,0872
317;0,0855
318;0,0844
319;0,0832
320;0,0816
321;0,08
322;0,0787
323;0,0777
324;0,0765
325;0,075
326;0,074
327;0,0726
328;0,0713
329;0,0703
330;0,0691
331;0,068
332;0,0672
333;0,0661
334;0,0651
335;0,0641
336;0,0631
337;0,062
338;0,0612
339;0,0603
340;0,059
341;0,0583
342;0,0574
343;0,0566
344;0,0558
345;0,0551
346;0,0541
347;0,0531
348;0,0523
349;0,0513
350;0,0506
351;0,0502
352;0,0493
353;0,0485
354;0,0479
355;0,0469
356;0,0462
357;0,0457
358;0,0448
359;0,0441
360;0,0435
361;0,0428
362;0,0422
363;0,0416
364;0,0408
365;0,0399
366;0,0396
367;0,0387
368;0,038
369;0,0375
370;0,0367
371;0,0363
372;0,0357
373;0,0348
374;0,0343
375;0,0339
376;0,0333
377;0,0331
378;0,0324
379;0,0317
380;0,0312
381;0,0306
382;0,0302
383;0,0296
384;0,0291
385;0,0286
386;0,0283
387;0,0277
388;0,0273
389;0,0268
390;0,0263
391;0,026
392;0,0255
393;0,0249
394;0,0246
395;0,0243
396;0,0235
397;0,0231
398;0,023
399;0,0224
400;0,0222
401;0,0219
402;0,0214
403;0,0211
404;0,0208
405;0,0205
406;0,02
407;0,0197
408;0,0192
409;0,0191
410;0,0189
411;0,0185
412;0,0182
413;0,0177
414;0,0176
415;0,0173
416;0,0174
417;0,0168
418;0,0166
419;0,0163
420;0,016
421;0,016
422;0,0156
423;0,0153
424;0,0151
425;0,0149
426;0,0147
427;0,0146
428;0,0143
429;0,014
430;0,0139
431;0,0134
432;0,0133
433;0,0131
434;0,0126
435;0,0127
436;0,0126
437;0,0123
438;0,0122
439;0,012
440;0,0119
441;0,0117
442;0,0115
443;0,0113
444;0,011
445;0,0111
446;0,0108
447;0,0108
448;0,0107
449;0,0105
450;0,0102
451;0,0099
452;0,0101
453;0,01
454;0,0096
455;0,0094
456;0,0097
457;0,0092
458;0,0093
459;0,0092
460;0,0091
461;0,0091
462;0,009
463;0,0089
464;0,0087
465;0,0087
466;0,0083
467;0,0083
468;0,0083
469;0,0081
470;0,0079
471;0,0079
472;0,0078
473;0,0076
474;0,0074
475;0,0075
476;0,0073
477;0,0072
478;0,0071
479;0,0072
480;0,0071
481;0,007
482;0,0069
483;0,0061
484;0,0065
485;0,0065
486;0,0067
487;0,0065
488;0,0063
489;0,0064
490;0,0061
491;0,0062
492;0,0059
493;0,0061
494;0,0061
495;0,0056
496;0,0059
497;0,0058
498;0,0055
499;0,0054
500;0,0054
501;0,0054
502;0,0052
503;0,0049
504;0,0052
505;0,0053
506;0,0051
507;0,0051
508;0,0048
509;0,0048
510;0,0047
511;0,0049
512;0,0047
513;0,0049
514;0,0047
515;0,0043
516;0,0043
517;0,0046
518;0,0045
519;0,0047
520;0,0047
521;0,0041
522;0,0043
523;0,0043
524;0,004
525;0,0042
526;0,0041
527;0,0041
528;0,0042
529;0,0042
530;0,0042
531;0,0042
532;0,004
533;0,0039
534;0,0042
535;0,0037
536;0,0039
537;0,0037
538;0,0038
539;0,0036
540;0,0038
541;0,0036
542;0,0038
543;0,0036
544;0,0033
545;0,0035
546;0,0032
547;0,0031
548;0,0032
549;0,003
550;0,0033
551;0,0034
552;0,0031
553;0,003
554;0,0029
555;0,0033
556;0,0034
557;0,0027
558;0,003
559;0,0035
560;0,0028
561;0,0027
562;0,0028
563;0,0022
564;0,0027
565;0,0029
566;0,0024
567;0,0027
568;0,0026
569;0,0023
570;0,0023
571;0,0025
572;0,0028
573;0,0023
574;0,0021
575;0,0022
576;0,0027
577;0,0019
578;0,0018
579;0,0021
580;0,0026
581;0,002
582;0,0016
583;0,0024
584;0,0021
585;0,0022
586;0,0017
587;0,0022
588;0,0024
589;0,0019
590;0,002
591;0,0015
592;0,0016
593;0,0015
594;0,0018
595;0,0023
596;0,002
597;0,0015
598;0,0017
599;0,0018
600;0,0019
601;0,0018
602;0,0014
603;0,0016
604;0,002
605;0,0016
606;0,002
607;0,0014
608;0,0017
609;0,0018
610;0,0014
611;0,0019
612;0,0015
613;0,0013
614;0,0015
615;0,0014
616;0,001
617;0,0021
618;0,0014
619;0,001
620;0,001
621;0,0014
622;0,0003
623;0,0016
624;0,0016
625;0,0015
626;0,0018
627;0,0009
628;0,0014
629;0,0018
630;0,0009
631;0,0012
632;0,001
633;0,0013
634;0,0017
635;0,0013
636;0,0016
637;0,0015
638;0,0008
639;0,0013
640;0,0011
641;0,0008
642;0,0014
643;0,0004
644;0,0006
645;0,0009
646;0,001
647;0,0013
648;0,0011
649;0,0012
650;0,0016
651;0,0017
652;0,0013
653;0,0015
654;0,0011
655;0,0014
656;0,0013
657;0,001
658;0,0014
659;0,002
660;0,0011
661;0,0008
662;0,0013
663;0,0011
664;0,0013
665;-0,0003
666;0,0006
667;0,0023
668;0,0004
669;0,0005
670;0,0024
671;0,001
672;0,0015
673;0,0009
674;0,0013
675;0,0016
676;0,0014
677;0,0015
678;0,0014
679;0,0015
680;0,0014
681;0,0012
682;0,0012
683;0,0015
684;0,0014
685;0,0014
686;0,0013
687;0,001
688;0,0012
689;0,0014
690;0,0015
691;0,0014
692;0,0008
693;0,001
694;0,0016
695;0,001
696;0,001
697;0,0016
698;0,0007
699;0,0013
700;0,0009
701;0,0015
702;0,0015
703;0,0007
704;0,0011
705;0,0006
706;0,0004
707;0,0013
708;0,0001
709;0,0009
710;0,0012
711;0,0008
712;0,0012
713;0,0005
714;0,0007
715;0,0012
716;0,0009
717;0,0011
718;0,0011
719;0,0007
720;0,0011
721;0,0014
722;0,0008
723;0,0007
724;0,0006
725;0,0001
726;0,0012
727;-0,0002
728;0,0002
729;0,0013
730;0,0004
731;0,0016
732;0,0011
733;0,0002
734;0,0007
735;0,0004
736;0
737;0,0005
738;0,0013
739;0,0001
740;0,0007
741;0,0005
742;0,0004
743;0,0013
744;0,0004
745;0,001
