SP01_240625.csv;;Schick;30.07.2025 16:06:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,4606
191;1,2983
192;1,1509
193;1,0262
194;0,9274
195;0,8471
196;0,7944
197;0,749
198;0,7015
199;0,6653
200;0,6374
201;0,6119
202;0,5895
203;0,5689
204;0,5489
205;0,5326
206;0,5159
207;0,4998
208;0,4862
209;0,4725
210;0,4601
211;0,4481
212;0,4375
213;0,4267
214;0,4158
215;0,406
216;0,3955
217;0,3866
218;0,378
219;0,3692
220;0,3609
221;0,3534
222;0,3465
223;0,3397
224;0,3334
225;0,3266
226;0,3203
227;0,3155
228;0,3107
229;0,305
230;0,2998
231;0,2935
232;0,2887
233;0,2845
234;0,2797
235;0,2757
236;0,2717
237;0,2678
238;0,2637
239;0,2602
240;0,2571
241;0,2547
242;0,2518
243;0,2484
244;0,2457
245;0,2438
246;0,2419
247;0,2398
248;0,2376
249;0,2355
250;0,2334
251;0,2317
252;0,2299
253;0,2279
254;0,2255
255;0,2236
256;0,2217
257;0,2196
258;0,2182
259;0,2166
260;0,2141
261;0,212
262;0,2097
263;0,2072
264;0,205
265;0,2028
266;0,1999
267;0,1974
268;0,1944
269;0,1923
270;0,1903
271;0,1879
272;0,185
273;0,1823
274;0,1797
275;0,1771
276;0,1747
277;0,1718
278;0,1686
279;0,166
280;0,1636
281;0,1612
282;0,1585
283;0,1556
284;0,1529
285;0,1506
286;0,148
287;0,1449
288;0,1423
289;0,1399
290;0,1372
291;0,1345
292;0,1322
293;0,13
294;0,1276
295;0,1256
296;0,1236
297;0,1214
298;0,1193
299;0,1173
300;0,1152
301;0,1135
302;0,1112
303;0,1092
304;0,1075
305;0,1055
306;0,1038
307;0,1021
308;0,1006
309;0,0991
310;0,0974
311;0,0961
312;0,0938
313;0,0928
314;0,0914
315;0,0899
316;0,0885
317;0,087
318;0,0857
319;0,0843
320;0,0829
321;0,0814
322;0,0801
323;0,0788
324;0,0776
325;0,0762
326;0,0748
327;0,0736
328;0,0724
329;0,0712
330;0,0703
331;0,069
332;0,0681
333;0,0672
334;0,0659
335;0,0649
336;0,0638
337;0,0628
338;0,062
339;0,0609
340;0,0597
341;0,0588
342;0,058
343;0,0572
344;0,0563
345;0,0556
346;0,0547
347;0,0537
348;0,0529
349;0,0518
350;0,0513
351;0,0505
352;0,0494
353;0,0489
354;0,048
355;0,0474
356;0,0464
357;0,0461
358;0,0451
359;0,0443
360;0,0437
361;0,043
362;0,0425
363;0,0417
364;0,0408
365;0,0402
366;0,0397
367;0,0389
368;0,0382
369;0,0377
370;0,0368
371;0,0365
372;0,0359
373;0,035
374;0,0347
375;0,034
376;0,0334
377;0,0331
378;0,0324
379;0,0317
380;0,0312
381;0,0308
382;0,0302
383;0,03
384;0,0293
385;0,0287
386;0,0284
387;0,0278
388;0,0272
389;0,0269
390;0,0265
391;0,0261
392;0,0257
393;0,0251
394;0,0248
395;0,0243
396;0,024
397;0,0233
398;0,023
399;0,0226
400;0,0222
401;0,022
402;0,0213
403;0,0212
404;0,0209
405;0,0205
406;0,0202
407;0,0197
408;0,0193
409;0,0191
410;0,0192
411;0,0184
412;0,0184
413;0,0182
414;0,0176
415;0,0175
416;0,0172
417;0,0169
418;0,0166
419;0,0165
420;0,0162
421;0,0161
422;0,016
423;0,0156
424;0,0155
425;0,0153
426;0,015
427;0,0148
428;0,0145
429;0,0142
430;0,0142
431;0,0138
432;0,0136
433;0,0133
434;0,0131
435;0,0131
436;0,0131
437;0,0126
438;0,0125
439;0,0124
440;0,0122
441;0,0119
442;0,0118
443;0,0116
444;0,0115
445;0,0112
446;0,0111
447;0,0111
448;0,0109
449;0,0107
450;0,0104
451;0,0102
452;0,0102
453;0,0102
454;0,0093
455;0,0095
456;0,0096
457;0,0094
458;0,0093
459;0,0092
460;0,0092
461;0,0091
462;0,0089
463;0,0088
464;0,0088
465;0,0087
466;0,0082
467;0,0086
468;0,0085
469;0,0082
470;0,0082
471;0,0078
472;0,0079
473;0,0076
474;0,0078
475;0,0076
476;0,0074
477;0,0076
478;0,0072
479;0,0073
480;0,0072
481;0,0071
482;0,0072
483;0,0062
484;0,0066
485;0,0069
486;0,0066
487;0,0066
488;0,0065
489;0,0066
490;0,0068
491;0,0062
492;0,0062
493;0,0062
494;0,006
495;0,006
496;0,0058
497;0,0058
498;0,0058
499;0,0059
500;0,0053
501;0,0052
502;0,0054
503;0,0053
504;0,005
505;0,0054
506;0,0049
507;0,0049
508;0,0053
509;0,0049
510;0,005
511;0,0049
512;0,0047
513;0,0048
514;0,0048
515;0,0044
516;0,0045
517;0,0047
518;0,0044
519;0,0045
520;0,0044
521;0,0045
522;0,0044
523;0,0044
524;0,0043
525;0,0042
526;0,0041
527;0,0043
528;0,0044
529;0,0045
530;0,004
531;0,0038
532;0,0038
533;0,0042
534;0,004
535;0,0037
536;0,0036
537;0,0036
538;0,0038
539;0,0036
540;0,0037
541;0,0035
542;0,0035
543;0,0035
544;0,0035
545;0,0037
546;0,0032
547;0,0033
548;0,0035
549;0,0034
550;0,0035
551;0,003
552;0,0031
553;0,0029
554;0,0032
555;0,0032
556;0,0031
557;0,0026
558;0,0027
559;0,0029
560;0,0029
561;0,0026
562;0,0028
563;0,0025
564;0,0025
565;0,0025
566;0,0025
567;0,0026
568;0,0024
569;0,0026
570;0,0027
571;0,0026
572;0,0024
573;0,0025
574;0,0025
575;0,002
576;0,0024
577;0,0027
578;0,0025
579;0,0024
580;0,0022
581;0,0024
582;0,0021
583;0,0014
584;0,002
585;0,0024
586;0,0018
587;0,002
588;0,0015
589;0,0022
590;0,0023
591;0,0017
592;0,0021
593;0,0021
594;0,0018
595;0,002
596;0,0015
597;0,0015
598;0,0021
599;0,0017
600;0,0019
601;0,0022
602;0,0015
603;0,0023
604;0,0015
605;0,0018
606;0,0019
607;0,0014
608;0,0018
609;0,0019
610;0,0013
611;0,0016
612;0,0013
613;0,0018
614;0,0013
615;0,0018
616;0,001
617;0,0016
618;0,0014
619;0,0008
620;0,0013
621;0,001
622;0,0014
623;0,0014
624;0,0009
625;0,0015
626;0,0019
627;0,0021
628;0,0017
629;0,0018
630;0,0006
631;0,0018
632;0,0014
633;0,0012
634;0,0013
635;0,001
636;0,0014
637;0,0014
638;0,0007
