SP02_1006.csv;;Schick;17.06.2025 11:08:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5524
191;1,3794
192;1,2324
193;1,0817
194;0,962
195;0,8729
196;0,7993
197;0,747
198;0,6987
199;0,6503
200;0,6146
201;0,5863
202;0,5604
203;0,5374
204;0,5171
205;0,497
206;0,4804
207;0,4636
208;0,4485
209;0,4349
210;0,4223
211;0,4094
212;0,3982
213;0,3875
214;0,3767
215;0,3661
216;0,3556
217;0,3458
218;0,337
219;0,3281
220;0,3195
221;0,3119
222;0,3044
223;0,2976
224;0,2909
225;0,2843
226;0,2779
227;0,2721
228;0,2674
229;0,2622
230;0,2564
231;0,2509
232;0,2456
233;0,2414
234;0,2369
235;0,2329
236;0,2292
237;0,2256
238;0,222
239;0,2185
240;0,2154
241;0,213
242;0,2106
243;0,2077
244;0,205
245;0,2031
246;0,2013
247;0,1995
248;0,198
249;0,1959
250;0,1941
251;0,1927
252;0,1912
253;0,1897
254;0,1881
255;0,1864
256;0,1849
257;0,1832
258;0,1816
259;0,1803
260;0,1788
261;0,1768
262;0,175
263;0,1731
264;0,1711
265;0,1693
266;0,1672
267;0,165
268;0,1628
269;0,1607
270;0,1589
271;0,157
272;0,1548
273;0,1526
274;0,1505
275;0,1484
276;0,1462
277;0,1439
278;0,1417
279;0,1392
280;0,1372
281;0,135
282;0,1328
283;0,1305
284;0,128
285;0,1259
286;0,1237
287;0,1212
288;0,1189
289;0,1166
290;0,1144
291;0,112
292;0,1098
293;0,1077
294;0,1057
295;0,1039
296;0,102
297;0,1002
298;0,0982
299;0,0963
300;0,0947
301;0,093
302;0,0912
303;0,0897
304;0,0882
305;0,0866
306;0,0853
307;0,0839
308;0,0824
309;0,0812
310;0,08
311;0,0787
312;0,0769
313;0,0762
314;0,075
315;0,0741
316;0,073
317;0,0717
318;0,0706
319;0,0699
320;0,0685
321;0,0675
322;0,0664
323;0,0653
324;0,0643
325;0,0633
326;0,062
327;0,061
328;0,0601
329;0,0591
330;0,0582
331;0,0574
332;0,0564
333;0,0555
334;0,0549
335;0,0537
336;0,053
337;0,0524
338;0,0514
339;0,0506
340;0,0498
341;0,0492
342;0,0484
343;0,0477
344;0,047
345;0,0464
346;0,0458
347;0,0451
348;0,0444
349;0,0437
350;0,0432
351;0,0425
352;0,0417
353;0,0412
354;0,0407
355;0,04
356;0,0396
357;0,0391
358;0,0385
359;0,0379
360;0,0374
361;0,0368
362;0,0362
363;0,0356
364;0,035
365;0,0346
366;0,0341
367;0,0337
368;0,0329
369;0,0326
370;0,032
371;0,0316
372;0,031
373;0,0305
374;0,0303
375;0,0297
376;0,0292
377;0,0289
378;0,0283
379;0,0278
380;0,0275
381;0,0272
382;0,0265
383;0,0263
384;0,0261
385;0,0253
386;0,0253
387;0,0246
388;0,0244
389;0,0239
390;0,0238
391;0,0234
392;0,0232
393;0,0228
394;0,0224
395;0,0223
396;0,0219
397;0,0215
398;0,0213
399;0,0209
400;0,0209
401;0,0206
402;0,02
403;0,02
404;0,0198
405;0,0193
406;0,0192
407;0,0192
408;0,019
409;0,0185
410;0,0184
411;0,0179
412;0,0179
413;0,0176
414;0,0173
415;0,0173
416;0,0172
417;0,0167
418;0,0168
419;0,0166
420;0,0164
421;0,0161
422;0,0159
423;0,0157
424;0,0156
425;0,0153
426;0,015
427;0,0149
428;0,0148
429;0,0145
430;0,0144
431;0,014
432;0,0139
433;0,0138
434;0,0135
435;0,0135
436;0,0133
437;0,0129
438;0,013
439;0,0126
440;0,0125
441;0,0126
442;0,0123
443;0,012
444;0,0122
445;0,0119
446;0,0117
447;0,0118
448;0,0116
449;0,0113
450;0,0113
451;0,0112
452;0,0112
453;0,011
454;0,0108
455;0,0109
456;0,0107
457;0,0105
458;0,0106
459;0,0106
460;0,0103
461;0,0104
462;0,0101
463;0,0101
464;0,0102
465;0,01
466;0,0099
467;0,0099
468;0,0098
469;0,0097
470;0,0097
471;0,0096
472;0,0095
473;0,0096
474;0,0094
475;0,0092
476;0,0093
477;0,0093
478;0,0091
479;0,009
480;0,0089
481;0,0088
482;0,0091
483;0,0084
484;0,0087
485;0,0087
486;0,0086
487;0,0086
488;0,0086
489;0,0085
490;0,0085
491;0,0083
492;0,0082
493;0,0081
494;0,0081
495;0,008
496;0,0081
497;0,0081
498;0,0077
499;0,0079
500;0,0078
501;0,0078
502;0,0077
503;0,0079
504;0,0075
505;0,0077
506;0,0073
507;0,0078
508;0,0075
509;0,007
510;0,0073
511;0,0073
512;0,0068
513;0,007
514;0,0071
515;0,0066
516;0,007
517;0,0069
518;0,0069
519;0,007
520;0,0068
521;0,0066
522;0,0066
523;0,0065
524;0,0067
525;0,0068
526;0,0066
527;0,0066
528;0,0067
529;0,0065
530;0,0064
531;0,0063
532;0,0063
533;0,0066
534;0,0067
535;0,0062
536;0,0065
537;0,0066
538;0,0058
539;0,0059
540;0,0062
541;0,0063
542;0,0061
543;0,0061
544;0,0059
545;0,0064
546;0,0059
547;0,006
548;0,0061
549;0,006
550;0,0056
551;0,0057
552;0,0058
553;0,0059
554;0,0059
555;0,0058
556;0,0063
557;0,0057
558;0,0059
559;0,0056
560;0,0057
561;0,0058
562;0,0061
563;0,0053
564;0,0056
565;0,0058
566;0,0056
567;0,0054
568;0,0054
569;0,0056
570;0,0058
571;0,0057
572;0,0055
573;0,0054
574;0,0055
575;0,0058
576;0,0056
577;0,0054
578;0,0054
579;0,0055
580;0,0052
581;0,0059
582;0,0055
583;0,0055
584;0,0057
585;0,0052
586;0,0051
587;0,0051
588;0,0055
589;0,0053
590;0,0054
591;0,005
592;0,0049
593;0,0053
594;0,005
595;0,0051
596;0,0049
597;0,0052
598;0,0053
599;0,0048
600;0,0054
601;0,005
602;0,005
603;0,0054
604;0,0052
605;0,0051
606;0,0052
607;0,0046
608;0,0051
609;0,0048
610;0,0054
611;0,005
612;0,0047
613;0,0047
614;0,0046
615;0,0053
616;0,0048
617;0,0052
618;0,0045
619;0,0044
620;0,0054
621;0,005
622;0,0052
623;0,005
624;0,0049
625;0,0049
626;0,0049
627;0,0044
628;0,0041
629;0,0047
630;0,0046
631;0,0049
632;0,0045
633;0,0046
634;0,005
635;0,0043
636;0,0045
637;0,0048
638;0,0043
639;0,0048
640;0,0048
641;0,0041
642;0,0045
643;0,0045
644;0,0045
645;0,0047
646;0,0046
647;0,0043
648;0,0045
649;0,0046
650;0,0041
651;0,0047
652;0,0052
653;0,0046
654;0,0052
655;0,0041
656;0,0046
657;0,0043
658;0,0044
659;0,0043
660;0,0041
661;0,0046
662;0,0041
663;0,0038
664;0,0049
665;0,0043
666;0,0042
667;0,0044
668;0,004
669;0,0043
670;0,0042
671;0,0044
672;0,004
673;0,0042
674;0,0044
675;0,0046
676;0,0043
677;0,0043
678;0,0042
679;0,0041
680;0,0043
681;0,0045
682;0,0045
683;0,0042
684;0,0046
685;0,0043
686;0,0043
687;0,0037
688;0,0042
689;0,0046
690;0,0037
691;0,0041
692;0,0038
693;0,0037
694;0,0047
695;0,0044
696;0,0037
697;0,0038
698;0,0033
699;0,0039
700;0,0045
701;0,004
702;0,0035
703;0,0038
704;0,0044
705;0,0042
706;0,0048
707;0,0045
708;0,0043
709;0,0039
710;0,0045
711;0,004
712;0,0038
713;0,0043
714;0,0043
715;0,0041
716;0,0042
717;0,0043
718;0,0039
719;0,0038
720;0,0045
721;0,0052
722;0,0036
723;0,0044
724;0,0032
725;0,0041
726;0,0039
727;0,0047
728;0,0044
729;0,0043
