AP02_0206.csv;;Schick;17.06.2025 11:08:25;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,6389
191;1,4405
192;1,2608
193;1,0737
194;0,925
195;0,8135
196;0,7211
197;0,6564
198;0,5996
199;0,5436
200;0,5045
201;0,4759
202;0,4494
203;0,4282
204;0,4107
205;0,3949
206;0,3826
207;0,3708
208;0,3605
209;0,3525
210;0,3448
211;0,3371
212;0,3308
213;0,3249
214;0,3184
215;0,3123
216;0,3067
217;0,3009
218;0,2958
219;0,2907
220;0,2857
221;0,2814
222;0,2766
223;0,2724
224;0,2684
225;0,2643
226;0,2605
227;0,2567
228;0,253
229;0,2494
230;0,2458
231;0,2422
232;0,2391
233;0,2361
234;0,2331
235;0,2303
236;0,2277
237;0,225
238;0,2226
239;0,2204
240;0,2179
241;0,2157
242;0,2136
243;0,2115
244;0,21
245;0,2085
246;0,2064
247;0,2047
248;0,2034
249;0,2019
250;0,2007
251;0,1992
252;0,1977
253;0,1965
254;0,1953
255;0,1936
256;0,1922
257;0,1909
258;0,1892
259;0,1874
260;0,1858
261;0,1844
262;0,1829
263;0,1812
264;0,1794
265;0,1773
266;0,1754
267;0,1735
268;0,1716
269;0,17
270;0,1677
271;0,1656
272;0,1637
273;0,162
274;0,1601
275;0,1582
276;0,1561
277;0,154
278;0,1519
279;0,1498
280;0,148
281;0,146
282;0,144
283;0,1423
284;0,1402
285;0,1383
286;0,1362
287;0,1345
288;0,1328
289;0,1308
290;0,1287
291;0,1269
292;0,1252
293;0,1234
294;0,1216
295;0,12
296;0,1182
297;0,1167
298;0,115
299;0,1134
300;0,112
301;0,1103
302;0,1086
303;0,1071
304;0,1059
305;0,1044
306;0,103
307;0,1018
308;0,1004
309;0,0992
310;0,0979
311;0,0969
312;0,0953
313;0,0946
314;0,0931
315;0,0922
316;0,0911
317;0,0901
318;0,0892
319;0,0881
320;0,0868
321;0,0861
322;0,0854
323;0,0843
324;0,083
325;0,082
326;0,0806
327;0,0798
328;0,079
329;0,0781
330;0,0773
331;0,0766
332;0,0756
333;0,0747
334;0,0738
335;0,073
336;0,0723
337;0,0713
338;0,0705
339;0,0698
340;0,069
341;0,0682
342;0,0676
343;0,0671
344;0,0663
345;0,0655
346;0,0646
347;0,0637
348;0,0633
349;0,0624
350;0,0618
351;0,0609
352;0,0605
353;0,0598
354;0,0593
355;0,0585
356;0,058
357;0,0572
358;0,0563
359;0,0558
360;0,0552
361;0,0544
362;0,0536
363;0,0528
364;0,0523
365;0,0515
366;0,0511
367;0,0503
368;0,0496
369;0,0493
370;0,0486
371;0,0479
372;0,0473
373;0,0467
374;0,0461
375;0,0457
376;0,045
377;0,0442
378;0,0435
379;0,0428
380;0,0425
381;0,0418
382;0,0415
383;0,0407
384;0,0404
385;0,0397
386;0,0392
387;0,0386
388;0,038
389;0,0377
390;0,0375
391;0,0369
392;0,0365
393;0,036
394;0,0352
395;0,0348
396;0,0344
397;0,0338
398;0,0336
399;0,033
400;0,0327
401;0,0327
402;0,0321
403;0,0318
404;0,0313
405;0,0307
406;0,0304
407;0,0302
408;0,03
409;0,0297
410;0,0291
411;0,0287
412;0,0285
413;0,0282
414;0,028
415;0,0276
416;0,0275
417;0,027
418;0,0267
419;0,0266
420;0,0264
421;0,0261
422;0,0257
423;0,0254
424;0,0252
425;0,0249
426;0,0245
427;0,0243
428;0,024
429;0,0238
430;0,0236
431;0,0233
432;0,023
433;0,0229
434;0,0223
435;0,0222
436;0,0222
437;0,0218
438;0,0215
439;0,0214
440;0,0212
441;0,0209
442;0,0209
443;0,0204
444;0,0203
445;0,0201
446;0,02
447;0,0198
448;0,0195
449;0,0192
450;0,0194
451;0,0191
452;0,0189
453;0,0188
454;0,0184
455;0,0187
456;0,0183
457;0,0183
458;0,0183
459;0,0182
460;0,0177
461;0,0176
462;0,0175
463;0,0175
464;0,0174
465;0,0173
466;0,0173
467;0,0171
468;0,0171
469;0,0168
470;0,0167
471;0,0165
472;0,0163
473;0,0164
474;0,0161
475;0,016
476;0,0159
477;0,016
478;0,0158
479;0,0158
480;0,0159
481;0,0158
482;0,0156
483;0,015
484;0,0153
485;0,015
486;0,015
487;0,015
488;0,0148
489;0,0145
490;0,0147
491;0,0148
492;0,0143
493;0,0142
494;0,0142
495;0,0143
496;0,0143
497;0,0138
498;0,0141
499;0,0136
500;0,0138
501;0,0136
502;0,0137
503;0,0133
504;0,0134
505;0,0135
506;0,0131
507;0,0129
508;0,0128
509;0,013
510;0,0127
511;0,0128
512;0,0125
513;0,0123
514;0,0124
515;0,0122
516;0,0123
517;0,0123
518;0,0118
519;0,012
520;0,0119
521;0,0115
522;0,0121
523;0,0115
524;0,0115
525;0,0118
526;0,0115
527;0,0116
528;0,0111
529;0,0112
530;0,0111
531;0,0109
532;0,0109
533;0,0108
534;0,0107
535;0,0107
536;0,0107
537;0,0103
538;0,0103
539;0,0105
540;0,0102
541;0,0102
542;0,0102
543;0,0097
544;0,0099
545;0,0101
546;0,0098
547;0,0098
548;0,0098
549;0,0097
550;0,0095
551;0,0098
552;0,0094
553;0,0098
554;0,0095
555;0,009
556;0,0093
557;0,0089
558;0,009
559;0,0087
560;0,0086
561;0,0088
562;0,0087
563;0,0086
564;0,0086
565;0,0083
566;0,0085
567;0,0083
568;0,0083
569;0,0084
570;0,0087
571;0,0084
572;0,0083
573;0,0082
574;0,0082
575;0,0084
576;0,0082
577;0,0078
578;0,008
579;0,0086
580;0,0082
581;0,0082
582;0,0079
583;0,0079
584;0,0077
585;0,0079
586;0,0082
587;0,0083
588;0,0075
589;0,0077
590;0,0074
591;0,0079
592;0,0081
593;0,0074
594;0,0081
595;0,0076
596;0,007
597;0,0075
598;0,0073
599;0,0077
600;0,0078
601;0,0074
602;0,0075
603;0,0075
604;0,0073
605;0,0069
606;0,0071
607;0,0076
608;0,0074
609;0,0073
610;0,0073
611;0,0072
612;0,0076
613;0,0071
614;0,0071
615;0,0069
616;0,0069
617;0,0075
618;0,0073
619;0,0077
620;0,0072
621;0,0066
622;0,0073
623;0,0076
624;0,007
625;0,0076
626;0,0069
627;0,0065
628;0,0066
629;0,0068
630;0,0068
631;0,0065
