AP01_0206.csv;;Schick;17.06.2025 11:08:25;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,6678
191;1,473
192;1,2948
193;1,1089
194;0,9621
195;0,8499
196;0,758
197;0,6943
198;0,6367
199;0,5782
200;0,5364
201;0,5057
202;0,4767
203;0,4544
204;0,4358
205;0,4191
206;0,4063
207;0,3937
208;0,3835
209;0,3744
210;0,3664
211;0,3583
212;0,3515
213;0,3456
214;0,3391
215;0,3324
216;0,3264
217;0,3205
218;0,315
219;0,3096
220;0,304
221;0,2993
222;0,2944
223;0,2899
224;0,2852
225;0,2805
226;0,2759
227;0,2715
228;0,2685
229;0,2651
230;0,2609
231;0,2565
232;0,2525
233;0,2492
234;0,2458
235;0,243
236;0,2403
237;0,2375
238;0,2346
239;0,2318
240;0,2292
241;0,2274
242;0,2258
243;0,2233
244;0,2207
245;0,219
246;0,2176
247;0,2163
248;0,2149
249;0,213
250;0,2112
251;0,21
252;0,2088
253;0,2073
254;0,2058
255;0,2039
256;0,2024
257;0,2009
258;0,1995
259;0,1987
260;0,1975
261;0,1957
262;0,1942
263;0,1926
264;0,1907
265;0,1891
266;0,1876
267;0,1858
268;0,1841
269;0,1822
270;0,1811
271;0,1797
272;0,1779
273;0,1761
274;0,1744
275;0,1729
276;0,1713
277;0,1695
278;0,1678
279;0,166
280;0,1646
281;0,1634
282;0,1616
283;0,1599
284;0,1582
285;0,1567
286;0,1555
287;0,1537
288;0,1518
289;0,1504
290;0,1491
291;0,1474
292;0,1458
293;0,1443
294;0,143
295;0,1415
296;0,1402
297;0,1392
298;0,1377
299;0,1363
300;0,1352
301;0,134
302;0,1324
303;0,131
304;0,13
305;0,1288
306;0,1275
307;0,1265
308;0,1254
309;0,1244
310;0,1233
311;0,1226
312;0,121
313;0,1203
314;0,1194
315;0,1189
316;0,1177
317;0,1166
318;0,1157
319;0,115
320;0,1139
321;0,113
322;0,112
323;0,1111
324;0,1105
325;0,1094
326;0,1083
327;0,1075
328;0,1067
329;0,1056
330;0,105
331;0,1041
332;0,1032
333;0,1027
334;0,1019
335;0,1011
336;0,1001
337;0,0992
338;0,0986
339;0,0979
340;0,0971
341;0,0961
342;0,0954
343;0,095
344;0,0942
345;0,0937
346;0,0931
347;0,0922
348;0,0914
349;0,0905
350;0,0901
351;0,0894
352;0,0885
353;0,0879
354;0,0876
355;0,0866
356;0,0861
357;0,0855
358;0,0848
359;0,0839
360;0,0832
361;0,0827
362;0,0824
