SP02_150725.csv;;Schick;30.07.2025 16:06:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;2,5153
191;2,5242
192;2,4586
193;2,3577
194;2,252
195;2,1293
196;2,0147
197;1,8852
198;1,7358
199;1,6163
200;1,5129
201;1,4147
202;1,3255
203;1,2414
204;1,163
205;1,0998
206;1,037
207;0,9829
208;0,9386
209;0,8969
210;0,8613
211;0,8248
212;0,7986
213;0,7712
214;0,7442
215;0,7195
216;0,6955
217;0,6745
218;0,6542
219;0,6338
220;0,616
221;0,6002
222;0,5847
223;0,5698
224;0,5566
225;0,5423
226;0,5287
227;0,5178
228;0,5069
229;0,4942
230;0,4833
231;0,4703
232;0,4606
233;0,4526
234;0,4437
235;0,4365
236;0,4297
237;0,423
238;0,4166
239;0,4111
240;0,4063
241;0,4026
242;0,3983
243;0,3932
244;0,3892
245;0,3861
246;0,383
247;0,3794
248;0,3756
249;0,3722
250;0,369
251;0,3661
252;0,3634
253;0,3604
254;0,3573
255;0,3545
256;0,3519
257;0,3492
258;0,3471
259;0,3449
260;0,3417
261;0,339
262;0,336
263;0,3324
264;0,3293
265;0,326
266;0,3218
267;0,3179
268;0,3134
269;0,3097
270;0,3063
271;0,3019
272;0,2973
273;0,2927
274;0,2882
275;0,2837
276;0,2792
277;0,2741
278;0,2686
279;0,2637
280;0,2595
281;0,2548
282;0,2497
283;0,2448
284;0,24
285;0,2355
286;0,2311
287;0,2259
288;0,2211
289;0,2172
290;0,2122
291;0,2075
292;0,2037
293;0,1997
294;0,1957
295;0,1922
296;0,1888
297;0,1852
298;0,1817
299;0,1783
300;0,1751
301;0,1721
302;0,1684
303;0,1655
304;0,1626
305;0,1597
306;0,1568
307;0,1546
308;0,152
309;0,1495
310;0,1473
311;0,1447
312;0,1423
313;0,1402
314;0,1383
315;0,1364
316;0,1342
317;0,1321
318;0,1304
319;0,1285
320;0,1265
321;0,1244
322;0,1226
323;0,121
324;0,1194
325;0,1171
326;0,1156
327;0,1139
328;0,1122
329;0,1106
330;0,1091
331;0,1076
332;0,1062
333;0,1049
334;0,1035
335;0,1021
336;0,1006
337;0,099
338;0,098
339;0,0965
340;0,095
341;0,0935
342;0,0923
343;0,0912
344;0,0901
345;0,0889
346;0,0875
347;0,0864
348;0,085
349;0,0836
350;0,0826
351;0,0815
352;0,0804
353;0,0793
354;0,0784
355;0,077
356;0,0763
357;0,0755
358;0,0745
359;0,0733
360;0,0725
361;0,0718
362;0,0708
363;0,07
364;0,069
365;0,068
366;0,0675
367;0,0664
368;0,0657
369;0,065
370;0,0638
371;0,0634
372;0,0626
373;0,0616
374;0,0608
375;0,0598
376;0,0593
377;0,0589
378;0,0582
379;0,0576
380;0,0567
381;0,0561
382;0,0555
383;0,0547
384;0,054
385;0,0532
386;0,0528
387;0,0521
388;0,0515
389;0,0509
390;0,0502
391;0,0498
392;0,0491
393;0,0483
394;0,048
395;0,0474
396;0,0467
397;0,0463
398;0,0457
399;0,0451
400;0,0446
401;0,0443
402;0,0437
403;0,0433
404;0,0428
405;0,0425
406;0,0421
407;0,0418
408;0,0412
409;0,0405
410;0,0403
411;0,0398
412;0,0396
413;0,039
414;0,0389
415;0,0383
416;0,0381
417;0,0376
418;0,0372
419;0,0368
420;0,0363
421;0,0362
422;0,0358
423;0,0353
424;0,035
425;0,0346
426;0,0341
427;0,0339
428;0,0334
429;0,0331
430;0,0328
431;0,0323
432;0,0321
433;0,0319
434;0,0314
435;0,0313
436;0,0311
437;0,0309
438;0,0306
439;0,0301
440;0,0299
441;0,0296
442;0,029
443;0,0285
444;0,0282
445;0,0276
446;0,0272
447;0,0268
448;0,0263
449;0,0256
450;0,0254
451;0,0247
452;0,0243
453;0,024
454;0,0231
455;0,0232
456;0,023
457;0,0225
458;0,0221
459;0,022
460;0,0218
461;0,0217
462;0,0213
463;0,0208
464;0,0207
