AP01_1006.csv;;Schick;17.06.2025 11:08:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,6588
191;1,4603
192;1,2856
193;1,1031
194;0,9596
195;0,8511
196;0,7621
197;0,7005
198;0,6464
199;0,5917
200;0,5542
201;0,5255
202;0,5008
203;0,4807
204;0,4639
205;0,4485
206;0,437
207;0,4258
208;0,416
209;0,4081
210;0,4007
211;0,3938
212;0,3877
213;0,3813
214;0,3756
215;0,3702
216;0,3645
217;0,3588
218;0,3538
219;0,349
220;0,344
221;0,3394
222;0,335
223;0,3308
224;0,3267
225;0,3226
226;0,3186
227;0,3147
228;0,3111
229;0,3076
230;0,3036
231;0,2999
232;0,2965
233;0,2936
234;0,2903
235;0,2873
236;0,2844
237;0,2818
238;0,2791
239;0,2764
240;0,2739
241;0,2717
242;0,2696
243;0,2673
244;0,2652
245;0,2636
246;0,2616
247;0,2598
248;0,2584
249;0,2565
250;0,2551
251;0,2537
252;0,252
253;0,2505
254;0,2492
255;0,2472
256;0,2458
257;0,2441
258;0,2424
259;0,2408
260;0,2392
261;0,2374
262;0,2356
263;0,2338
264;0,2319
265;0,2298
266;0,2277
267;0,2255
268;0,2237
269;0,2217
270;0,2196
271;0,2176
272;0,2154
273;0,2134
274;0,2114
275;0,2092
276;0,2072
277;0,2049
278;0,2028
279;0,2005
280;0,1986
281;0,1964
282;0,1946
283;0,1926
284;0,1905
285;0,1886
286;0,1866
287;0,1846
288;0,1827
289;0,1807
290;0,1786
291;0,1766
292;0,175
293;0,1731
294;0,1711
295;0,1696
296;0,1678
297;0,1661
298;0,1644
299;0,1625
300;0,1611
301;0,1592
302;0,1575
303;0,1562
304;0,1547
305;0,1531
306;0,1517
307;0,1503
308;0,1487
309;0,1474
310;0,1461
311;0,1448
312;0,143
313;0,1424
314;0,1406
315;0,1396
316;0,1385
317;0,1374
318;0,1362
319;0,135
320;0,1338
321;0,1327
322;0,1318
323;0,1303
324;0,1291
325;0,1279
326;0,1266
327;0,1255
328;0,1244
329;0,1233
330;0,1224
331;0,1216
332;0,1205
333;0,1193
334;0,1184
335;0,1173
336;0,1163
337;0,1154
338;0,1143
339;0,1133
340;0,1125
341;0,1119
342;0,1107
343;0,1098
344;0,1087
345;0,1078
346;0,107
347;0,1059
348;0,105
349;0,1039
350;0,1032
351;0,1023
352;0,1013
353;0,1006
354;0,0997
355;0,0988
356;0,0978
357;0,097
358;0,0959
359;0,0949
360;0,0943
361;0,0932
362;0,0921
363;0,091
364;0,09
365;0,0893
366;0,0885
367;0,0874
368;0,0864
369;0,0857
370;0,0844
371;0,0835
372;0,0825
373;0,0814
374;0,0809
375;0,0799
376;0,0787
377;0,0779
378;0,077
379;0,0759
380;0,0753
381;0,0745
382;0,0733
383;0,0724
384;0,0715
385;0,0705
386;0,0698
387;0,0686
388;0,0679
389;0,0671
390;0,0664
391;0,0655
392;0,0648
393;0,0638
394;0,0632
395;0,0623
396;0,0615
397;0,0608
398;0,0601
399;0,0592
400;0,0587
401;0,0581
402;0,0573
403;0,0566
404;0,0561
