SP01_150725.csv;;Schick;30.07.2025 16:06:24;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;2,521
191;2,5434
192;2,4813
193;2,3989
194;2,2989
195;2,1839
196;2,0714
197;1,9376
198;1,7892
199;1,6668
200;1,5632
201;1,4595
202;1,367
203;1,28
204;1,1985
205;1,1309
206;1,0673
207;1,0104
208;0,9641
209;0,9213
210;0,884
211;0,8459
212;0,8186
213;0,791
214;0,7617
215;0,7358
216;0,711
217;0,6889
218;0,6677
219;0,6467
220;0,6279
221;0,6118
222;0,5956
223;0,5803
224;0,5663
225;0,5515
226;0,5372
227;0,5259
228;0,5144
229;0,5016
230;0,4902
231;0,4763
232;0,4667
233;0,4583
234;0,449
235;0,4416
236;0,4346
237;0,4276
238;0,4208
239;0,4151
240;0,4101
241;0,4061
242;0,4017
243;0,3963
244;0,3923
245;0,3889
246;0,3856
247;0,382
248;0,378
249;0,3744
250;0,371
251;0,3681
252;0,3652
253;0,362
254;0,3586
255;0,3559
256;0,3533
257;0,3504
258;0,3482
259;0,3459
260;0,3427
261;0,34
262;0,337
263;0,3334
264;0,3302
265;0,3269
266;0,3227
267;0,3189
268;0,3144
269;0,3106
270;0,3072
271;0,303
272;0,2982
273;0,2937
274;0,2889
275;0,2846
276;0,2802
277;0,2751
278;0,2697
279;0,2648
280;0,2606
281;0,2558
282;0,2508
283;0,246
284;0,2412
285;0,2368
286;0,2326
287;0,2274
288;0,2229
289;0,2189
290;0,2142
291;0,2096
292;0,2059
293;0,202
294;0,1982
295;0,1948
296;0,1916
297;0,1881
298;0,1848
299;0,1816
300;0,1786
301;0,1757
302;0,1721
303;0,1696
304;0,1669
305;0,1642
306;0,1615
307;0,1595
308;0,1568
309;0,1546
310;0,1526
311;0,1501
312;0,1479
313;0,1459
314;0,1439
315;0,1421
316;0,1401
317;0,1382
318;0,1365
319;0,1348
320;0,1328
321;0,1311
322;0,1292
323;0,1278
324;0,126
325;0,1239
326;0,1223
327;0,1207
328;0,1191
329;0,1177
330;0,1163
331;0,1146
332;0,1134
333;0,1119
334;0,1106
335;0,1092
336;0,1077
337;0,1064
338;0,1052
339;0,104
340;0,1025
341;0,1012
342;0,0999
343;0,0987
344;0,0975
345;0,0963
346;0,095
347;0,0939
348;0,0925
349;0,0913
350;0,0902
351;0,089
352;0,0881
353;0,0869
354;0,0859
355;0,085
356;0,0839
357;0,0832
358;0,0821
359;0,0811
360;0,0802
361;0,0794
362;0,0784
363;0,0776
364;0,0765
365;0,0758
366;0,0749
367;0,074
368;0,0735
369;0,0724
370;0,0714
371;0,0711
372;0,0705
373;0,0693
374;0,0688
375;0,068
376;0,0674
377;0,0669
378;0,0661
379;0,0654
380;0,0647
381;0,0641
382;0,0634
383;0,0626
384;0,0622
385;0,0613
386;0,0607
387;0,0602
388;0,0593
389;0,059
390;0,0583
391;0,0579
392;0,0573
393;0,0566
394;0,0561
395;0,0558
396;0,055
397;0,0542
398;0,0538
399;0,0533
