AP01_240625.csv;;Schick;30.07.2025 13:39:23;GENESYS 10S UV-Vis;2L9S114206;4.005
nm;A
190;1,5124
191;1,3239
192;1,1452
193;0,9882
194;0,8603
195;0,7557
196;0,6871
197;0,6308
198;0,5705
199;0,5264
200;0,4932
201;0,4644
202;0,4415
203;0,4216
204;0,4038
205;0,3896
206;0,3764
207;0,3642
208;0,3543
209;0,3448
210;0,3364
211;0,3279
212;0,3211
213;0,314
214;0,3067
215;0,2998
216;0,2926
217;0,2865
218;0,2803
219;0,2739
220;0,2681
221;0,2628
222;0,2574
223;0,2523
224;0,2475
225;0,2424
226;0,2376
227;0,2336
228;0,2298
229;0,2255
230;0,2214
231;0,2166
232;0,2127
233;0,2095
234;0,2057
235;0,2026
236;0,1995
237;0,1965
238;0,1933
239;0,1906
240;0,1881
241;0,1861
242;0,1839
243;0,1814
244;0,1793
245;0,1777
246;0,1763
247;0,1746
248;0,1729
249;0,1713
250;0,1698
251;0,1683
252;0,167
253;0,1653
254;0,1636
255;0,1621
256;0,1606
257;0,1589
258;0,1576
259;0,1563
260;0,1544
261;0,1528
262;0,1511
263;0,1491
264;0,1474
265;0,1454
266;0,1434
267;0,1415
268;0,1393
269;0,1374
270;0,1358
271;0,1338
272;0,1318
273;0,1298
274;0,1277
275;0,1257
276;0,1238
277;0,1217
278;0,1195
279;0,1174
280;0,1157
281;0,1138
282;0,1118
283;0,11
284;0,1079
285;0,1061
286;0,1044
287;0,1023
288;0,1004
289;0,0986
290;0,0967
291;0,0948
292;0,0932
293;0,0916
294;0,0899
295;0,0883
296;0,0869
297;0,0853
298;0,0838
299;0,0823
300;0,0809
301;0,0796
302;0,078
303;0,0767
304;0,0754
305;0,074
306;0,0727
307;0,0717
308;0,0704
309;0,0694
310;0,0683
311;0,0673
312;0,0655
313;0,0648
314;0,0638
315;0,0632
316;0,062
317;0,061
318;0,0601
319;0,0592
320;0,0581
321;0,057
322;0,0563
323;0,0554
324;0,0547
325;0,0534
326;0,0528
327;0,052
328;0,0509
329;0,0503
330;0,0494
331;0,0486
332;0,0481
333;0,0472
334;0,0467
335;0,0458
336;0,0451
337;0,0443
338;0,0439
339;0,043
340;0,0423
341;0,0417
342;0,0411
343;0,0404
344;0,0398
345;0,0391
346;0,0386
347;0,0378
348;0,0374
349;0,0366
350;0,036
351;0,0357
352;0,0347
353;0,0344
354;0,0338
355;0,0333
356;0,0328
357;0,0324
358;0,0318
359;0,0313
360;0,0308
361;0,0301
362;0,0298
363;0,0295
364;0,0288
365;0,0285
366;0,0282
367;0,0274
368;0,027
369;0,0265
370;0,0261
371;0,0258
372;0,0254
373;0,0249
374;0,0246
375;0,0242
376;0,0236
377;0,0236
378;0,023
379;0,0225
380;0,0224
381;0,022
382;0,0216
383;0,0214
384;0,0209
385;0,0205
386;0,0202
387;0,0198
388;0,0196
389;0,0193
390;0,0188
391;0,0187
392;0,0183
393;0,0181
394;0,0179
395;0,0174
396;0,0172
397;0,0167
398;0,0167
399;0,0163
400;0,0164
401;0,016
402;0,0156
403;0,0153
404;0,0153
405;0,0151
406;0,015
407;0,0149
408;0,0145
409;0,0141
410;0,014
411;0,0137
412;0,0135
413;0,0132
414;0,0132
415;0,013
416;0,0128
417;0,0126
418;0,0126
419;0,0123
420;0,0123
421;0,012
422;0,0119
423;0,0117
424;0,0116
425;0,0116
426;0,0113
427;0,0111
428;0,0111
429;0,0109
430;0,0108
431;0,0106
432;0,0104
433;0,0102
434;0,01
435;0,0099
436;0,0102
437;0,0098
438;0,0098
439;0,0097
440;0,0097
441;0,0095
442;0,0094
443;0,0093
444;0,0092
445;0,0092
446;0,0088
447;0,009
448;0,0088
449;0,0086
450;0,0085
451;0,0084
452;0,0085
453;0,0085
454;0,0081
455;0,008
456;0,0082
457;0,0077
458;0,0079
459;0,0078
460;0,0077
461;0,0077
462;0,0078
463;0,0075
464;0,0075
465;0,0074
466;0,007
467;0,0072
468;0,0073
469;0,0071
470;0,0071
471;0,0071
472;0,0071
473;0,007
474;0,007
475;0,0067
476;0,0069
477;0,0068
478;0,0067
479;0,0066
480;0,0066
481;0,0063
482;0,0066
483;0,0058
484;0,0061
485;0,0064
486;0,0063
487;0,0061
488;0,0061
489;0,0062
490;0,0061
491;0,006
492;0,0058
493;0,0058
494;0,006
495;0,0057
496;0,0058
497;0,006
498;0,0056
499;0,0059
500;0,0061
501;0,0056
502;0,0055
503;0,0058
504;0,0056
505;0,0055
506;0,0053
507;0,0053
508;0,0053
509;0,0052
510;0,0051
511;0,0052
512;0,0053
513;0,0055
514;0,0054
515;0,0052
516;0,0057
517;0,0051
518;0,0052
519;0,0052
520;0,005
521;0,0049
522;0,0051
523;0,0052
524;0,0049
525;0,005
526;0,0048
527;0,0049
528;0,0052
529;0,0049
530;0,005
531;0,0049
532;0,0045
533;0,005
534;0,0049
535;0,0047
536;0,0051
537;0,0047
538;0,0047
539;0,0049
540;0,0048
541;0,0049
542;0,0048
543;0,0049
544;0,0049
545;0,0046
546;0,0045
547;0,0045
548;0,0049
549;0,0045
550;0,0045
551;0,0043
552;0,0045
553;0,0046
554;0,0043
555;0,0047
556;0,005
557;0,0045
558;0,0047
559;0,0046
560;0,0042
561;0,0049
562;0,005
563;0,0046
564;0,0043
565;0,0045
566;0,0043
567;0,005
568;0,0042
569;0,0043
570;0,0049
571;0,0041
572;0,0041
573;0,0045
574;0,0042
575;0,0043
576;0,0047
577;0,0041
578;0,0048
579;0,0048
580;0,0041
581;0,0043
582;0,0045
583;0,0042
584;0,0044
585;0,0043
586;0,0044
587;0,0047
588;0,0037
589;0,0041
590;0,0044
591;0,0039
592;0,004
593;0,0041
594;0,0044
595;0,0039
596;0,0039
597;0,0042
598;0,0042
599;0,0045
600;0,0041
601;0,0039
602;0,0038
603;0,0038
604;0,0038
605;0,0041
606;0,0041
607;0,0036
608;0,0036
609;0,004
610;0,004
611;0,004
612;0,0041
613;0,004
614;0,0045
615;0,0038
616;0,0037
617;0,0036
618;0,0041
619;0,0037
620;0,0044
621;0,004
622;0,0038
623;0,0039
624;0,0038
625;0,0037
626;0,0039
627;0,0044
628;0,004
629;0,0038
630;0,0037
631;0,0036
632;0,0035
633;0,0039
634;0,0044
635;0,0036
636;0,0036
637;0,0037
638;0,0034
639;0,0039
640;0,004
641;0,0033
642;0,0042
643;0,0036
644;0,0035
645;0,0041
646;0,0035
647;0,0035
648;0,0034
649;0,0033
650;0,0031
651;0,0035
652;0,0037
653;0,0037
654;0,0031
655;0,0029
656;0,0041
657;0,0034
658;0,0039
659;0,0038
660;0,0036
661;0,0039
662;0,0033
663;0,0039
664;0,0033
665;0,0021
666;0,0039
667;0,0047
668;0,0023
669;0,0032
670;0,0041
671;0,0031
672;0,0039
673;0,0032
674;0,0035
675;0,004
676;0,0037
677;0,0034
678;0,0039
679;0,0036
680;0,0033
681;0,004
682;0,0037
683;0,0034
684;0,0036
685;0,004
686;0,0034
687;0,0033
688;0,0034
689;0,0036
690;0,0035
691;0,0035
692;0,0038
693;0,0039
694;0,0041
695;0,0031
696;0,0039
697;0,0037
698;0,0032
699;0,0034
700;0,0037
701;0,0031
702;0,0038
703;0,0033
704;0,003
705;0,0032
706;0,0032
707;0,0033
708;0,0032
709;0,0032
710;0,0028
711;0,0038
712;0,0035
713;0,0037
714;0,0031
715;0,0033
716;0,0037
717;0,0029
718;0,0042
719;0,0036
720;0,0035
721;0,0034
722;0,0029
723;0,0034
724;0,0034
725;0,0024
726;0,0034
727;0,0034
728;0,0028
729;0,0038
730;0,0028
731;0,0039
732;0,0031
733;0,003
734;0,0032
735;0,0025
736;0,0033
737;0,0021
738;0,0022
739;0,0023
740;0,0035
741;0,0033
742;0,0039
743;0,0031
744;0,0015
745;0,003
746;0,0028
747;0,0029
748;0,0026
749;0,003
750;0,0037
751;0,003
752;0,0029
753;0,0033
754;0,0028
755;0,0037
756;0,0032
757;0,003
758;0,0045
759;0,0026
760;0,0031
761;0,0027
762;0,0032
763;0,003
764;0,0032
765;0,003
766;0,0031
767;0,0031
768;0,0037
769;0,0021
770;0,0027
771;0,0025
772;0,0037
773;0,0028
774;0,0028
775;0,0026
776;0,0024
777;0,0025
778;0,0035
779;0,0036
780;0,0038
781;0,003
782;0,0022
783;0,003
784;0,0029
785;0,0024
786;0,0027
787;0,003
788;0,0032
789;0,003
790;0,0028
791;0,0028
792;0,0028
793;0,003
794;0,0029
795;0,0038
796;0,0031
797;0,0025
798;0,0031
799;0,0025
800;0,0033
801;0,0027
802;0,0025
803;0,0026
804;0,0033
805;0,0032
806;0,0036
807;0,0033
808;0,0035
809;0,0023
810;0,0029
811;0,0023
812;0,0031
813;0,0038
814;0,0021
815;0,0034
816;0,0028
817;0,003
818;0,0034
819;0,0032
820;0,0028
821;0,0032
822;0,0033
823;0,0029
824;0,003
825;0,003
826;0,0031
827;0,0027
828;0,003
829;0,0035
830;0,0038
831;0,0034
832;0,0027
833;0,0024
834;0,003
835;0,0029
836;0,0028
837;0,0021
838;0,0032
839;0,0034
840;0,003
841;0,003
842;0,0028
843;0,0031
844;0,0036
845;0,0036
846;0,003
847;0,0037
848;0,0037
849;0,0024
850;0,0029
851;0,003
852;0,0033
853;0,0041
854;0,0036
855;0,0034
856;0,0035
857;0,0026
858;0,0041
859;0,0038
860;0,0038
861;0,0019
862;0,0028
863;0,004
864;0,0027
865;0,0026
866;0,0031
867;0,0033
868;0,0025
869;0,0022
870;0,0024
871;0,0026
872;0,0023
873;0,003
874;0,0031
875;0,0028
876;0,0026
877;0,0031
878;0,0027
879;0,0024
880;0,0024
881;0,0033
882;0,0031
883;0,0028
884;0,0031
885;0,0029
886;0,0026
887;0,0032
888;0,0028
889;0,0031
890;0,0027
891;0,0038
892;0,0025
893;0,0032
894;0,0038
895;0,0027
896;0,0027
897;0,0031
898;0,0025
899;0,0032
900;0,0029
901;0,0042
902;0,0039
903;0,0026
904;0,0033
905;0,0029
906;0,0031
907;0,0024
908;0,0027
909;0,0034
910;0,0032
911;0,0032
912;0,0032
913;0,0029
914;0,0032
915;0,0034
916;0,0028
917;0,0029
918;0,003
919;0,0025
920;0,0024
921;0,0031
922;0,0028
923;0,0024
924;0,0025
925;0,0028
926;0,0027
927;0,0024
928;0,0011
929;0,0022
930;0,0022
931;0,0027
932;0,0013
933;0,0028
934;0,0027
935;0,0021
936;0,0027
937;0,0022
938;0,0029
939;0,0033
940;0,0029
941;0,0026
942;0,002
943;0,0023
944;0,0031
945;0,0027
946;0,0031
947;0,0025
948;0,0027
949;0,0025
950;0,0028
951;0,0029
952;0,0024
953;0,0029
954;0,0025
955;0,0022
956;0,003
957;0,0022
958;0,0027
959;0,0021
960;0,0024
961;0,001
962;0,0016
963;0,0023
964;0,0012
965;0,0015
966;0,0023
967;0,002
968;0,0021
969;0,0019
970;0,0023
971;0,0024
972;0,002
973;0,0014
974;0,0022
975;0,003
976;0,0018
977;0,0024
978;0,0022
979;0,0022
980;0,0025
981;0,0026
982;0,0026
983;0,0032
984;0,0014
985;0,0024
986;0,0024
987;0,0021
988;0,0027
989;0,0029
990;0,0021
991;0,0019
992;0,0025
993;0,0028
994;0,0025
995;0,0026
996;0,0029
997;0,0022
998;0,002
999;0,0017
1000;0,0018
1001;0,0026
1002;0,0022
1003;0,0025
1004;0,0024
1005;0,0021
1006;0,0013
1007;0,0027
1008;0,0017
1009;0,0032
1010;0,0018
1011;0,0023
1012;0,0027
1013;0,0027
1014;0,0027
1015;0,0029
1016;0,0016
1017;0,002
1018;0,0034
1019;0,0015
1020;0,002
1021;0,0019
1022;0,0031
1023;0,0027
1024;0,0032
1025;-0,0008
1026;0,0034
1027;0,003
1028;0,0016
1029;0,0015
1030;0,002
1031;0,0029
1032;0,0017
1033;0,0021
1034;0,0007
1035;0,0016
1036;0,0022
1037;0,0017
1038;0,0035
1039;0,0019
1040;0,0029
1041;0,0027
1042;0,0021
1043;0,0007
1044;0,0023
1045;0,0017
1046;0,0042
1047;0,0009
1048;0,0026
1049;0,0008
1050;0,0028
1051;0,0011
1052;0
1053;0,0018
1054;0,0032
1055;0,0011
1056;0,0052
1057;0
1058;0,0017
1059;-0,0008
1060;0,0008
1061;0,0058
1062;0,0034
1063;0,0016
1064;0,0012
1065;0,0024
1066;0,0006
1067;0,0004
1068;0,0006
1069;-0,0001
1070;0,0032
1071;0,0002
1072;0,0045
1073;-0,0022
1074;0,0013
1075;0,002
1076;0,002
1077;0,0012
1078;0,0057
1079;-0,0008
1080;-0,0001
1081;0,0055
1082;-0,0026
1083;-0,0003
1084;0,0025
1085;0,0051
1086;0,003
1087;-0,0001
1088;0,007
1089;0,0004
1090;0,0002
1091;0,0042
1092;0,0033
1093;0,0012
1094;-0,001
1095;0,0006
1096;-0,0045
1097;0,0003
1098;-0,0056
1099;-0,0042
1100;-0,0003
