"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SP01_1006"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","17/06/2025 09:52:46"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"SP01_1006.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-174.869,-130.838,-126.649,-88.510,-58.962,-41.935,-34.159,-61.196,-69.574,-56.747,-66.510,-58.452,-57.774,-53.575,-52.195,-45.611,-41.210,-45.634,-45.715,-44.765,-43.473,-38.825,-41.194,-35.665,-31.078,-32.013,-33.333,-31.224,-32.254,-31.579,-25.891,-25.293,-23.333,-23.192,-17.024,-23.513,-26.231,-18.507,-16.841,-13.708,-20.608,-17.977,-18.284,-6.945,-11.927,-8.639,-3.423,-10.635,-13.981,-12.089,-11.480,-11.238,7.178,-7.814,-2.400,-3.518,-3.144,1.211,1.920,-3.161,4.274,1.672,8.287,4.682,4.247,4.481,5.454,12.569,6.945,7.357,8.609,16.596,7.074,15.257,12.799,25.283,2.528,13.052,5.870,23.284,20.848,13.881,12.132,22.857,8.733,12.977,13.072,18.554,14.849,19.760,16.205,24.968,21.483,16.494,10.740,11.452,15.816,20.077,21.721,17.174,17.630,13.405,14.831,22.292,8.869,14.543,14.015,10.880,9.200,11.348,11.052,8.400,40.726,106.086,233.074,302.225,204.860,100.179,37.021,13.986,3.090,9.457,1.562,-1.064,3.578,-11.848,-1.967,3.673,1.730,-1.418,-7.945,-12.649,-2.869,-0.577,0.208,0.633,-0.898,4.713,-3.638,-4.015,-9.099,-12.628,-18.106,-12.581,-12.388,-21.566,-18.408,-18.131,-15.708,-21.205,-28.898,-23.396,-23.843,-13.362,-20.804,-23.029,-23.396,-29.512,-29.731,-32.371,-35.310,-34.392,-34.373,-28.096,-35.130,-32.901,-21.435,-27.803,-33.705,-35.924,-31.482,-34.149,-21.934,-40.228,-42.406,-36.138,
245,-82.171,-118.762,-74.243,-83.444,-64.608,-74.793,-57.771,-11.387,-5.974,-1.838,-31.948,-35.798,-47.061,-43.125,-32.691,-40.889,-29.530,-30.711,-31.833,-32.870,-25.053,-30.024,-22.082,-28.362,-27.919,-21.714,-24.257,-24.637,-21.542,-22.050,-19.270,-18.765,-15.401,-12.477,-11.017,-13.070,-15.281,-15.771,-22.078,-8.739,-8.816,-11.672,-15.876,-8.064,-17.945,-8.161,-7.045,-3.533,-5.398,-6.880,4.124,-5.956,-5.671,5.684,1.715,-3.955,-3.835,11.462,1.459,2.428,14.923,7.760,7.191,5.155,4.582,14.835,12.272,21.389,18.722,15.213,14.046,8.313,6.193,18.688,17.557,18.087,21.468,11.084,28.619,10.846,16.657,20.229,14.282,18.203,19.705,20.887,25.648,20.169,16.696,20.821,28.746,20.003,30.837,15.657,18.956,27.498,15.388,28.901,30.323,33.597,25.188,8.834,17.579,26.151,24.048,13.991,18.125,20.512,13.896,18.487,13.101,10.832,10.617,19.334,10.514,8.476,20.684,33.356,102.568,221.138,302.219,229.379,146.930,42.824,9.561,8.053,16.454,6.512,-3.252,0.454,3.580,6.573,3.115,1.729,-6.753,-1.988,-1.564,-7.160,-12.004,-2.412,-2.127,-1.518,10.558,-9.643,-4.425,-13.697,-11.418,-9.676,-9.553,-19.251,-14.190,-13.626,-16.539,-20.948,-15.421,-15.094,-18.457,-19.048,-20.021,-21.219,-21.790,-26.248,-24.762,-26.221,-26.727,-22.085,-24.514,-25.192,-25.017,-27.310,-30.721,-27.846,-29.474,-25.251,-26.331,-33.756,
250,2314.831,1342.359,204.738,-45.978,-57.082,-45.554,-38.692,-37.092,-37.917,-23.459,1.686,17.827,5.803,-12.826,-27.056,-24.208,-28.985,-22.452,-20.669,-20.552,-20.762,-19.998,-19.255,-16.862,-19.565,-16.143,-14.867,-16.422,-16.465,-18.552,-15.721,-15.540,-14.643,-10.506,-15.095,-3.669,-10.082,-7.415,-11.969,-12.565,-6.346,-10.127,-7.005,-3.809,-3.670,-1.040,-3.906,-4.999,-5.103,-7.754,-2.631,3.197,-4.639,0.523,4.013,0.487,3.006,13.946,4.644,7.705,6.552,8.359,12.726,11.535,17.108,11.343,17.001,10.962,21.879,17.127,16.254,20.578,15.717,20.895,17.312,15.911,30.461,20.848,21.169,23.971,16.751,17.166,32.902,23.813,26.211,24.208,15.798,27.403,21.637,26.791,19.743,31.330,26.350,24.890,29.377,19.882,20.796,25.582,23.053,28.603,25.742,20.545,18.138,27.022,25.321,25.786,22.039,13.263,23.764,15.705,20.479,17.761,16.351,21.844,15.230,13.790,11.048,15.938,19.501,8.638,15.592,7.426,42.644,115.793,244.738,299.715,261.159,134.875,43.634,12.441,7.813,-2.476,5.039,-1.975,0.993,3.283,-0.923,2.827,-4.049,1.732,0.986,-3.215,-3.551,-1.654,-7.049,1.298,2.454,11.992,4.842,6.545,-2.395,-3.608,-9.359,-12.116,-12.244,-14.085,-14.070,-10.817,-10.790,-8.236,-14.149,-15.632,-19.027,-13.019,-20.961,-16.105,-17.076,-18.217,-17.988,-19.697,-17.268,-15.614,-20.538,-22.992,-21.964,-25.130,
255,-5.693,645.752,1877.784,1804.487,606.304,12.156,-43.574,-42.826,-33.207,-25.411,-32.987,-30.750,-26.959,5.916,12.549,23.098,-6.316,-20.750,-22.818,-24.141,-21.301,-20.943,-20.131,-17.895,-15.101,-15.546,-12.953,-13.050,-9.330,-11.266,-14.332,-10.719,-4.790,9.045,-5.961,-9.027,-8.706,-1.769,-5.871,-3.397,-1.229,-5.363,-4.716,-2.858,-4.002,-2.567,0.562,2.318,7.066,0.782,8.031,2.586,7.940,5.086,10.042,1.220,1.506,11.139,15.572,7.722,17.180,18.018,14.028,13.825,17.773,20.461,24.359,19.699,24.546,26.564,23.029,24.065,25.702,33.473,31.248,26.532,26.545,29.497,33.644,29.008,27.097,32.268,27.995,28.918,31.886,30.585,30.971,33.951,30.627,34.082,35.582,39.706,31.011,29.780,30.047,27.286,34.336,37.546,37.638,36.184,38.584,27.290,33.845,27.809,36.107,31.025,26.168,36.835,27.723,29.580,26.883,26.478,21.558,31.214,19.314,19.082,22.431,26.909,34.333,20.527,18.971,23.670,21.974,18.445,9.498,19.903,17.324,49.040,122.924,299.049,400.053,365.373,191.424,62.037,12.398,11.360,11.495,11.193,10.298,2.179,3.954,4.000,8.559,2.032,1.270,-2.411,3.274,-1.530,-7.646,-1.798,-3.277,3.413,7.714,2.256,7.892,3.046,5.958,-4.498,-10.421,-5.525,-6.140,-12.946,-9.722,-11.822,-12.422,-16.103,-16.524,-19.891,-15.137,-17.534,-13.775,-13.926,-7.850,-16.467,-19.500,-19.495,
260,-66.464,-62.555,-44.759,176.876,1102.280,2070.621,1312.978,257.553,-15.852,-26.770,-25.921,-23.030,-18.031,-17.922,-13.070,-12.717,3.600,26.922,25.399,10.437,-11.706,-10.492,-15.334,-7.001,-10.899,-8.749,-10.003,-9.396,-8.626,-2.924,-5.926,-6.536,-2.760,-6.650,-2.463,1.330,-0.558,4.243,7.253,3.811,4.359,2.069,0.026,2.704,9.174,8.265,5.266,8.782,6.119,5.817,9.675,13.694,8.797,7.054,8.799,11.836,13.315,20.653,14.374,11.946,21.732,20.115,18.446,24.677,20.876,17.705,17.359,24.434,23.824,26.399,21.482,24.341,23.943,25.772,27.880,20.703,18.874,24.319,32.306,36.739,30.805,27.503,33.560,31.792,38.484,38.027,37.213,35.793,35.788,39.620,37.390,36.752,43.015,43.371,36.736,32.494,40.736,35.675,33.543,38.144,38.692,35.403,27.279,32.587,34.910,35.470,32.744,27.746,35.570,34.356,26.065,35.499,30.325,28.686,27.299,30.498,24.822,26.501,20.426,23.569,21.489,25.644,29.492,24.644,16.821,23.612,20.879,23.242,14.738,19.206,14.513,18.541,41.157,127.335,277.953,439.120,400.884,238.088,81.730,22.640,6.744,10.744,4.320,4.068,3.800,3.322,4.148,5.741,3.566,3.620,1.822,1.312,-2.884,1.997,-3.597,1.036,-3.085,2.427,-0.329,4.717,2.112,4.672,-2.999,-6.586,-4.085,-5.117,-4.729,-11.393,-11.199,-7.996,-8.476,-11.806,-9.021,-13.753,-11.715,-7.184,
265,-59.817,-49.981,-39.448,-34.819,-29.016,29.192,558.324,1839.550,1736.742,542.441,23.534,-12.438,-16.896,-14.769,-13.832,-11.504,-11.194,-13.282,-1.815,8.963,29.997,33.470,9.555,-3.170,-5.958,-6.185,-1.775,-0.483,2.516,-0.700,0.952,3.890,-0.566,9.431,5.741,10.315,10.164,4.551,4.683,14.346,8.342,7.271,3.502,9.613,9.008,9.321,13.980,11.623,8.059,8.781,9.633,10.377,8.544,12.893,12.813,16.966,16.695,18.957,12.887,14.403,13.867,15.206,18.073,19.893,18.901,16.149,22.201,21.948,18.460,23.059,22.009,20.370,24.102,23.950,27.333,33.077,25.339,29.403,31.781,26.183,30.172,27.153,26.993,26.556,35.950,31.902,38.494,29.961,36.374,34.295,31.644,31.401,36.812,31.404,33.114,42.302,38.539,36.940,35.492,33.725,34.636,33.513,29.132,34.928,32.767,34.650,31.621,34.319,31.588,25.685,31.312,27.333,27.484,25.391,26.653,28.641,30.259,22.134,24.427,22.259,27.932,23.968,20.106,24.680,13.553,21.001,19.168,16.637,18.612,15.386,18.768,19.462,9.229,13.994,13.405,19.927,14.200,45.534,137.685,355.925,424.888,379.340,185.320,76.778,12.381,8.920,6.934,3.813,6.215,0.127,-2.248,6.829,1.530,5.716,-0.066,0.445,3.292,-1.422,1.670,0.986,-2.507,-1.105,-4.269,3.808,5.596,2.799,3.014,0.511,4.027,-5.262,-4.703,-6.796,-5.866,-2.185,-5.472,-5.403,
270,-47.678,-40.497,-31.165,-25.780,-21.207,-17.735,-19.961,-9.635,185.423,1177.387,2065.922,1118.839,218.055,-2.336,-9.268,-11.846,-11.120,-9.374,-8.938,-3.644,-0.778,2.875,28.671,40.194,38.864,21.037,4.791,8.443,3.808,6.028,4.809,6.417,8.484,9.709,12.775,9.590,14.528,13.124,15.830,11.614,12.939,13.649,20.194,14.671,11.367,11.542,18.061,16.504,16.651,18.655,17.046,16.666,14.890,20.693,17.811,23.408,12.478,17.892,17.554,18.405,21.127,15.304,20.071,20.650,22.530,22.376,20.076,20.292,27.789,21.464,16.972,23.995,22.692,20.420,26.177,23.679,25.542,27.930,27.456,29.554,25.649,24.706,29.415,33.217,27.712,29.819,29.276,32.273,28.395,34.491,29.138,34.490,35.299,28.264,35.298,35.324,30.304,26.615,27.277,35.426,34.004,30.135,29.972,28.881,25.290,32.091,33.454,27.972,30.727,29.003,29.958,28.305,25.892,26.480,23.368,30.723,26.600,25.284,23.206,26.972,21.288,24.871,22.905,20.085,21.972,22.048,16.686,15.059,21.682,18.366,18.574,14.246,17.172,15.988,12.754,12.097,12.776,13.077,10.331,11.484,10.140,11.529,48.737,133.093,334.245,471.695,419.971,237.724,66.637,11.972,1.454,8.895,6.544,2.438,1.208,-0.813,4.331,4.253,3.350,2.580,-1.164,-2.220,2.907,0.848,0.241,0.281,-0.005,2.305,-0.319,1.930,7.472,3.846,3.624,5.962,4.908,-2.713,
275,-27.196,-35.930,-24.001,-22.148,-20.618,-19.354,-17.984,-16.438,-15.367,-12.323,35.155,605.620,1783.195,1671.312,454.852,34.917,-3.494,-3.128,-3.285,-5.640,-1.113,-1.431,5.297,5.034,10.925,31.896,41.445,38.784,28.957,18.726,18.814,8.576,13.354,13.337,15.163,17.755,18.766,18.763,23.341,22.084,21.657,18.952,13.093,17.428,22.477,17.959,22.605,20.663,18.168,16.237,16.541,15.934,19.996,18.001,18.416,21.287,20.741,20.790,19.727,21.122,19.056,21.207,20.624,17.461,20.509,20.329,22.963,25.795,18.740,23.869,20.978,22.838,22.400,25.313,22.237,26.429,25.197,23.276,26.887,22.265,23.939,31.153,25.657,26.147,31.398,26.909,30.749,27.997,27.792,26.945,28.982,26.720,26.922,28.280,32.880,35.168,29.645,31.362,28.453,29.185,32.429,29.701,31.553,29.090,28.322,26.975,32.956,30.997,31.579,26.980,29.118,27.621,23.409,25.187,21.920,23.682,27.841,25.964,24.500,24.692,23.537,22.725,22.771,23.168,17.619,18.881,19.027,19.273,18.345,16.204,15.557,13.157,13.698,10.854,17.305,12.998,9.887,16.040,13.718,15.117,13.092,10.643,9.128,6.761,6.839,6.926,12.587,44.350,155.790,352.342,494.146,393.616,196.719,59.153,11.873,3.574,5.224,1.166,5.834,3.616,2.036,-1.088,1.425,0.411,1.588,2.028,0.233,-0.212,-1.510,-1.222,-2.614,0.351,-0.410,-0.831,-0.025,3.656,
280,-31.565,-23.047,-19.052,-22.378,-14.006,-15.124,-15.583,-14.672,-13.424,-11.029,-9.715,-9.417,0.105,228.286,1349.755,1940.604,907.553,106.925,0.695,-0.159,3.445,-0.171,0.758,3.136,8.033,7.142,12.011,13.271,33.125,44.246,39.603,29.305,20.586,19.078,19.794,20.429,26.178,17.919,18.053,17.978,24.784,21.137,22.951,20.975,21.071,24.250,24.294,21.114,25.741,22.492,19.994,21.445,22.115,20.314,22.236,22.375,23.081,21.726,19.772,21.937,19.585,21.627,19.005,21.761,23.987,19.989,22.984,27.512,23.568,26.587,21.909,27.134,24.805,27.457,26.391,28.973,23.696,27.686,28.014,31.201,30.320,28.212,27.116,29.030,31.302,27.843,26.861,25.343,29.407,28.272,29.974,28.848,31.583,25.115,28.105,32.273,26.512,31.900,26.936,29.442,27.203,34.377,27.821,27.904,25.294,28.103,28.545,24.419,29.797,24.903,30.467,23.211,25.726,26.582,23.629,23.761,23.380,23.774,21.644,19.209,25.959,17.813,20.355,22.021,14.783,19.114,20.500,14.368,16.959,16.006,15.699,19.370,14.088,14.059,12.489,15.331,11.404,10.369,12.958,12.347,14.185,11.011,7.738,10.296,8.573,11.121,8.196,7.766,9.204,5.764,6.422,11.281,58.083,173.430,352.744,474.929,413.807,180.430,56.134,13.259,2.771,1.586,0.858,1.514,1.045,2.863,-0.070,3.349,3.669,0.321,2.647,-1.209,0.880,1.169,0.533,-0.951,
