"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP02_080725"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 13:10:26"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP02_080725.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-164.808,-131.743,-100.492,-110.748,-53.170,-57.775,-48.049,-42.684,-72.820,-70.319,-59.900,-57.519,-53.078,-58.628,-44.061,-37.838,-50.618,-48.940,-48.939,-43.427,-38.141,-27.314,-38.386,-37.403,-31.941,-24.056,-30.602,-32.006,-25.796,-25.813,-25.943,-30.565,-20.522,-23.270,-11.656,-19.981,5.612,0.205,15.554,17.478,4.201,12.380,10.541,35.454,12.761,13.729,11.286,17.823,20.061,33.107,15.638,27.352,21.913,14.257,19.025,19.658,24.736,24.778,24.840,21.091,16.876,20.409,27.522,15.969,26.033,25.999,30.083,33.342,30.178,31.692,31.101,33.543,29.554,27.603,20.222,26.912,23.743,29.205,40.448,24.979,29.309,28.517,45.083,42.343,38.587,33.793,41.216,34.999,31.852,31.391,27.627,33.246,49.216,20.542,38.217,34.713,31.325,41.308,28.661,24.071,26.745,32.628,26.362,12.992,30.697,12.483,23.145,27.697,19.493,32.272,19.187,28.738,43.450,140.876,260.574,362.067,343.836,171.143,43.035,8.344,7.098,8.011,11.141,5.031,8.204,6.234,8.425,-1.459,-4.188,2.193,-2.426,-6.042,3.632,-5.040,-3.114,1.641,3.159,5.729,3.708,-5.134,-8.502,-11.080,-10.034,-9.200,-4.529,-11.569,-26.637,-13.540,-5.942,-19.581,-7.603,-11.417,-20.912,-17.033,-24.311,-19.295,-23.004,-21.045,-29.609,-24.246,-30.907,-28.487,-31.533,-30.018,-36.512,-24.801,-36.842,-29.880,-24.836,-32.793,-35.401,-37.062,-31.920,-32.472,-34.801,-21.197,
245,-99.828,-87.126,-64.546,-59.836,-64.833,-63.224,-62.051,-37.542,-11.497,-5.271,-20.893,-35.766,-45.316,-38.642,-42.868,-30.767,-37.852,-36.499,-35.871,-32.151,-29.723,-23.395,-23.085,-22.644,-21.389,-25.434,-22.881,-22.717,-19.245,-22.102,-18.235,-20.640,-12.600,-11.108,-2.840,-3.053,11.603,3.126,16.976,4.157,8.157,13.342,21.032,21.832,18.158,30.236,38.002,35.133,17.684,21.304,16.888,14.972,25.293,30.719,36.333,40.666,29.746,28.753,23.013,32.246,37.165,20.623,23.950,25.967,25.997,39.125,30.930,30.417,21.120,33.233,29.939,36.674,26.066,31.977,28.578,34.637,42.233,41.191,42.490,36.923,43.588,45.266,38.730,36.866,32.714,23.722,42.464,43.464,31.746,37.401,26.628,39.926,37.917,34.171,33.778,31.623,28.448,31.545,40.837,37.928,31.634,38.838,30.085,31.137,34.595,28.146,22.851,29.351,27.028,24.815,23.892,20.564,14.674,17.560,27.403,19.743,21.584,57.723,138.913,224.674,306.561,256.485,146.044,47.200,12.148,9.401,14.246,14.195,11.792,9.601,4.243,0.875,1.899,8.025,-1.521,3.108,-0.688,-4.961,-0.091,4.583,0.232,-7.066,10.677,3.383,1.190,-3.058,-4.796,-13.949,-10.793,-1.692,-8.360,-16.855,-14.154,-13.474,-12.726,-14.597,-7.733,-23.741,-16.006,-18.223,-18.468,-13.448,-21.175,-25.824,-18.944,-26.318,-23.393,-31.191,-23.732,-24.291,-28.774,-18.788,-26.896,-26.328,-31.014,-26.415,
250,2575.016,1429.122,216.053,-46.557,-44.924,-49.321,-44.874,-45.964,-32.634,-34.083,-10.603,0.428,32.323,-6.239,-29.198,-27.456,-28.351,-23.120,-22.523,-23.489,-21.743,-22.308,-19.081,-22.079,-21.808,-19.237,-21.194,-15.680,-13.845,-23.560,-16.504,-19.927,-11.796,-3.076,-5.215,0.432,3.914,7.165,5.287,8.885,1.520,15.496,15.992,15.610,24.318,28.779,20.236,18.800,21.718,17.857,18.607,24.648,33.823,25.415,20.831,26.921,27.846,26.101,30.058,24.981,29.183,26.705,25.522,28.332,32.641,35.423,36.143,18.717,34.457,29.100,31.172,25.875,30.082,28.379,36.415,39.641,40.516,33.011,29.516,36.055,30.590,40.946,39.300,25.574,33.629,38.917,44.424,47.959,42.474,34.309,45.447,40.574,39.999,42.947,38.754,36.345,48.486,38.115,32.686,39.455,41.902,37.701,35.982,23.783,39.549,35.474,36.961,34.442,26.102,35.055,33.565,15.540,40.159,21.511,27.860,24.287,24.328,18.477,22.917,24.927,28.458,26.987,37.749,148.475,260.499,363.983,338.598,175.320,62.730,14.870,14.873,8.136,3.718,8.773,5.661,3.684,4.967,1.910,5.126,-8.010,2.667,-3.497,-2.518,3.702,6.296,4.997,5.773,-4.718,4.080,3.723,-0.294,2.686,-3.604,-4.086,-8.313,-3.844,-10.110,-10.183,-11.021,-9.451,-9.429,-15.319,-12.632,-9.953,-16.804,-12.490,-13.554,-20.421,-17.163,-16.496,-18.040,-15.081,-19.521,-21.551,-17.614,-26.328,
255,0.860,737.363,2333.159,2150.677,735.057,71.284,-31.194,-32.597,-42.158,-28.219,-32.154,-33.076,-27.194,5.632,18.440,15.394,0.293,-17.470,-16.900,-16.103,-19.356,-22.538,-22.963,-13.434,-11.745,-22.236,-17.836,-15.205,-9.467,-17.885,-13.480,-7.802,-7.869,-1.818,-4.705,-0.083,1.384,0.141,-3.800,0.148,5.378,12.722,10.278,6.289,14.328,20.498,17.237,12.443,25.526,17.581,17.809,25.761,16.710,24.785,19.883,28.884,23.289,26.210,26.590,27.010,32.299,29.302,36.439,34.046,28.080,32.512,40.536,37.917,38.817,28.091,33.186,43.121,33.905,47.077,45.403,43.790,46.044,50.537,41.844,43.126,58.484,47.449,52.331,50.850,45.761,59.679,62.321,46.330,57.232,57.814,56.214,50.023,50.655,44.080,47.645,46.969,51.340,53.457,43.327,44.864,55.871,50.523,49.365,50.767,53.989,56.757,49.120,37.292,46.171,41.785,39.146,39.498,40.385,45.837,38.844,36.340,26.525,38.894,33.652,29.214,31.709,33.378,38.950,32.914,17.874,24.633,33.696,52.890,150.144,330.790,513.528,459.382,236.520,91.242,31.093,13.498,25.582,14.660,-0.211,14.424,13.174,9.597,10.206,1.300,2.175,1.407,6.185,-3.837,2.206,3.867,3.439,-0.561,8.999,11.237,11.132,-0.299,-0.238,-2.717,0.931,-8.321,-12.483,-2.704,-12.081,-16.065,-8.721,-8.838,-15.096,-9.438,-8.380,-17.853,-18.008,-12.588,-15.074,-15.090,-11.130,-19.527,
260,-62.650,-54.521,-40.158,195.949,1257.979,2566.839,1618.626,359.352,-2.064,-26.514,-20.484,-14.111,-20.685,-20.667,-19.974,-7.091,8.126,19.008,29.837,5.522,-10.855,-12.648,-13.302,-12.658,-12.316,-11.171,-8.661,-8.173,-5.778,-4.537,-7.227,-3.023,-1.057,-6.356,-1.510,0.238,8.705,9.192,19.818,10.539,8.770,5.846,16.207,18.319,25.495,13.818,21.313,21.155,16.803,21.164,21.913,18.059,25.283,33.569,26.134,28.830,19.595,28.907,25.959,25.362,35.715,35.801,28.618,34.464,33.316,34.707,32.668,38.417,42.094,39.757,32.050,36.584,41.731,49.971,47.043,45.740,48.026,44.409,51.830,44.520,57.766,53.687,57.396,52.919,51.597,53.687,53.106,58.479,48.622,52.385,47.172,53.678,57.879,57.940,52.465,55.821,46.242,65.246,52.086,59.729,52.951,57.170,54.211,43.617,51.721,50.868,52.646,57.731,41.619,41.213,52.802,44.225,38.406,43.669,47.454,40.342,43.508,43.519,37.183,31.600,29.434,48.582,35.225,32.000,31.824,30.873,28.569,33.693,25.154,33.171,22.815,34.262,44.889,151.317,336.646,516.665,486.166,290.058,114.597,29.924,32.405,17.093,8.881,14.770,17.609,17.167,7.696,8.408,7.378,7.576,6.074,2.891,10.540,2.702,-3.057,11.190,-0.638,2.786,9.134,9.045,13.734,11.052,9.582,0.068,-2.419,-3.591,-4.999,-10.199,-12.564,-8.525,-9.735,-9.468,-6.672,-9.331,-9.409,-10.642,
265,-48.772,-41.039,-35.585,-22.807,-24.081,47.685,696.544,2253.276,2094.854,701.597,36.004,-13.054,-16.982,-12.711,-8.551,-15.209,-12.221,-11.674,-5.505,11.569,40.208,15.197,7.753,-1.573,-2.758,-7.053,-0.598,-3.714,-2.943,-5.350,-1.582,-2.114,1.565,-2.954,4.555,7.409,6.886,12.947,12.166,13.632,14.716,13.802,21.086,25.389,27.635,32.504,28.125,21.760,26.609,20.864,23.962,29.388,27.457,19.718,33.692,28.631,26.516,26.993,31.698,34.099,30.594,30.816,31.054,32.660,26.159,33.203,30.618,36.064,34.267,41.756,37.192,37.423,32.750,38.634,38.150,45.030,39.805,44.372,47.628,45.571,41.725,41.622,45.156,44.441,43.230,45.522,41.424,45.501,47.692,46.861,45.846,46.586,45.923,45.479,49.873,49.586,47.638,50.255,49.708,42.893,54.459,48.500,42.440,52.137,46.745,43.194,43.301,50.545,39.926,43.147,42.546,50.250,42.238,42.899,36.707,33.483,31.767,37.241,40.778,33.362,30.967,39.676,34.896,30.004,29.513,30.477,22.032,24.420,23.402,22.043,24.896,26.238,18.975,24.158,23.050,19.272,22.972,60.420,177.494,379.578,547.048,463.180,245.021,89.342,19.865,14.615,9.935,11.643,8.063,7.693,8.384,14.726,2.908,6.687,5.285,2.347,-1.994,5.479,-0.758,1.415,3.029,-2.162,1.665,-2.319,3.258,3.847,4.022,5.633,12.818,4.720,-2.576,-5.176,-2.488,-8.713,-5.275,-8.031,
270,-45.967,-28.126,-30.836,-23.866,-18.411,-19.883,-19.455,-9.925,241.627,1461.497,2512.370,1420.602,258.655,-0.654,-7.990,-5.720,-7.686,-5.982,-9.313,-5.656,-5.723,-1.992,17.646,24.654,35.055,8.525,2.963,-3.876,-0.093,0.507,1.920,-1.191,1.214,1.485,9.350,10.334,21.144,21.169,24.490,20.574,19.991,21.781,26.472,32.372,30.835,31.506,34.030,27.075,35.567,27.609,28.396,34.519,29.589,32.397,30.619,33.806,29.983,31.928,31.207,32.723,34.643,34.755,36.037,34.658,36.725,31.500,36.303,38.634,35.129,35.166,34.411,35.496,36.950,40.548,40.379,39.957,36.627,41.549,43.856,45.679,44.299,45.388,46.794,43.526,42.610,42.007,42.118,46.379,46.276,47.514,39.507,45.161,53.107,45.715,48.652,43.650,42.715,51.261,47.146,50.214,52.684,49.125,45.927,46.029,48.076,51.747,43.622,45.127,38.918,47.264,35.513,45.306,39.084,43.178,43.816,37.915,42.207,34.766,32.323,33.471,36.793,29.076,32.211,34.548,33.685,26.547,26.681,24.688,23.172,29.838,24.141,23.302,24.995,27.279,24.944,19.360,16.670,21.658,17.628,18.205,14.024,18.857,52.970,162.858,390.483,566.944,511.559,293.647,88.309,18.363,8.375,9.098,10.989,7.782,5.518,11.821,3.482,7.833,1.717,4.181,2.256,5.909,2.784,1.954,-1.664,7.791,-3.120,3.452,4.727,1.067,6.058,10.580,3.627,3.986,7.712,0.797,
275,-36.603,-34.883,-24.972,-22.978,-16.220,-16.601,-17.307,-14.220,-14.438,-10.989,48.769,772.839,2123.417,2036.701,556.688,42.945,-6.156,-7.779,-7.682,-3.875,-3.949,-3.273,-1.120,-1.538,3.638,22.350,36.220,40.854,17.847,12.350,6.755,4.512,5.616,7.528,12.003,19.334,23.869,26.217,25.698,24.292,29.822,29.652,36.726,38.220,36.684,41.738,46.430,36.859,39.799,38.586,36.785,33.915,41.709,39.257,40.266,38.476,34.110,38.287,35.834,41.091,36.358,28.435,38.903,33.888,41.371,35.416,41.520,40.608,30.206,35.640,37.617,33.496,37.793,38.300,38.443,38.423,40.799,33.156,40.941,47.531,41.665,37.333,39.965,39.284,44.664,40.740,46.903,43.246,43.458,50.326,41.391,41.994,39.688,46.543,47.217,45.216,51.111,45.421,42.725,45.550,39.588,44.415,40.401,47.351,39.523,47.000,37.776,42.338,40.399,36.505,37.867,41.174,41.932,35.225,33.853,39.071,37.944,33.716,30.576,32.827,28.791,35.064,30.362,29.468,29.414,29.700,28.691,24.561,23.735,25.330,26.630,30.531,25.431,26.137,21.348,20.131,21.278,20.800,20.171,20.631,19.303,14.976,10.212,11.812,15.976,11.594,15.081,50.936,206.949,433.240,583.776,498.476,241.007,80.133,18.414,6.009,8.156,4.942,7.111,5.572,3.181,1.938,1.352,1.031,-0.187,0.480,1.331,2.819,4.702,4.363,1.669,1.530,-4.296,2.712,0.848,4.264,
280,-28.977,-25.619,-19.368,-18.378,-16.200,-13.460,-10.829,-11.436,-13.425,-10.966,-6.560,-7.410,6.732,283.094,1637.006,2494.651,1204.203,155.162,3.321,-3.163,-1.080,-2.386,0.685,1.763,0.413,3.061,2.742,7.362,16.607,33.580,31.574,23.077,13.722,13.698,19.070,23.888,25.577,32.301,35.014,32.338,37.328,38.663,39.740,42.158,47.375,50.240,49.133,54.295,46.274,44.229,43.201,46.859,51.135,46.306,41.958,50.161,42.982,42.371,44.068,44.937,42.884,47.082,40.645,44.686,45.990,40.131,41.237,43.675,36.972,42.643,36.370,41.426,41.403,36.949,39.994,39.646,34.866,42.491,39.998,38.786,39.949,41.470,41.197,39.628,43.648,40.143,41.040,47.063,42.862,41.782,44.844,44.456,41.836,44.978,46.811,40.753,42.271,44.972,45.146,43.330,38.220,44.387,40.919,44.200,40.526,41.332,37.472,39.483,36.452,37.181,35.831,36.163,38.921,37.077,39.433,34.719,34.531,34.638,33.333,31.055,30.844,32.839,27.453,30.096,26.234,25.237,23.774,22.929,28.041,27.091,22.741,21.606,23.152,24.708,22.006,19.031,17.204,21.357,17.899,19.083,18.204,17.965,15.050,16.927,14.107,12.185,14.642,11.484,12.773,14.556,8.915,23.947,72.882,221.164,480.883,609.991,503.239,264.058,64.453,16.052,3.806,8.377,3.731,5.339,8.135,0.911,4.636,1.047,3.765,3.066,3.055,2.634,0.317,2.737,1.943,1.421,
