"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SP01_240625"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 13:15:49"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"SP01_240625.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-149.278,-114.519,-103.269,-97.114,-65.540,-33.726,-19.566,-30.077,-63.997,-59.538,-39.786,-52.179,-61.438,-54.398,-54.867,-47.027,-51.504,-48.390,-47.972,-41.026,-38.768,-34.238,-33.250,-39.008,-38.971,-36.407,-34.129,-30.878,-25.253,-27.212,-31.309,-19.492,-26.080,-10.407,-9.091,-3.185,10.825,19.172,31.363,16.943,17.140,25.338,37.029,30.618,35.078,32.936,39.948,24.883,43.530,29.181,39.137,36.046,37.485,37.715,32.168,30.933,30.669,21.927,21.227,23.951,24.895,23.089,17.161,26.185,13.472,27.384,22.148,19.327,13.161,20.717,9.063,20.899,10.324,13.259,16.402,14.331,2.198,31.907,24.856,14.162,17.405,28.316,20.917,21.208,21.951,25.745,13.694,21.947,15.087,10.640,19.809,12.411,9.459,12.550,24.479,22.659,4.833,7.187,14.836,27.158,20.685,17.566,12.965,13.655,17.279,14.784,10.842,22.691,6.096,14.367,6.786,9.505,25.422,131.467,266.394,338.267,249.497,116.712,30.742,11.514,8.369,-4.237,-2.253,-3.802,-6.277,-3.989,-4.309,-12.690,-14.538,-14.256,-6.490,-13.840,-13.296,-2.552,-4.996,-0.327,-6.488,-13.291,-9.833,-6.943,-10.375,-14.287,-15.917,-24.633,-17.366,-16.162,-21.202,-16.761,-21.244,-14.828,-13.393,-25.072,-17.537,-19.570,-28.709,-23.321,-24.563,-22.428,-31.962,-14.882,-31.316,-30.545,-25.177,-37.028,-34.175,-35.971,-42.539,-27.528,-34.108,-40.229,-40.977,-30.424,-35.651,-39.580,-33.573,-39.907,
245,-51.519,-98.079,-77.960,-77.540,-70.383,-49.909,-51.809,-43.967,-12.392,-25.336,-34.510,-39.334,-47.139,-39.807,-36.329,-39.768,-34.935,-33.830,-30.268,-33.044,-34.794,-29.950,-21.690,-21.030,-25.932,-29.451,-16.446,-18.901,-19.022,-14.710,-22.903,-18.297,-18.863,-13.959,5.280,5.431,23.084,12.594,27.824,22.447,33.078,22.569,25.421,41.753,49.874,42.723,37.575,37.806,50.048,36.534,40.881,44.181,41.845,47.815,40.981,38.629,34.304,32.991,21.206,22.044,17.563,30.034,19.302,30.803,28.926,27.970,21.530,18.373,22.476,20.541,28.638,25.168,20.355,20.931,21.554,17.553,28.727,27.018,21.273,32.793,12.411,15.465,27.851,12.260,24.309,22.224,21.479,21.091,22.924,24.635,18.560,19.720,20.457,23.943,21.810,25.050,8.399,27.612,18.518,20.978,12.933,14.024,27.557,11.691,5.928,12.928,4.382,9.689,20.900,8.831,7.693,8.628,10.068,4.497,1.681,10.617,13.158,25.963,124.092,279.605,356.942,290.795,153.106,37.424,7.870,5.808,-1.502,2.978,-1.285,0.562,1.449,-0.579,-1.697,-6.345,-7.082,0.599,4.079,-3.369,-1.871,-1.252,-2.455,3.367,-4.312,-0.840,-1.463,-9.567,-9.701,-16.070,-8.769,-12.556,-15.086,-17.820,-17.102,-22.063,-19.111,-23.931,-17.887,-17.328,-22.137,-21.609,-22.213,-17.328,-18.103,-25.082,-19.282,-25.996,-18.034,-28.623,-20.117,-29.332,-24.618,-28.592,-19.910,-27.305,-21.221,-28.042,
250,2797.335,1637.755,222.674,-45.811,-50.826,-37.536,-46.203,-44.262,-44.403,-31.360,-8.310,11.327,4.134,-15.066,-13.374,-27.967,-32.215,-26.977,-22.674,-26.578,-22.856,-13.441,-24.523,-13.836,-24.845,-18.945,-17.138,-11.728,-13.598,-17.183,-14.555,-12.644,-11.653,-2.534,1.713,5.553,3.925,15.316,11.658,19.055,21.743,31.230,26.814,29.715,30.241,35.666,24.091,45.693,34.396,33.797,36.932,24.750,28.143,36.143,39.536,29.953,34.947,22.966,29.213,35.055,20.424,29.169,24.968,22.216,23.345,17.764,30.110,28.423,18.870,25.630,22.571,15.531,21.359,16.718,20.676,25.772,23.573,34.059,19.930,30.332,29.355,18.008,26.615,20.749,20.891,23.513,24.233,27.675,25.817,29.818,28.171,26.282,13.811,31.947,20.950,22.328,23.323,16.433,28.945,24.189,30.442,28.535,18.626,27.011,19.904,23.800,14.640,20.921,28.182,14.881,21.553,19.274,21.118,12.700,22.437,11.521,17.062,17.738,9.529,16.079,10.823,10.676,40.019,123.102,286.249,374.222,365.065,170.631,55.130,17.899,3.247,13.427,6.214,-1.781,1.295,0.888,0.769,-2.949,5.505,-4.169,-1.318,-0.443,-0.119,-7.342,-6.050,-4.084,-2.040,1.872,-1.611,-6.952,-2.621,-7.330,-9.552,-11.942,-16.325,-3.933,-13.418,-11.469,-11.916,-12.496,-12.804,-15.510,-17.250,-12.577,-14.347,-15.230,-17.383,-16.795,-19.960,-20.846,-16.281,-19.321,-20.810,-18.147,-22.556,-14.322,
255,74.150,719.279,2420.751,2168.203,769.733,30.432,-40.323,-35.994,-35.781,-33.398,-35.719,-28.967,-19.147,-5.501,25.265,17.024,-7.704,-8.526,-19.072,-21.145,-17.219,-22.766,-21.159,-19.148,-17.424,-13.423,-17.365,-14.079,-15.416,-7.194,-9.935,-16.356,-9.782,-1.027,-3.463,7.768,7.997,13.271,21.210,11.917,11.024,15.663,29.407,34.355,17.169,22.276,15.464,30.628,19.148,19.524,20.324,15.211,28.241,33.498,24.905,18.717,19.538,22.910,27.146,18.753,19.689,28.296,29.818,20.936,27.220,25.482,13.049,20.360,19.698,20.415,23.169,30.052,30.415,25.922,27.326,35.821,29.203,24.397,23.570,34.380,35.294,20.229,37.766,28.408,30.153,31.024,31.635,29.300,43.663,24.853,40.219,28.800,35.057,36.108,27.580,32.835,29.432,30.039,29.465,38.067,32.295,32.891,27.969,33.585,32.480,31.285,23.618,34.541,22.969,23.567,25.451,22.588,25.453,17.278,24.832,29.169,21.950,21.381,20.060,19.548,23.872,15.590,15.066,10.158,19.700,17.951,12.944,38.994,138.894,345.401,535.234,460.568,236.901,92.710,23.259,8.654,3.222,8.374,-0.392,-0.242,-2.147,-2.135,-2.113,-3.469,3.466,-6.988,5.676,-6.047,-5.074,-9.266,-2.447,0.932,-3.994,-0.210,3.461,3.750,-6.478,-4.813,-5.412,-9.737,-11.947,-8.949,-7.775,-12.356,-14.559,-12.162,-11.205,-15.634,-15.555,-17.456,-12.153,-19.826,-21.909,-1.415,-19.185,-18.056,
260,-77.025,-65.851,-32.941,202.361,1276.878,2518.706,1621.023,321.112,-0.835,-32.896,-18.970,-20.239,-26.685,-15.859,-24.790,-13.391,-2.638,29.414,23.805,3.672,-5.733,-12.157,-9.542,-10.507,-5.961,-12.070,-12.791,-9.985,-4.637,-9.086,-3.974,-1.718,-6.991,-2.809,7.770,13.026,18.762,21.247,14.989,27.041,12.936,15.717,27.187,25.307,31.656,23.889,28.661,30.969,27.918,22.724,25.561,26.674,21.526,30.530,35.015,18.183,30.360,33.440,19.935,28.273,24.403,28.762,17.392,22.664,27.487,31.988,25.508,29.575,25.794,28.086,26.268,34.998,32.019,29.556,26.113,25.486,35.380,33.586,25.643,33.034,32.738,33.898,28.218,29.960,33.448,33.100,38.429,28.384,31.837,37.108,33.966,39.645,23.542,36.969,30.563,37.615,37.774,37.792,40.238,27.562,29.447,34.692,35.226,31.264,25.739,32.230,24.817,32.852,29.250,31.993,30.178,33.524,26.742,32.299,22.671,25.014,17.961,13.231,25.639,21.217,17.224,15.920,19.535,19.694,22.162,11.531,13.075,15.816,14.807,11.512,18.412,23.149,43.647,144.127,350.546,528.094,531.238,284.852,100.981,23.442,8.976,4.076,6.761,6.762,3.974,6.045,6.941,4.247,-1.915,-1.471,0.246,1.769,-0.063,-1.341,-0.754,-5.956,1.300,7.950,8.811,3.678,-0.078,1.843,4.990,2.205,-10.031,-6.580,-5.151,-8.764,-11.426,-5.442,-6.229,-10.286,-7.756,-12.075,-11.131,-11.598,
265,-63.445,-47.370,-43.811,-32.734,-20.818,53.964,692.077,2370.337,2222.538,710.515,46.567,-12.030,-16.374,-15.255,-9.839,-11.068,-7.532,-8.439,-2.350,10.237,23.532,23.069,8.715,-1.980,0.072,-3.112,-3.571,-2.808,-3.639,-1.746,-4.271,0.438,1.284,2.599,10.194,18.376,21.989,19.281,29.353,23.559,25.441,24.242,34.336,37.581,32.571,36.356,35.755,34.811,32.303,31.440,30.799,39.519,36.694,37.814,35.183,30.957,36.887,30.528,25.606,36.237,23.837,29.819,33.576,28.301,34.007,24.893,29.489,30.367,23.577,23.279,24.405,28.837,22.934,26.655,25.459,27.003,29.870,26.693,24.796,26.699,26.228,31.785,34.645,24.552,31.770,35.914,28.232,29.112,28.054,35.502,36.447,33.740,29.908,32.038,29.884,30.678,33.331,29.558,35.367,28.509,28.878,28.528,29.097,27.354,28.715,36.567,28.083,30.311,25.741,32.210,30.512,29.289,30.646,26.160,27.719,22.829,25.705,20.640,21.656,21.048,22.757,18.134,20.324,20.215,13.644,22.782,15.002,21.954,13.721,16.437,15.257,13.173,11.537,11.798,10.209,9.207,18.361,56.227,165.867,374.817,535.184,485.312,237.254,76.498,13.415,11.121,5.403,5.322,6.057,7.866,2.943,4.623,1.274,-3.631,0.884,3.763,1.392,-0.178,-0.401,0.599,-4.240,0.322,-3.929,-0.728,5.861,3.313,4.791,5.285,0.009,-2.655,-6.777,-2.661,-2.741,-6.909,-7.796,-12.596,
270,-50.792,-36.142,-29.828,-25.529,-16.557,-21.554,-21.793,-5.524,215.639,1472.293,2652.740,1440.927,271.810,3.400,-9.570,-6.023,-11.193,-4.830,-7.786,-4.414,-7.039,-1.523,16.025,34.962,26.305,14.909,5.309,1.241,1.848,2.714,5.280,3.327,7.724,7.298,20.158,26.100,21.439,36.290,32.024,36.939,39.049,36.955,34.020,49.423,51.365,45.380,45.991,43.706,43.360,46.814,52.362,40.426,41.062,44.958,42.757,41.455,35.309,32.786,37.551,41.033,34.423,30.497,33.021,32.280,27.249,31.597,25.191,29.139,29.172,22.030,30.202,28.809,29.230,24.727,27.602,23.636,27.773,28.083,29.314,28.613,31.678,31.112,26.403,32.128,29.281,31.238,29.387,31.088,28.507,28.855,32.802,31.603,33.356,30.746,27.726,36.618,28.819,29.598,31.324,33.221,27.460,29.913,31.358,30.388,29.064,28.825,27.339,29.013,28.989,33.379,28.027,28.981,30.185,23.541,26.133,25.907,23.011,18.417,19.006,19.553,20.104,21.476,17.065,19.639,21.181,20.730,19.745,16.217,17.418,21.201,14.063,19.594,11.398,16.644,14.371,10.537,15.527,10.512,13.956,12.443,8.135,15.343,44.884,166.271,392.374,596.944,526.718,294.917,79.592,9.948,7.950,2.655,2.808,2.611,3.510,3.323,3.882,2.462,1.222,0.707,0.125,0.099,0.883,1.229,-0.783,0.749,-0.166,-2.590,-0.868,0.645,1.968,3.409,2.764,2.994,6.087,-4.535,
275,-39.432,-30.595,-26.462,-19.336,-19.882,-12.771,-13.852,-8.135,-10.687,-10.162,50.139,762.019,2195.972,2157.991,572.155,48.345,-4.418,-4.859,-2.326,-3.432,-2.768,1.115,2.204,-0.552,6.042,16.251,28.800,31.196,19.038,10.920,12.099,7.681,7.241,15.195,20.041,28.450,39.471,40.986,35.255,46.318,41.968,47.678,56.834,54.436,62.638,54.957,54.796,58.411,55.518,52.104,50.224,53.640,46.859,55.341,50.050,47.578,50.268,38.627,41.108,36.549,38.188,34.012,35.857,36.133,31.757,30.594,35.728,33.288,34.213,30.905,26.422,28.252,28.513,29.014,28.271,23.279,26.618,29.533,28.769,28.569,27.294,30.582,27.643,29.645,32.094,27.179,30.903,26.709,29.901,30.447,28.159,31.493,26.309,29.785,28.314,31.706,26.356,30.187,27.378,29.987,26.843,28.333,26.338,28.392,27.788,32.101,27.416,23.041,27.112,27.868,21.518,25.366,25.062,20.639,21.275,17.292,23.312,22.693,23.808,19.398,20.522,18.440,18.270,18.424,22.105,19.020,18.749,16.356,19.233,18.638,12.033,14.302,17.567,13.456,11.871,7.930,13.211,9.579,9.580,12.882,12.365,8.833,9.660,6.981,5.164,16.249,12.131,48.778,196.099,444.855,603.421,514.690,255.500,67.160,12.823,7.658,6.314,1.035,1.977,1.544,3.929,2.712,1.401,2.640,2.670,2.658,0.431,-0.107,0.628,-1.013,-2.743,-2.187,-0.554,-0.161,1.288,2.050,
280,-30.600,-29.343,-22.455,-14.450,-15.567,-16.332,-15.632,-14.725,-12.528,-11.584,-8.966,-8.108,0.489,306.487,1731.328,2622.606,1291.861,160.801,3.583,-1.335,0.311,2.592,1.536,0.673,2.046,3.706,9.401,10.692,21.951,37.518,32.823,22.607,20.475,23.392,32.235,36.187,40.588,46.191,48.892,52.924,56.457,63.176,69.281,63.135,77.121,75.444,68.522,71.535,64.768,64.504,65.124,66.361,61.196,57.138,61.035,57.754,47.696,49.237,53.496,51.723,43.124,42.295,40.726,44.231,41.794,36.219,34.551,34.403,37.847,31.044,31.369,32.524,29.609,32.423,30.176,29.597,31.212,26.997,33.714,28.608,29.044,27.496,33.359,28.159,33.528,27.488,30.778,30.091,28.490,29.544,26.496,28.365,29.553,30.805,29.747,31.455,24.432,27.660,30.687,31.045,28.190,28.592,27.763,26.618,31.081,28.797,28.213,26.122,23.927,21.391,24.857,23.120,20.949,25.422,25.222,24.278,24.864,19.099,17.452,17.158,18.720,19.574,20.536,18.190,15.912,18.006,18.815,15.202,18.360,17.237,21.156,17.517,15.634,12.962,10.820,13.170,12.567,11.893,11.958,8.782,9.477,10.841,11.193,9.260,8.808,6.160,8.044,7.484,7.615,6.169,9.955,16.015,65.622,222.441,479.605,646.587,523.293,253.236,71.685,12.069,7.096,2.705,2.295,2.630,1.157,2.555,3.684,-0.380,3.070,1.894,0.662,-1.569,0.117,0.913,4.124,1.430,
