"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","SP02_080725"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 13:41:55"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"SP02_080725.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-145.551,-159.335,-127.143,-99.295,-69.716,-37.417,-10.267,-54.313,-64.113,-61.302,-59.067,-48.595,-47.584,-46.297,-42.887,-44.898,-44.321,-42.980,-46.340,-47.112,-37.001,-27.524,-32.111,-36.312,-31.978,-22.038,-27.423,-26.658,-22.166,-23.023,-19.072,-18.574,-6.806,-6.096,-9.460,0.562,17.135,10.247,13.417,8.260,28.045,13.804,20.685,37.253,29.419,20.081,36.138,27.056,23.844,30.420,32.453,35.225,33.460,44.133,28.032,24.424,28.188,21.636,33.049,20.707,28.298,44.583,27.266,33.588,21.218,20.184,12.654,12.717,17.532,12.684,19.465,15.629,25.648,15.963,16.031,19.801,25.741,22.029,20.574,24.309,13.327,24.386,22.200,16.849,23.720,21.058,19.506,19.929,21.063,17.119,22.069,24.654,17.995,17.216,27.987,22.523,15.550,19.599,24.895,12.364,24.699,12.330,12.049,19.028,17.642,2.450,16.285,15.000,15.354,9.664,10.358,4.550,42.165,134.833,254.782,334.796,283.675,134.000,34.286,8.720,3.126,-8.447,3.503,-1.777,-7.543,-1.773,-11.754,1.059,-3.395,-6.993,-14.716,-7.260,-6.653,-7.265,-1.485,4.105,0.537,-2.785,-2.160,-9.843,-1.420,-13.493,-8.643,-11.660,-16.472,-12.290,-23.190,-18.691,-21.666,-18.895,-20.676,-21.382,-24.342,-14.228,-22.696,-13.009,-30.573,-19.405,-21.649,-27.370,-23.414,-24.665,-22.045,-29.564,-27.878,-28.825,-28.338,-26.313,-35.007,-28.365,-31.248,-32.106,-31.225,-30.087,-40.759,-37.941,
245,-29.412,-84.576,-78.615,-76.029,-71.727,-54.602,-56.603,-23.577,-17.889,-5.829,-20.501,-34.686,-32.597,-40.601,-34.859,-32.391,-40.446,-38.040,-29.374,-25.229,-30.304,-23.821,-27.571,-28.435,-22.123,-23.015,-21.704,-26.863,-20.595,-19.884,-21.329,-16.519,-10.945,-8.295,-3.113,1.576,11.332,14.810,12.024,22.145,22.527,24.233,20.080,30.477,42.745,38.031,46.650,37.126,32.276,29.409,23.003,40.822,37.963,39.926,26.862,36.812,24.113,38.824,33.688,15.398,26.326,22.008,30.199,29.641,28.330,22.060,27.970,29.477,22.467,25.092,25.842,22.236,21.273,17.792,27.196,17.364,12.201,14.089,28.449,17.486,17.793,25.404,9.379,21.335,25.506,19.200,22.864,23.909,26.696,28.007,27.891,30.994,28.455,26.617,26.304,9.174,21.362,14.795,20.734,25.708,26.554,24.357,23.115,23.598,18.761,14.376,19.902,18.684,16.330,14.545,13.251,14.862,2.631,18.683,7.451,19.873,18.509,37.425,128.159,263.625,355.440,288.277,171.991,38.145,13.164,8.983,5.277,6.844,-6.773,3.910,-5.462,-2.093,0.674,2.345,-4.597,5.099,-0.546,-4.743,-6.323,2.314,2.225,-8.921,0.802,-0.032,-6.702,-14.214,-9.739,-12.438,-16.722,-5.273,-14.565,-4.508,-14.958,-16.811,-10.389,-15.956,-21.257,-16.478,-19.407,-24.767,-17.851,-22.388,-14.632,-18.495,-15.681,-24.496,-16.193,-28.687,-26.381,-21.960,-27.987,-26.162,-25.693,-27.119,-27.318,-30.226,
250,2730.272,1502.766,178.853,-37.248,-48.084,-48.937,-40.068,-34.435,-37.971,-25.834,-12.571,11.289,10.833,-0.468,-27.108,-24.572,-19.671,-21.242,-23.800,-23.594,-17.866,-18.261,-20.970,-12.714,-19.570,-20.765,-18.020,-11.266,-13.437,-17.140,-4.446,-8.539,-11.052,-1.511,-3.531,8.440,9.012,13.532,10.697,10.760,24.189,18.363,32.175,25.184,28.041,35.719,34.943,32.198,32.972,31.122,33.987,33.201,30.328,26.842,31.465,24.835,26.087,27.175,21.579,30.499,22.685,25.810,21.204,29.048,31.441,32.650,27.755,21.426,25.641,19.207,28.127,22.541,25.604,24.555,32.832,18.190,20.137,28.793,22.297,33.257,22.193,29.293,26.619,21.278,26.447,15.727,23.507,28.245,27.834,33.793,33.393,27.277,26.351,27.976,30.482,31.356,19.316,17.635,28.046,31.963,26.164,21.062,18.281,23.870,29.272,23.080,16.410,23.991,26.169,25.777,19.412,15.588,9.883,14.351,15.448,16.221,17.190,19.897,12.178,9.125,10.445,15.615,41.625,136.435,274.846,388.426,334.903,149.751,50.758,14.435,11.644,-1.094,2.468,5.849,5.194,3.309,2.332,3.320,-4.761,-4.451,0.128,-3.412,0.260,-5.327,4.055,-5.876,2.509,2.076,10.469,-2.964,9.419,-9.057,-3.720,-11.193,-15.499,-7.979,-11.768,-11.257,-11.868,-5.441,-20.171,-11.163,-15.709,-17.250,-10.530,-11.797,-14.755,-21.770,-17.244,-20.044,-18.257,-13.770,-17.798,-24.735,-20.898,-22.035,
255,48.866,802.064,2442.108,2296.387,763.044,48.641,-46.158,-37.985,-31.385,-34.883,-33.990,-25.143,-18.590,-3.074,19.030,11.769,-0.888,-19.545,-18.386,-16.729,-11.708,-23.207,-18.391,-19.085,-15.209,-14.251,-11.949,-16.628,-10.652,-10.428,-13.550,-14.665,-5.647,-5.283,-3.513,0.339,9.647,-2.058,10.284,8.517,12.362,9.238,23.953,30.105,14.487,18.967,17.910,22.449,30.408,18.935,16.527,14.151,17.819,21.166,28.460,26.961,23.419,25.599,37.832,22.243,26.745,28.600,31.982,25.295,29.406,29.925,27.712,26.195,26.043,27.038,24.693,34.131,25.690,36.015,32.849,34.284,27.746,31.548,38.989,35.696,31.946,31.890,40.836,26.860,42.499,31.625,44.924,31.889,35.090,33.200,34.524,33.048,38.004,32.098,35.378,35.930,35.069,44.540,38.631,34.657,27.716,38.924,25.955,37.704,38.325,28.318,29.797,25.091,27.493,28.090,30.466,24.331,31.486,24.843,28.197,21.506,28.391,24.107,24.359,24.519,21.687,20.136,14.782,15.868,14.826,22.205,23.150,40.888,146.506,364.262,509.466,452.074,235.006,89.557,28.823,11.629,4.357,5.914,15.387,11.254,0.725,5.813,6.841,0.777,3.576,-9.365,-1.149,4.806,-1.003,-8.789,-2.955,-4.518,5.344,17.184,3.731,2.588,-2.590,-7.107,-4.959,-11.137,-11.316,-11.357,-15.691,-11.469,-6.111,-16.940,-7.910,-17.023,-13.980,-14.603,-10.238,-15.962,-15.646,-16.700,-17.109,-20.726,
260,-78.169,-58.012,-19.203,251.456,1413.528,2634.356,1758.370,313.679,-7.522,-17.596,-21.249,-20.989,-16.479,-21.887,-19.117,-16.328,12.912,22.158,12.389,1.759,-6.748,-11.154,0.680,-14.095,-5.760,-6.451,-10.960,-6.702,-0.406,-7.828,-4.213,-1.920,-3.892,2.263,2.492,9.313,13.163,14.975,17.840,20.483,25.490,13.299,24.478,27.139,35.369,29.452,25.760,26.419,23.764,35.811,32.281,25.083,26.759,22.473,32.541,20.729,29.911,28.256,29.809,28.717,22.558,29.690,27.166,31.349,29.963,33.904,33.372,23.820,25.509,26.674,36.158,36.415,32.697,37.880,36.044,32.988,27.044,30.055,32.588,33.646,31.470,31.698,35.046,31.114,33.094,29.155,40.567,40.151,32.059,39.053,38.853,42.317,35.513,37.522,44.108,40.126,34.948,37.350,41.177,38.217,37.272,33.054,36.290,39.652,37.693,34.229,35.185,39.662,29.674,35.839,34.064,29.327,24.712,22.815,30.273,26.600,32.223,23.468,29.790,24.580,25.336,26.558,22.582,16.303,26.478,21.312,13.340,22.053,20.298,16.194,12.995,22.663,43.468,150.647,377.894,532.513,539.006,300.628,99.501,21.742,10.821,10.156,8.349,9.172,7.485,2.481,0.723,5.875,3.430,-1.748,-3.797,2.914,2.232,-0.159,-8.935,1.549,-3.288,0.896,-3.698,5.941,3.194,4.815,1.233,-0.398,-1.862,-12.143,-3.385,-6.677,-8.516,-0.950,-8.317,-7.667,-8.448,-10.635,-13.168,-14.473,
265,-48.553,-41.846,-38.642,-27.800,-23.741,53.073,723.405,2336.639,2277.424,745.252,44.144,-9.012,-16.587,-11.616,-12.504,-11.148,-9.280,-11.782,-7.621,13.056,33.409,23.891,3.512,-1.280,-5.855,-5.750,-3.537,-3.876,-0.556,-3.340,1.853,7.311,3.646,4.135,12.477,15.848,19.033,16.162,23.380,23.629,27.321,26.205,24.577,33.163,37.035,32.470,31.294,28.933,31.352,28.527,33.342,35.543,33.134,29.004,29.232,33.652,30.436,29.522,29.459,27.963,27.677,28.028,25.064,28.366,26.016,32.168,34.685,30.083,22.794,28.015,23.940,31.620,28.768,26.775,26.287,30.156,24.738,25.144,27.326,28.679,34.443,31.804,25.215,40.765,30.725,37.014,37.583,33.240,25.567,34.252,39.818,30.524,32.109,34.411,36.210,29.760,32.521,35.158,39.036,33.019,42.313,39.338,30.571,37.614,28.625,34.254,36.141,32.381,28.682,30.927,31.487,31.755,28.619,28.006,30.505,21.508,26.335,21.121,25.480,24.698,24.209,21.814,23.141,23.640,19.518,21.428,20.069,20.263,16.882,15.642,12.827,19.529,19.591,16.314,16.151,15.376,18.316,57.903,172.588,427.745,559.012,499.637,251.743,72.338,17.268,6.858,7.544,5.517,3.191,9.620,3.103,4.153,3.871,4.290,-0.543,-2.033,-0.499,-4.521,-5.136,0.311,-4.928,2.850,-0.892,1.949,-0.052,3.219,6.261,5.762,-0.820,1.185,-0.532,-6.894,-4.311,-7.120,-9.888,-6.066,
270,-32.183,-41.437,-26.547,-25.741,-15.497,-22.394,-18.550,-5.847,248.150,1493.265,2690.906,1483.673,279.521,3.932,-12.080,-8.263,-7.212,-6.811,-4.361,-5.078,2.042,3.217,16.636,39.982,38.403,16.556,7.239,3.342,4.572,7.103,8.694,2.762,3.836,13.733,14.049,22.136,17.569,27.966,37.156,35.708,29.578,33.737,43.418,40.913,37.188,43.818,35.736,49.352,42.298,42.271,39.257,44.960,39.642,36.053,37.248,38.851,34.147,33.964,32.610,34.203,30.120,34.021,27.743,27.640,29.044,31.707,33.841,30.240,29.069,34.095,27.573,28.794,30.147,26.007,22.949,32.246,23.519,31.932,30.760,33.509,32.001,29.654,33.487,33.161,34.795,30.002,32.677,30.178,31.740,34.183,32.394,36.167,33.837,35.557,32.113,36.193,32.253,35.456,32.582,32.088,32.599,33.511,28.469,34.600,33.093,30.722,35.798,28.623,31.366,26.675,29.047,37.503,25.807,30.542,31.494,28.373,23.971,27.460,26.667,25.432,23.639,26.353,25.512,20.813,20.329,18.871,26.644,19.241,23.253,17.815,11.244,16.200,18.508,18.753,13.083,14.372,13.946,16.293,10.905,12.948,11.438,13.265,49.565,169.281,386.530,611.199,554.171,289.725,94.178,16.880,4.735,4.459,5.070,5.228,3.073,6.889,3.998,0.747,4.018,0.224,2.627,3.886,-4.226,-0.926,1.179,0.265,2.149,-2.102,-2.330,2.855,0.388,9.767,6.315,3.421,3.627,2.720,
275,-30.904,-24.906,-25.261,-17.438,-17.791,-15.704,-17.158,-13.644,-15.076,-9.640,44.669,826.684,2234.837,2177.070,599.211,39.767,-6.381,-2.908,-3.432,2.762,-1.093,3.483,3.375,5.219,10.061,25.620,32.897,38.107,23.811,18.064,10.536,8.247,12.279,14.780,26.835,29.093,34.509,37.517,37.395,41.262,50.931,39.100,51.150,55.821,49.297,47.505,50.593,51.030,47.613,51.192,46.145,51.847,50.809,45.531,47.981,41.835,41.647,39.299,43.210,31.925,34.689,35.300,32.143,33.912,33.666,34.503,33.452,32.057,29.548,29.539,30.297,31.127,29.264,28.902,26.955,29.520,28.522,31.540,28.127,36.075,29.702,34.017,29.515,30.354,29.359,27.035,29.172,33.671,29.888,30.832,29.091,35.855,31.117,31.782,29.631,33.208,32.557,34.323,32.319,28.937,33.328,29.661,32.666,28.537,28.846,26.221,28.786,27.783,30.517,28.996,28.419,27.068,29.618,26.532,28.316,23.697,28.965,24.005,24.033,22.874,21.800,17.923,22.427,19.683,18.329,24.625,18.327,18.084,17.911,19.056,17.836,18.227,16.052,16.475,14.696,11.976,15.645,13.974,12.971,13.825,10.547,10.643,7.869,7.769,11.136,6.735,15.681,48.369,194.539,441.998,602.595,519.095,266.704,72.368,14.860,4.983,6.099,3.200,5.635,4.525,5.895,3.228,0.609,5.068,0.759,4.094,-1.551,-0.811,2.247,1.151,2.074,-0.893,1.610,-0.520,3.009,-2.616,
280,-30.427,-20.677,-20.661,-13.107,-11.461,-12.390,-11.887,-12.410,-6.362,-11.651,-8.931,-5.718,0.238,293.818,1728.826,2564.848,1220.283,159.946,6.120,1.252,1.736,1.352,4.589,6.839,6.820,11.592,10.950,13.640,23.348,35.843,39.973,25.572,23.044,23.365,29.841,36.721,50.513,48.610,45.228,45.378,51.757,53.302,57.304,65.969,65.997,63.128,68.984,61.449,59.067,61.152,56.439,58.984,61.833,54.526,51.671,50.948,49.316,43.976,45.779,44.700,36.897,39.579,41.368,43.831,38.590,42.325,35.821,38.779,34.659,35.379,33.936,39.199,37.967,32.104,30.905,27.633,30.892,31.446,31.527,31.801,33.436,33.730,26.993,33.428,36.584,28.778,27.764,29.923,26.796,30.605,27.770,32.356,31.465,30.477,26.738,27.178,33.455,29.016,31.661,33.449,29.377,33.175,29.372,25.718,31.134,29.917,28.664,28.627,25.481,27.830,26.209,26.553,24.799,25.494,24.890,25.592,19.343,25.274,20.473,27.567,21.373,19.232,19.304,16.012,18.370,20.880,13.784,19.241,14.454,20.098,17.466,16.109,15.266,18.415,13.724,16.571,13.832,16.279,12.073,13.809,12.139,14.209,10.355,12.243,8.444,5.301,8.561,9.769,7.982,6.647,7.265,20.365,71.282,226.255,482.482,645.576,512.633,253.581,74.394,7.956,5.410,7.426,3.938,6.440,3.590,5.907,1.173,1.660,0.809,0.989,0.608,-1.038,1.241,1.218,0.683,-0.012,
