"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP01_240625"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 12:44:20"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP01_240625.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-148.969,-139.242,-133.002,-99.148,-66.783,-0.423,-23.399,-58.975,-63.974,-55.547,-65.605,-64.610,-52.069,-59.575,-54.913,-54.064,-53.980,-45.084,-46.784,-43.328,-47.401,-38.950,-42.599,-33.995,-40.169,-43.876,-37.156,-38.283,-33.772,-37.262,-22.507,-29.368,-28.037,-23.866,-27.258,-20.984,-27.795,-23.272,-32.125,-21.611,-16.386,-23.197,-24.512,-18.671,-20.742,-15.291,-10.743,-11.613,-17.358,-18.472,-0.297,-12.618,-6.786,-8.390,0.892,-0.354,-2.858,-0.974,4.170,4.872,1.470,3.095,10.342,10.337,11.246,9.672,8.764,11.958,7.529,19.029,18.789,17.328,20.604,28.850,26.339,26.931,19.413,19.549,36.764,20.446,30.626,16.930,19.047,34.107,19.447,41.372,31.009,33.802,28.015,25.406,30.177,19.026,35.170,29.168,20.305,28.500,33.287,30.696,36.044,45.853,31.676,29.850,23.200,29.007,27.789,23.255,16.278,16.709,30.004,19.276,15.666,20.718,26.648,72.699,147.800,220.173,144.015,78.639,21.729,2.027,9.439,8.178,-2.646,-5.333,17.812,2.492,4.542,-0.246,12.424,-1.441,-1.291,-0.347,-4.081,0.749,2.503,6.973,5.006,-3.895,0.887,2.884,-9.721,-6.771,-12.323,-19.199,-15.861,-12.452,-13.097,-13.741,-12.398,-20.885,-19.569,-15.012,-18.163,-18.309,-26.903,-25.256,-21.787,-23.634,-27.202,-25.484,-34.479,-39.177,-32.101,-37.720,-36.370,-30.963,-28.928,-28.767,-34.778,-36.259,-33.529,-40.198,-39.271,-37.659,-37.555,-42.984,
245,-92.595,-107.317,-92.702,-93.428,-72.896,-74.005,-63.425,-40.494,-3.559,-5.811,-30.847,-44.544,-46.525,-39.127,-41.526,-40.143,-40.276,-38.344,-35.084,-34.882,-26.209,-37.383,-36.142,-29.160,-32.487,-22.035,-21.324,-27.702,-27.132,-19.241,-18.715,-23.035,-23.153,-22.816,-21.824,-22.781,-19.705,-18.968,-16.652,-17.172,-14.509,-17.355,-12.367,-8.473,-11.935,-11.237,-10.953,-11.232,0.110,-1.289,-6.277,-5.037,-4.525,-0.547,-3.548,0.373,8.626,2.172,2.438,7.402,8.879,12.829,11.696,17.639,17.533,13.881,14.260,21.092,19.933,17.729,24.277,16.502,27.435,22.344,28.113,27.499,21.781,18.630,26.578,34.001,35.412,39.503,27.862,32.222,29.018,36.943,42.695,31.958,35.458,35.291,34.495,41.636,39.601,25.998,38.551,28.093,29.817,41.837,36.031,35.293,30.873,26.455,27.846,22.226,35.338,36.380,31.296,28.771,27.785,24.161,27.905,17.089,14.786,26.387,21.734,18.624,30.121,34.127,90.887,159.505,197.680,186.253,85.449,34.542,22.624,7.803,8.575,6.978,-0.509,-0.978,-0.014,3.790,-0.417,8.915,1.724,4.756,0.892,-5.300,4.321,7.006,3.013,7.160,6.544,2.192,-9.447,-6.199,-7.550,-7.117,-8.862,-11.913,-2.746,-10.803,-7.231,-11.090,-18.813,-20.164,-18.378,-20.622,-19.110,-21.349,-13.773,-23.161,-19.294,-24.495,-21.528,-19.005,-23.146,-23.079,-28.269,-23.057,-27.296,-22.441,-33.338,-20.672,-28.596,-28.236,
250,1509.816,918.533,51.347,-23.590,-54.378,-54.903,-45.023,-45.972,-42.351,-41.812,-12.788,16.235,8.628,-27.469,-32.492,-32.106,-26.446,-27.498,-29.481,-27.775,-26.454,-19.788,-25.802,-19.276,-23.313,-14.301,-22.549,-20.561,-21.426,-19.206,-18.030,-16.878,-18.244,-16.376,-17.666,-9.721,-9.167,-15.284,-9.811,-13.497,-14.897,-9.318,-9.570,-6.108,-8.599,-10.010,-5.543,-4.808,-2.978,-4.750,-5.711,0.113,0.536,8.864,7.028,3.068,6.379,8.357,11.802,16.417,12.583,15.036,15.482,14.199,17.300,19.290,24.407,16.705,24.647,30.786,26.490,25.894,27.943,23.567,24.192,24.255,28.965,40.789,34.476,31.365,37.529,26.608,43.564,33.387,27.742,33.894,34.698,42.239,37.776,45.918,35.150,40.811,39.656,42.073,31.832,36.975,39.411,40.612,31.051,36.081,34.237,33.556,42.334,33.676,36.330,33.573,28.134,36.389,24.625,31.595,28.789,24.823,28.753,28.173,30.084,33.540,27.967,29.748,18.295,27.169,16.082,22.057,26.566,90.328,182.609,209.229,184.050,110.037,42.276,23.031,12.830,5.800,7.881,15.562,5.233,-3.669,4.278,7.314,3.708,8.451,3.643,-1.455,3.782,0.293,-2.626,5.021,3.682,2.674,4.900,2.126,-7.571,3.520,-9.023,-11.854,-3.994,-4.318,-4.016,-14.918,-10.812,-17.907,-7.493,-13.917,-10.544,-14.609,-13.508,-12.071,-20.759,-20.083,-10.740,-25.686,-20.985,-17.459,-22.297,-23.649,-22.775,-20.638,
255,-29.593,428.327,1440.762,1210.398,431.184,-9.394,-51.437,-42.773,-43.414,-37.983,-28.699,-31.694,-23.579,-2.755,42.135,7.943,1.100,-22.415,-22.436,-23.543,-21.105,-19.227,-22.657,-24.438,-21.503,-18.784,-14.866,-18.343,-21.114,-11.436,-12.388,-16.774,-14.935,-15.185,-12.415,-15.112,-12.563,-7.179,-6.035,-6.212,-8.939,-12.069,-1.717,0.695,-3.901,-7.081,1.101,-1.646,-3.681,2.855,-3.295,-3.098,2.937,7.918,7.490,7.675,19.847,15.825,19.434,14.157,12.237,18.534,27.165,24.413,30.312,28.562,26.964,43.287,34.084,30.083,37.062,33.279,32.096,33.338,32.462,41.473,39.511,40.912,44.699,34.543,44.062,48.931,52.651,48.460,48.301,51.035,55.938,44.240,49.270,46.732,56.899,54.575,53.340,52.918,54.094,53.049,57.360,49.834,50.875,49.220,51.282,49.112,55.900,50.313,48.865,55.806,46.319,43.581,42.064,39.129,47.464,35.692,41.238,36.793,34.399,42.492,27.882,32.487,24.392,29.412,27.062,27.257,24.809,28.457,23.070,17.269,28.590,38.675,112.463,210.939,297.253,268.323,140.862,61.057,15.627,8.931,9.374,10.489,10.771,8.703,5.376,8.939,7.711,14.378,5.840,-3.845,6.187,5.149,1.425,0.333,3.263,3.381,10.466,8.369,6.504,5.002,2.430,2.085,1.975,-6.236,-12.406,-12.505,-4.643,-13.845,-4.998,-13.311,-11.325,-8.816,-12.972,-18.654,-7.494,-19.880,-15.392,-17.819,-10.951,-24.359,
260,-84.099,-69.245,-52.420,130.458,717.387,1470.009,860.945,175.262,-23.604,-31.842,-24.319,-21.885,-19.759,-22.900,-20.627,-16.891,6.495,28.454,16.980,0.168,-10.759,-10.107,-13.985,-15.547,-14.031,-15.089,-12.234,-12.493,-14.737,-15.927,-10.744,-10.749,-9.989,-11.341,-9.886,-9.001,-3.336,-0.548,-7.809,-4.047,-5.991,-4.617,-2.903,-2.660,2.997,1.553,1.932,0.957,5.325,3.120,3.270,2.503,8.988,7.836,5.059,8.719,14.095,16.714,21.205,17.692,19.154,16.957,20.176,24.877,31.863,32.360,25.247,33.883,31.147,29.751,27.872,37.826,32.085,34.241,31.325,37.414,44.680,35.716,48.278,48.909,46.379,47.148,50.639,49.065,49.345,47.777,53.313,50.586,55.946,52.429,44.563,44.574,60.164,52.529,55.516,52.245,50.788,53.889,57.712,50.420,45.491,51.470,59.518,63.901,51.547,55.516,45.735,48.315,48.973,41.874,38.796,46.238,41.673,38.710,36.302,39.996,33.775,37.550,39.080,34.629,31.615,39.273,33.758,29.442,27.078,26.871,31.361,33.414,25.395,25.674,22.169,19.381,40.191,81.746,192.685,310.010,293.468,171.737,69.454,27.105,15.748,14.259,7.373,12.015,11.619,9.040,13.959,4.406,1.555,6.744,3.085,3.945,-1.827,-1.207,5.935,-0.528,0.904,1.146,0.454,10.410,14.252,5.749,5.846,9.851,-3.992,-2.968,-6.391,-11.511,-7.226,-8.677,-10.226,-10.103,-13.198,-8.731,-15.384,-15.040,
265,-67.063,-51.703,-43.745,-30.384,-27.501,15.764,413.650,1293.155,1251.918,423.604,24.742,-16.019,-16.404,-14.749,-16.848,-15.870,-17.022,-9.349,-1.777,13.067,28.449,36.393,2.509,-4.334,-9.278,-6.547,-4.978,-5.494,-3.075,-6.270,-6.719,-3.033,-5.567,-3.150,-0.086,0.504,-3.804,-4.923,0.545,-0.715,0.098,-1.644,1.630,-0.639,3.869,5.722,1.050,8.404,2.582,9.443,8.144,12.387,6.582,11.693,10.163,10.383,14.207,10.361,20.956,19.707,19.840,22.637,23.391,25.693,23.623,22.565,28.602,27.970,35.453,29.518,34.598,30.552,37.338,33.314,36.308,36.288,40.415,38.492,40.898,36.265,44.999,46.950,38.032,44.949,47.657,48.873,40.727,51.260,39.610,48.608,50.900,44.919,50.062,50.803,49.009,53.039,47.426,46.484,49.511,50.162,51.058,46.240,53.149,47.220,55.644,43.380,40.829,44.721,38.406,45.513,46.373,41.343,32.284,38.140,44.094,34.665,42.187,37.421,33.165,27.085,26.567,31.515,32.535,33.245,25.533,30.403,28.254,24.113,28.828,24.306,21.650,28.216,28.514,16.609,17.791,19.942,17.862,37.314,111.710,237.142,334.049,264.580,147.672,55.088,15.301,11.372,12.425,8.613,11.372,11.801,7.551,4.035,6.444,4.329,1.088,1.076,5.715,4.036,-0.479,-0.277,-3.776,-2.458,0.844,-0.937,3.676,2.635,6.461,5.375,4.489,-4.699,-2.297,-3.694,-3.639,-6.482,-8.932,-8.038,
270,-50.223,-37.420,-35.187,-23.551,-19.780,-27.257,-20.383,-9.987,146.199,831.371,1543.196,829.441,158.876,-4.485,-15.986,-13.760,-9.197,-8.263,-10.286,-8.294,-6.655,-2.757,17.845,32.794,29.403,19.659,1.194,-4.633,1.075,-4.060,-1.160,0.401,0.521,-1.664,2.658,2.151,4.244,3.125,3.684,3.676,-2.730,1.554,4.701,5.389,7.642,2.309,9.487,6.062,11.154,12.575,8.152,10.436,15.158,17.506,15.779,18.036,13.556,16.607,18.123,17.714,20.472,25.643,27.263,21.548,22.351,27.725,23.211,31.157,28.736,29.407,28.766,30.977,35.894,34.417,32.615,35.281,33.545,34.698,38.403,33.551,40.847,43.177,38.270,42.918,39.625,46.833,42.934,39.765,46.319,46.098,45.663,47.247,48.924,50.097,46.927,48.942,42.760,44.912,45.333,53.431,53.929,43.252,46.659,47.352,51.903,53.488,47.516,42.635,41.086,42.841,41.456,38.042,40.666,36.554,40.064,37.901,36.951,37.775,32.264,31.472,34.872,35.023,30.731,28.293,32.108,32.016,26.600,25.787,26.482,20.697,23.357,27.596,24.272,18.934,17.643,19.818,17.042,14.303,17.626,16.468,11.843,23.051,33.380,97.798,230.609,345.085,294.693,177.794,51.120,18.557,9.811,10.094,6.819,3.379,3.134,5.301,3.917,2.135,5.553,2.791,2.387,1.004,-0.092,0.902,-0.023,2.943,-2.366,-0.657,0.808,1.876,3.021,10.574,7.519,8.504,6.073,1.116,
275,-38.488,-32.829,-23.749,-20.415,-17.605,-18.112,-19.046,-15.583,-16.616,-15.355,26.716,441.059,1252.096,1233.682,317.243,21.894,-6.931,-8.137,-9.336,-5.367,-4.038,-3.397,-1.701,-1.533,1.354,17.779,35.267,38.312,19.142,6.548,1.736,2.716,2.963,3.970,3.803,2.810,4.802,5.457,4.159,3.560,6.435,7.024,11.476,8.498,9.689,7.745,10.143,7.967,13.848,9.106,13.383,11.980,12.232,13.986,12.128,9.881,21.029,23.044,19.462,15.398,22.909,19.310,22.590,23.819,25.857,24.026,27.536,24.295,23.625,27.977,30.909,31.544,33.000,30.584,35.303,36.923,35.207,35.036,39.685,41.314,35.869,41.770,39.052,36.720,37.590,43.654,44.626,39.842,40.297,42.272,43.153,40.445,42.558,39.396,41.832,45.301,45.665,43.304,41.806,40.882,40.865,42.527,46.057,42.412,43.421,41.756,38.227,43.049,44.301,35.500,35.528,36.898,40.028,33.317,39.772,38.112,32.954,34.688,33.277,32.000,31.564,31.829,28.677,30.704,24.209,30.662,23.221,23.231,25.450,23.247,24.343,20.709,21.850,21.352,19.715,16.399,16.236,15.257,19.811,15.790,16.285,13.663,14.218,15.343,13.627,9.140,19.483,34.816,118.905,260.984,344.121,312.240,145.390,48.680,14.081,8.793,3.884,8.185,6.208,5.094,1.554,5.797,5.825,3.105,0.534,0.070,0.072,0.083,-1.055,0.094,1.027,-3.177,1.969,3.183,-2.689,-1.207,
280,-30.681,-28.919,-19.149,-19.083,-19.172,-16.663,-15.289,-16.187,-11.982,-11.703,-10.930,-8.886,-6.510,157.851,993.709,1468.311,696.054,101.224,-2.040,-1.380,-3.820,-0.682,0.946,-4.433,-1.448,1.527,0.705,6.002,21.646,29.695,36.586,28.609,11.815,6.439,7.814,9.824,5.987,7.701,6.168,9.845,8.026,9.744,9.757,10.795,12.238,11.737,15.602,17.024,13.558,14.047,12.528,12.071,16.847,20.286,15.409,18.023,22.942,19.068,20.526,22.139,22.226,27.062,25.552,27.284,27.399,27.441,28.817,30.382,31.567,30.081,32.315,31.622,33.115,33.138,35.155,35.014,37.582,38.224,35.687,38.134,41.321,36.483,38.791,38.834,39.893,32.848,35.935,38.021,37.427,39.321,34.133,42.607,39.949,41.433,42.187,41.509,41.831,42.259,42.338,38.976,42.219,41.083,41.849,39.362,39.173,41.651,35.926,36.026,35.567,36.721,38.571,34.507,29.661,36.523,33.479,31.606,32.934,36.034,36.313,30.821,28.576,31.951,26.115,28.268,25.226,26.355,24.341,27.824,25.254,21.625,24.616,25.383,21.746,20.757,21.708,22.320,16.749,19.468,14.262,15.864,17.690,11.696,13.590,12.814,14.479,12.387,15.573,10.680,8.391,8.521,9.977,14.325,44.024,142.660,281.270,371.996,295.748,147.332,47.045,12.297,7.779,5.684,4.216,3.953,5.986,4.052,1.181,1.095,-2.069,3.303,0.852,-1.363,4.340,1.481,3.128,-2.415,
