"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP02_240625"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","30/07/2025 12:50:38"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP02_240625.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-185.827,-164.342,-96.141,-115.561,-60.221,-26.238,-46.943,-21.772,-50.181,-61.423,-70.574,-52.528,-55.864,-56.647,-48.097,-55.410,-54.340,-40.985,-45.086,-40.158,-39.272,-39.120,-40.339,-40.606,-34.557,-34.822,-40.902,-27.837,-29.339,-32.607,-26.972,-30.966,-25.952,-19.798,-17.484,-13.085,-21.184,-16.991,-13.331,-15.401,-9.396,-15.011,-14.144,-13.787,-11.114,-8.229,-11.736,-8.046,-14.764,-10.302,-1.028,-16.938,-1.940,1.936,-5.373,1.708,-6.700,1.187,-0.791,2.891,9.606,3.261,15.415,14.093,20.839,12.458,15.983,13.024,16.895,17.463,33.913,19.406,18.145,20.284,16.038,24.731,13.171,25.132,22.201,39.604,29.428,32.405,24.205,38.751,43.104,18.695,27.658,23.653,31.216,27.869,30.717,38.869,28.625,36.860,30.120,37.259,36.476,27.611,20.324,32.251,28.808,29.158,16.731,33.825,33.730,22.782,25.989,31.022,18.616,24.238,6.097,13.714,27.051,66.075,108.715,166.582,92.957,54.168,16.230,11.101,9.432,10.616,4.546,15.626,6.905,7.471,2.295,3.240,-2.939,-1.131,0.448,-2.136,-9.254,-1.069,17.418,3.353,0.433,-2.083,3.449,-6.431,-6.321,-8.378,-11.701,-13.907,-18.188,-19.758,-20.535,-14.435,-21.573,-13.384,-16.093,-24.743,-21.117,-10.686,-21.217,-30.126,-25.559,-25.446,-26.775,-18.119,-26.803,-28.456,-36.169,-35.911,-33.348,-31.972,-29.081,-34.019,-34.186,-34.049,-33.330,-43.645,-34.511,-32.661,-44.477,-40.506,
245,-87.070,-103.208,-87.024,-81.157,-72.349,-70.848,-55.509,-36.705,-8.762,-3.051,-38.058,-32.041,-43.216,-37.734,-42.625,-42.571,-38.078,-36.624,-36.738,-37.139,-33.072,-32.412,-31.085,-30.721,-30.729,-29.389,-26.814,-25.693,-27.058,-22.089,-21.350,-22.005,-19.468,-24.642,-19.754,-17.409,-17.628,-19.580,-13.556,-13.267,-9.797,-16.123,-9.645,-12.047,-7.392,-5.453,-8.896,-6.656,-11.392,-1.655,0.744,3.152,0.822,2.821,6.908,0.540,2.924,1.691,8.542,14.880,4.174,12.479,22.053,20.545,22.116,24.262,14.650,14.792,24.657,27.960,25.105,17.315,23.154,34.338,21.498,26.586,22.461,28.999,36.996,25.506,22.935,31.168,39.325,27.648,34.971,37.155,30.254,30.350,47.189,34.454,37.591,41.590,35.047,31.157,35.370,34.302,39.978,35.276,37.022,37.311,21.838,25.827,34.790,27.691,33.064,28.779,18.515,18.836,23.445,25.463,19.803,19.757,25.630,19.152,24.712,15.970,22.424,34.493,58.105,108.958,167.710,141.508,74.179,40.438,19.135,21.963,18.125,12.426,-0.827,6.728,-0.803,1.245,9.101,-3.870,-2.011,-1.572,5.963,-2.918,5.144,-5.448,-0.768,7.332,1.349,-1.445,-1.334,-0.847,-7.241,-15.724,-9.145,-6.782,-8.558,-22.837,-12.822,-22.060,-13.620,-17.777,-18.727,-15.536,-22.406,-24.392,-16.795,-14.898,-26.420,-20.769,-22.068,-23.500,-24.614,-26.348,-24.250,-30.462,-29.476,-24.493,-32.395,-28.853,-23.506,-26.085,
250,1092.901,615.243,63.225,-38.759,-44.211,-53.926,-41.987,-52.285,-40.182,-29.222,-23.167,7.565,13.094,-23.321,-29.115,-28.665,-31.240,-27.975,-25.112,-22.235,-26.865,-25.926,-20.272,-16.029,-22.950,-21.679,-21.788,-20.855,-16.905,-15.985,-22.069,-15.841,-17.092,-13.654,-17.222,-13.217,-9.272,-1.883,-11.251,-8.545,-7.157,-8.503,-3.826,-3.097,-2.666,-6.697,0.486,-3.427,1.569,-2.543,-2.534,-1.236,1.745,7.242,8.226,5.080,12.572,13.589,7.795,7.784,13.397,15.878,17.498,18.756,19.803,29.992,20.066,23.662,28.528,33.581,25.027,24.629,25.464,19.353,28.116,26.435,33.286,30.319,32.699,29.775,34.923,25.600,36.274,38.338,46.257,40.482,29.326,32.892,36.388,38.857,34.041,41.923,35.923,36.256,38.406,46.340,25.101,41.143,42.927,35.647,40.733,38.939,28.865,30.158,32.546,38.234,37.851,28.687,38.453,32.555,29.738,24.910,20.042,28.579,25.297,24.490,29.974,21.178,21.231,20.243,17.847,19.908,28.276,71.353,128.815,173.679,141.038,79.377,37.852,10.929,12.714,17.630,8.118,2.565,9.082,9.394,10.292,3.197,-0.831,10.046,0.130,-0.383,1.254,-2.196,-3.055,-4.639,2.700,-1.363,5.622,3.984,-3.121,-5.725,-11.190,-8.296,-9.818,-11.458,-9.839,-15.736,-8.371,-10.897,-13.361,-15.183,-15.836,-12.969,-21.384,-17.792,-14.124,-18.011,-24.228,-17.879,-21.118,-22.504,-26.410,-20.115,-24.093,-21.218,
255,-32.026,266.284,941.972,854.784,294.141,-18.908,-38.280,-40.720,-41.040,-38.207,-33.944,-34.788,-22.569,7.433,26.627,30.043,-5.553,-23.648,-23.619,-22.010,-22.219,-17.778,-23.258,-22.382,-23.778,-19.973,-21.492,-18.195,-18.109,-10.875,-17.414,-14.445,-15.615,-4.270,-8.747,-12.248,-12.839,-8.989,-8.829,-6.180,-9.567,-4.993,-6.684,1.956,-1.354,-3.061,2.961,1.332,-2.081,4.250,4.772,4.406,2.913,5.880,8.869,13.889,9.422,17.216,10.031,25.868,26.072,26.213,34.907,17.270,25.807,31.347,36.453,39.172,31.170,34.902,44.683,34.864,33.931,43.986,37.865,43.174,48.552,45.905,48.858,45.191,53.687,48.389,39.168,62.663,55.026,56.334,51.159,44.331,54.416,51.360,48.331,55.616,39.241,56.989,49.589,54.552,52.064,40.278,56.208,45.770,53.034,48.930,48.049,55.081,39.639,40.241,40.976,48.502,40.350,35.773,43.518,48.603,37.042,36.819,42.109,31.133,42.232,38.329,37.809,39.952,34.750,33.657,38.057,24.024,27.640,21.083,21.276,41.377,80.184,165.133,203.214,192.936,113.948,43.799,24.268,13.275,2.859,11.053,4.846,13.505,8.106,12.252,7.898,1.953,5.989,-0.189,-0.920,-0.849,10.245,0.015,-7.147,0.856,9.613,-2.880,4.272,4.039,-2.642,-3.757,-5.678,-8.096,-10.918,-14.985,-11.626,-6.737,-13.138,-12.947,-10.710,-8.361,-11.766,-19.659,-16.894,-18.096,-15.952,-19.620,-19.429,-20.457,
260,-80.610,-62.815,-53.604,51.795,455.919,969.191,667.014,90.919,-24.116,-32.015,-27.132,-27.419,-19.716,-24.689,-24.909,-15.813,10.448,32.631,27.523,0.893,-9.684,-16.647,-12.758,-12.336,-12.987,-11.661,-12.856,-12.857,-9.821,-7.786,-7.803,-6.879,-3.978,-10.891,-8.195,-2.376,0.901,0.325,-0.983,-1.038,-0.464,3.914,1.031,0.992,6.125,3.297,-0.870,2.846,2.785,5.710,7.892,5.329,6.977,11.775,12.291,13.679,17.895,19.901,18.382,17.767,19.437,25.670,30.316,30.813,24.439,32.342,29.087,31.286,31.785,35.194,30.378,42.169,34.364,38.042,38.474,36.750,33.190,37.944,43.669,43.351,48.685,37.912,48.868,52.141,43.859,49.831,56.506,48.209,55.529,52.324,46.939,50.618,51.908,54.594,54.923,50.605,50.263,52.450,48.434,49.736,52.943,53.095,51.474,46.909,43.457,46.387,53.424,48.912,49.730,47.092,38.597,45.031,48.071,38.497,32.789,39.316,31.488,32.657,32.371,35.616,40.878,31.000,24.585,31.397,28.551,24.807,24.108,25.627,19.452,17.790,15.985,23.974,36.058,73.418,152.645,250.526,217.472,141.454,46.545,17.959,15.689,18.450,13.415,15.014,19.214,6.867,0.756,6.878,0.507,10.793,2.953,2.404,-1.045,1.685,5.476,4.316,-0.344,0.884,8.174,3.396,1.398,8.410,0.090,1.477,-3.735,-4.298,-10.531,-7.250,-12.878,-13.143,-7.222,-5.127,-9.344,-10.783,-9.254,-12.069,
265,-62.618,-46.630,-36.090,-33.663,-27.826,0.980,295.179,948.034,860.020,273.256,6.836,-18.188,-17.452,-18.305,-16.894,-14.750,-11.971,-13.969,-3.272,15.906,27.336,26.165,6.839,-2.591,-8.167,-7.845,-7.504,-5.884,-8.320,-7.656,-3.295,-8.614,-2.227,-4.279,-1.344,0.442,2.895,0.311,3.253,5.440,3.377,0.713,8.187,2.300,9.039,2.730,8.673,4.337,12.019,8.285,8.980,10.032,9.064,11.447,9.243,14.232,14.854,8.662,13.150,21.078,26.740,22.827,19.348,23.152,26.240,28.050,33.152,32.382,30.563,34.891,29.130,28.700,35.339,38.875,35.451,33.518,37.846,34.732,36.496,38.128,43.341,38.183,41.111,38.283,50.861,43.474,39.796,47.031,45.352,45.639,49.296,53.351,43.333,52.257,40.384,46.589,40.833,43.349,52.480,44.847,50.584,43.979,42.510,49.070,50.705,42.918,43.131,38.649,41.815,42.351,38.079,39.961,39.394,28.568,36.993,34.378,35.924,36.073,42.113,35.122,25.442,32.345,28.106,32.088,35.698,25.597,23.588,26.732,27.181,23.741,21.495,28.806,22.398,19.544,23.802,18.836,16.274,31.662,85.047,152.831,221.672,196.280,107.645,46.825,22.366,18.343,6.674,11.281,8.956,6.953,8.212,2.674,0.714,2.812,4.964,-0.031,0.913,0.446,-0.797,-1.175,-0.245,1.730,0.853,2.365,4.780,4.725,10.419,11.118,-0.265,2.905,0.737,-2.629,-4.664,-9.364,-7.775,-0.811,
270,-49.777,-42.792,-19.622,-27.355,-23.181,-22.848,-17.380,-21.342,79.761,564.547,980.182,545.222,109.960,-6.361,-12.900,-10.821,-11.657,-7.237,-4.684,-8.850,-7.407,-2.791,9.199,26.903,33.763,15.757,5.246,-1.629,-2.473,-2.377,-2.325,-0.343,0.478,-1.599,0.647,-1.252,3.362,6.253,7.865,6.499,10.191,8.392,7.327,8.708,6.900,12.592,15.044,14.137,10.820,20.072,16.557,17.611,13.829,19.209,18.616,14.834,17.723,22.425,16.867,21.788,18.347,24.590,27.420,26.992,25.719,27.410,26.387,29.105,27.759,35.081,31.629,32.627,32.536,35.943,31.797,31.223,29.901,35.526,36.831,42.913,38.967,44.354,39.928,44.860,42.876,40.881,43.806,48.303,41.871,45.503,45.486,47.081,38.519,47.945,42.946,41.522,44.024,45.386,48.205,42.648,49.407,47.893,46.629,47.940,42.784,46.259,45.366,43.764,41.574,42.539,42.900,39.063,40.407,35.852,35.022,32.796,41.742,39.259,34.650,30.373,35.287,28.757,31.987,30.106,27.623,27.826,23.476,23.960,25.043,25.744,20.923,21.079,23.893,22.541,17.921,19.160,19.649,19.109,16.879,14.655,13.739,12.065,33.764,81.469,158.666,235.677,210.080,124.882,37.946,17.712,8.491,5.392,5.450,3.625,6.715,1.482,3.068,3.878,3.442,5.949,4.455,-0.242,1.276,-0.837,1.929,-3.058,1.258,-1.730,-1.680,-2.166,4.907,6.240,1.791,7.244,6.255,-1.595,
275,-36.554,-32.310,-21.402,-20.785,-19.250,-15.880,-18.785,-18.418,-18.102,-13.772,13.102,308.217,870.647,831.960,223.247,11.505,-2.984,-7.654,-4.867,-6.529,-1.372,-4.048,-3.153,0.905,3.220,15.215,45.014,32.148,18.480,12.673,4.367,2.986,1.723,2.209,2.484,9.985,7.349,7.550,12.680,9.389,10.190,11.969,12.459,10.141,13.992,14.038,13.221,14.425,16.429,18.137,13.220,18.162,18.225,17.961,22.545,21.957,22.675,17.758,19.151,21.788,26.133,26.209,25.599,23.060,23.849,22.516,30.869,34.285,27.005,31.406,27.286,30.300,30.414,31.663,37.397,32.110,35.519,35.290,40.044,34.211,37.795,40.110,37.646,38.761,37.252,35.820,35.918,40.269,41.871,40.282,40.770,41.876,44.786,41.661,44.381,43.946,46.617,48.856,38.549,43.192,38.025,38.591,40.339,43.274,43.204,38.412,35.221,37.751,35.587,42.177,35.675,34.719,31.181,42.024,32.341,32.002,33.409,34.425,33.836,30.355,27.321,25.797,29.067,28.761,26.264,26.716,27.657,28.835,26.395,26.313,24.928,26.784,23.068,19.390,19.488,16.870,12.696,19.063,10.371,16.763,15.308,12.397,12.887,10.872,12.448,14.788,6.942,30.616,85.948,169.514,237.088,211.893,103.442,39.934,13.870,11.337,7.325,4.021,1.754,8.551,4.296,5.385,0.556,1.788,0.192,3.111,-3.006,1.983,2.217,-0.092,1.730,-4.979,0.991,-1.970,2.305,2.689,
280,-34.378,-27.987,-24.869,-21.380,-14.187,-17.686,-16.561,-14.206,-14.009,-12.407,-11.181,-10.545,-4.255,113.145,618.948,924.416,448.247,62.910,-2.876,-3.774,-1.834,-5.222,-2.824,-0.219,-2.164,-2.440,4.278,2.672,16.147,32.878,37.394,22.569,11.224,6.918,7.154,10.296,7.898,14.060,12.830,12.656,14.517,12.371,12.405,18.099,14.370,16.911,20.297,18.283,21.521,20.459,18.836,16.785,17.290,23.223,21.254,24.953,21.944,23.460,23.485,24.045,26.523,24.397,25.802,23.445,27.915,30.572,30.771,28.612,31.945,28.759,35.707,32.711,28.726,36.450,30.498,37.558,37.451,37.788,38.450,35.199,39.053,42.277,43.813,36.359,33.356,45.263,39.101,38.392,38.103,44.107,41.141,39.880,40.952,42.189,44.025,40.710,41.353,37.664,42.367,39.378,43.912,43.335,38.338,41.669,38.484,41.349,38.081,38.150,39.489,32.767,32.671,34.678,31.607,33.267,33.545,38.881,33.805,30.999,31.254,27.503,28.693,26.884,29.601,31.405,29.243,27.173,28.965,22.121,23.253,19.265,22.502,19.740,17.524,18.334,21.133,19.978,18.580,17.392,15.670,17.863,15.322,13.483,12.334,14.558,12.489,14.777,11.635,15.871,10.521,6.876,8.700,10.536,33.940,100.383,191.896,244.715,184.586,99.519,36.349,10.771,2.262,2.445,6.075,1.685,4.898,1.617,4.303,1.282,1.754,2.643,-0.152,-0.106,1.707,-0.209,-2.052,0.284,
