"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP02_1006"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","17/06/2025 10:06:59"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP02_1006.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-176.036,-137.223,-96.412,-88.546,-47.686,-3.071,-29.558,-51.242,-74.669,-58.968,-56.399,-58.005,-56.420,-45.199,-37.348,-52.226,-46.413,-38.243,-42.186,-31.555,-37.647,-37.020,-33.541,-34.656,-28.182,-30.436,-31.009,-34.340,-31.091,-27.906,-27.466,-16.419,-29.432,-18.212,-26.147,-25.557,-25.820,-15.107,-17.093,-14.135,-8.573,-18.710,-15.637,-12.033,-8.966,-14.626,-18.323,-11.505,-12.656,-8.451,-9.095,-0.520,-13.045,-0.140,2.490,1.924,5.754,12.552,3.122,5.995,3.947,6.633,5.497,6.450,5.006,13.998,15.835,3.122,9.393,23.509,19.213,14.123,12.359,34.868,34.134,30.115,10.240,25.705,18.585,23.665,31.487,27.772,34.248,21.392,23.229,24.897,29.317,30.577,30.052,31.558,36.943,23.167,31.655,24.286,38.358,35.042,20.233,23.847,24.547,26.056,22.341,22.309,24.003,21.208,22.003,10.935,28.918,23.145,22.817,23.718,26.105,23.805,125.957,417.519,934.731,1088.436,847.939,362.257,106.273,31.895,9.754,8.915,11.809,5.183,10.813,10.797,10.442,-1.071,7.389,6.761,-2.063,-3.061,-4.010,-2.301,-2.859,3.183,6.658,9.890,-7.929,-2.138,-9.093,-8.823,-13.609,-13.459,-11.422,-9.004,-18.986,-17.412,-20.017,-18.958,-18.249,-19.072,-21.807,-18.021,-26.309,-17.868,-23.498,-27.829,-27.414,-23.299,-31.156,-24.996,-22.194,-25.378,-21.341,-26.128,-29.730,-27.315,-29.245,-31.643,-36.999,-40.924,-31.964,-36.938,-40.745,-28.834,
245,208.166,-79.088,-52.459,-76.773,-60.065,-58.654,-52.449,-16.995,8.577,-11.286,-7.192,-32.677,-34.949,-31.735,-34.910,-31.083,-24.524,-27.569,-30.250,-28.784,-28.891,-28.935,-27.488,-24.650,-28.365,-29.593,-27.050,-16.598,-23.419,-23.329,-20.550,-19.106,-17.391,-21.452,-19.750,-16.850,-4.409,-18.263,-15.694,-15.368,-15.189,-13.480,-17.835,-12.506,-10.642,-11.318,-2.666,-2.415,-5.451,-2.420,-2.328,-2.484,-6.936,-1.150,9.965,-0.926,0.707,8.458,13.105,9.105,3.243,15.477,16.811,14.426,14.587,20.788,26.637,19.218,12.204,19.155,24.008,23.195,9.355,23.318,21.308,22.833,23.815,33.814,26.582,30.538,28.070,20.720,34.218,26.789,29.116,30.228,28.215,30.390,24.813,31.559,24.323,28.281,35.512,27.981,32.355,31.171,28.918,25.827,27.989,31.037,31.585,29.209,31.984,29.609,18.454,30.235,30.302,23.648,16.124,19.290,18.815,20.093,18.494,26.877,16.222,21.692,31.357,132.994,443.491,1002.513,1307.002,1034.865,580.124,159.741,33.962,17.642,13.054,8.909,8.158,7.567,-3.154,8.758,-1.828,-3.487,-0.568,5.925,0.570,0.989,-3.303,-0.323,-2.869,10.568,10.603,-6.989,9.259,-4.203,-0.397,-10.076,-12.634,-7.296,-13.509,-5.863,-10.799,-10.346,-16.416,-5.701,-18.171,-14.148,-14.342,-10.388,-10.326,-21.404,-15.552,-22.803,-24.121,-24.697,-22.212,-27.071,-24.275,-26.053,-24.815,-27.901,-32.043,-30.320,-27.765,-24.744,
250,11029.512,6588.297,1137.171,31.592,-43.631,-29.984,-40.455,-34.411,-33.965,-26.836,-17.408,23.425,2.718,-8.148,-24.765,-21.938,-24.262,-25.881,-20.798,-19.932,-20.511,-23.497,-16.235,-20.973,-20.542,-19.395,-18.345,-17.030,-18.553,-11.947,-12.402,-14.902,-13.506,-14.225,-11.000,-16.082,-13.030,-10.241,-2.820,-11.172,-9.821,-0.264,-4.103,-7.099,-6.761,-3.935,-5.435,-3.080,1.437,2.378,-3.985,1.407,1.858,7.342,13.948,4.829,4.030,9.680,9.757,7.880,19.776,12.967,11.775,15.539,24.273,13.260,21.913,21.971,22.912,33.577,22.726,21.255,34.095,19.687,21.811,28.558,24.606,27.019,28.935,27.270,33.144,29.073,37.372,37.108,31.971,33.202,40.153,37.823,30.164,32.933,38.004,35.259,34.589,35.246,32.244,43.499,37.801,28.049,32.325,31.965,32.623,40.089,34.265,27.767,37.245,25.082,31.597,32.787,24.869,26.984,27.601,30.283,26.301,34.897,18.630,23.390,20.297,20.571,20.411,21.581,20.066,28.788,145.693,520.222,1088.239,1461.918,1189.638,623.944,197.974,28.443,5.676,3.002,13.788,6.188,11.965,12.186,3.369,10.447,9.293,6.322,8.548,4.020,2.117,3.100,-0.416,7.615,0.534,1.129,7.412,6.349,8.370,-5.188,-10.187,-4.748,-8.501,-4.295,-9.236,-13.343,-8.930,-12.381,-8.408,-15.555,-11.625,-11.264,-12.442,-7.849,-12.969,-13.662,-16.478,-18.855,-22.393,-23.534,-16.476,-13.642,-16.584,-14.400,
255,412.305,3338.162,10321.960,9205.882,3541.310,314.876,-22.560,-31.715,-24.640,-25.333,-18.077,-8.244,-10.939,14.812,20.459,27.764,-6.853,-12.258,-14.659,-20.947,-20.275,-20.223,-21.763,-13.429,-16.140,-13.704,-16.160,-11.955,-11.382,-9.289,-10.607,-11.218,-12.042,-10.651,-8.682,-9.732,-9.941,-9.491,-5.172,-9.455,0.442,-4.305,-6.436,-6.194,-3.001,-4.370,1.129,3.903,0.905,0.468,3.847,1.229,8.761,10.583,13.001,17.593,11.852,6.830,10.933,16.486,18.331,17.223,21.057,25.655,24.301,18.754,22.465,33.969,33.466,32.335,34.560,23.326,31.055,48.569,29.672,36.705,37.544,41.673,38.785,40.226,38.516,42.244,49.952,53.332,49.792,44.470,42.436,53.562,45.872,45.251,55.779,41.335,45.623,38.349,46.146,46.284,43.141,48.976,39.834,41.870,40.609,48.047,44.087,41.831,42.006,34.021,36.285,38.464,39.060,41.965,43.444,38.549,35.431,34.770,22.955,38.537,31.619,28.590,27.504,23.932,25.149,38.263,29.262,28.384,30.570,20.138,49.990,181.576,591.848,1396.259,2047.137,1802.393,936.869,321.370,64.775,13.733,10.936,15.286,12.092,6.668,12.085,9.364,15.800,6.148,10.194,2.859,0.040,1.297,1.164,-2.182,2.157,13.274,7.268,5.414,4.606,12.392,7.228,3.744,-2.433,-2.779,-5.302,-12.476,-11.400,-5.127,-10.890,-13.520,-12.767,-12.984,-13.247,-14.228,-13.920,-14.386,-17.361,-21.913,-12.825,-15.639,
260,-60.477,-51.332,8.469,1016.718,5830.825,11105.903,7282.350,1587.560,42.295,-4.297,-16.934,-11.584,-7.788,-11.080,-4.467,-3.329,11.506,41.153,46.729,5.314,-10.248,-13.270,-12.512,-8.333,-8.247,-10.846,-9.473,-8.754,-6.379,-3.551,-4.182,-4.115,-6.467,-3.737,-4.920,-3.872,0.422,-1.655,-3.301,-4.757,-2.288,-2.038,0.564,0.905,-1.668,-1.925,1.037,1.703,1.677,3.992,4.690,7.037,14.657,12.389,9.240,15.018,11.344,13.685,17.577,10.941,15.813,22.399,24.070,24.133,19.654,26.831,25.104,31.609,29.834,33.679,35.782,32.881,36.579,33.656,39.279,28.433,36.678,41.245,43.170,41.760,37.009,44.598,42.680,40.181,38.846,37.322,34.548,42.823,53.453,49.806,46.566,44.994,44.533,49.584,50.162,47.449,48.355,43.986,46.085,51.879,45.373,43.946,43.370,47.122,43.999,40.107,44.086,41.635,41.872,36.904,36.369,38.372,37.068,36.835,42.302,42.719,37.201,27.953,29.530,29.829,27.954,26.625,33.101,31.138,27.093,26.718,25.978,22.015,26.837,21.427,25.734,30.925,151.627,587.542,1486.237,2268.475,2113.736,1218.602,402.865,72.933,16.636,18.060,6.408,10.997,6.474,7.272,10.295,11.522,8.496,4.436,-1.177,7.092,-1.964,1.218,2.123,-4.607,-2.414,3.571,3.168,11.243,10.774,12.090,0.753,7.752,1.903,-2.951,-5.874,-6.049,-9.332,-7.904,-7.618,-7.223,-5.547,-16.405,-4.805,-13.269,
265,-35.226,-36.073,-26.477,-17.927,-7.842,289.780,3444.471,10115.275,10296.438,3305.621,255.034,4.089,-5.747,-7.006,-10.358,-0.700,-4.507,-4.202,7.148,22.114,41.694,36.264,10.657,-1.446,-0.787,-5.724,-2.973,-5.005,-2.187,-3.795,-0.761,-2.661,-0.040,1.592,-1.483,1.107,2.257,3.055,2.682,2.682,5.001,2.687,3.346,2.511,1.912,3.869,0.127,6.273,3.294,5.421,6.003,10.746,13.073,11.922,13.609,10.186,18.145,13.020,21.599,16.696,23.606,16.431,21.380,24.864,18.656,24.669,25.306,27.354,26.669,27.928,27.038,34.075,28.847,30.784,34.192,29.886,33.889,28.355,32.620,35.462,42.241,38.925,35.587,36.847,40.373,38.860,39.819,45.038,48.463,38.490,41.460,41.751,38.525,41.528,43.449,40.929,40.888,42.966,39.759,42.064,42.005,46.974,40.566,45.540,42.742,45.296,42.354,44.104,41.318,32.384,41.546,35.180,42.962,31.154,33.420,35.611,35.363,30.759,32.411,33.665,31.556,34.838,29.363,26.218,24.701,24.093,27.435,25.989,22.898,26.319,23.303,21.067,19.788,20.778,21.690,19.795,33.688,194.039,738.910,1844.680,2479.684,2134.880,1106.382,313.480,54.723,15.179,14.295,7.432,20.513,13.173,11.667,8.479,9.033,3.289,-0.923,1.797,9.089,3.900,4.951,1.234,2.423,-1.088,2.611,-0.993,4.049,7.037,9.551,9.159,3.550,3.185,-0.446,-5.859,-6.497,2.148,-4.424,-9.143,
270,-26.038,-30.044,-26.441,-23.218,-14.790,-14.584,-14.501,27.055,1146.158,6800.658,12327.031,6696.937,1327.615,55.912,0.091,4.343,-0.523,2.269,2.657,0.695,0.262,2.950,25.435,33.801,41.978,11.972,10.116,0.421,1.758,2.342,6.223,4.680,4.741,1.111,-1.368,3.373,1.175,3.391,1.760,4.828,6.826,6.166,5.498,10.145,6.706,12.559,11.692,7.724,6.318,7.363,6.790,9.935,12.477,13.574,12.011,11.593,19.710,19.011,18.689,18.151,18.322,18.810,25.809,19.746,24.108,22.170,33.037,21.195,29.295,24.484,29.141,32.192,29.032,34.273,27.676,38.844,32.569,33.905,37.054,36.170,36.886,38.933,33.787,37.858,36.848,42.005,39.402,42.892,37.892,39.518,37.392,37.825,42.831,42.674,41.403,43.265,39.630,49.099,40.894,37.440,40.586,41.559,39.068,43.521,37.423,32.570,39.984,37.801,45.559,42.375,35.317,36.467,35.912,39.446,34.811,30.829,29.289,30.492,26.532,30.383,35.133,29.559,32.739,30.246,24.723,22.054,28.866,25.207,21.857,25.517,21.569,20.750,20.955,22.243,20.595,14.723,20.701,19.308,17.662,22.063,14.758,30.035,197.386,762.844,1851.265,2810.950,2500.308,1285.381,386.789,52.930,18.205,10.569,11.349,10.422,9.120,6.102,7.349,3.561,3.916,8.980,3.856,2.898,6.079,0.407,-0.088,1.621,4.202,1.666,5.074,-1.419,5.329,5.716,8.201,4.296,4.304,5.215,
275,-28.073,-18.145,-21.651,-10.048,-13.204,-7.635,-6.868,-5.191,-2.425,3.565,269.455,3854.940,10738.570,10405.577,2891.631,257.649,10.814,12.870,2.314,5.344,2.941,5.617,1.033,5.475,6.177,21.309,39.563,37.471,14.940,11.263,3.849,6.433,4.128,5.316,5.235,6.275,6.300,4.597,8.024,8.690,7.834,6.287,8.359,9.254,7.385,10.575,11.759,11.129,9.942,12.600,11.051,12.968,14.932,14.915,14.903,18.238,17.891,17.193,14.823,16.218,21.585,20.039,21.232,24.277,21.352,24.483,27.019,29.687,27.442,22.422,24.722,29.937,24.401,32.116,30.048,31.300,32.312,32.183,30.844,35.035,36.035,34.734,35.724,38.070,36.288,36.634,35.600,38.014,38.449,37.181,36.507,33.992,35.782,43.003,37.670,35.582,41.035,41.241,40.202,37.760,36.970,38.880,37.930,42.201,37.283,33.198,35.302,40.337,32.599,36.155,36.431,34.968,36.681,36.586,36.210,33.026,31.356,32.312,32.272,26.874,29.412,28.994,21.760,24.202,30.945,26.407,23.158,22.123,23.290,19.560,18.926,17.663,22.243,19.661,18.216,18.354,15.959,16.069,18.924,16.862,14.704,14.543,15.502,16.008,12.966,15.919,37.295,225.844,937.874,2139.713,2914.033,2496.353,1230.555,370.005,56.627,15.317,7.657,9.088,5.874,6.106,7.480,7.299,2.076,8.193,2.144,0.808,2.680,5.030,5.419,-0.226,0.227,3.267,-3.319,-0.949,0.880,-2.524,
280,-27.263,-13.848,-17.437,-9.319,-11.524,-7.068,-4.073,-8.201,-5.114,-2.362,-1.428,4.283,53.761,1521.968,8641.226,12889.842,6286.809,830.073,33.541,6.512,8.808,6.316,10.669,7.008,8.116,9.007,11.110,11.062,21.693,31.195,34.158,18.852,13.535,8.626,7.454,6.907,9.559,7.019,6.792,10.413,10.706,16.160,8.240,11.646,14.147,13.411,12.623,11.111,13.847,10.643,13.394,18.578,14.940,17.450,18.317,18.028,18.421,21.576,21.023,21.217,19.022,23.557,19.095,22.563,22.992,24.751,26.048,25.114,25.846,24.053,29.741,26.484,25.640,29.681,31.016,28.061,30.142,31.794,37.204,26.931,35.534,33.947,34.852,36.500,38.104,35.727,30.406,35.895,36.266,31.358,36.899,38.369,35.759,37.587,32.685,38.100,31.737,35.568,35.691,37.576,34.021,35.633,30.590,36.155,35.004,36.421,35.623,35.699,36.667,31.961,32.734,32.889,31.878,32.523,32.481,28.597,27.614,30.405,28.379,33.735,24.719,25.008,26.418,26.551,26.954,22.982,22.151,18.905,23.591,18.196,21.961,18.409,16.838,17.216,20.122,15.228,14.986,17.747,11.169,15.561,11.334,14.536,13.434,11.815,14.244,13.170,12.432,13.403,11.802,9.861,14.858,52.176,358.737,1133.631,2403.109,3153.457,2519.982,1261.120,321.752,50.150,11.792,5.863,6.686,4.063,2.699,5.563,6.212,3.640,3.687,2.816,4.668,2.634,2.240,3.839,2.253,-0.584,
