"Summary"
"[Software Information]"
"Software Name:","LabSolutions RF"
"Version:","1.12"
"[Data Information]"
"Data is:","Modified"
"Sample Name:","AP02_2705"
"Sample ID"
"Option"
"Analyst"
"Date/Time:","17/06/2025 10:25:28"
"Comments"
"[Instrument Information]"
"Instrument Name:","Fluoro"
"Instrument Type:","RF-6000 Series"
"Model (S/N):","RF-6000 (A40245500667SA)"

"Parameter"
"[Measurement]"
"Spectrum Type:","3D"
"EX Wavelength Start:","240.0 nm"
"EX Wavelength End:","450.0 nm"
"Data Interval:","5.0 nm"
"EM Wavelength Start:","250.0 nm"
"EM Wavelength End:","600.0 nm"
"Data Interval:","2.0 nm"
"Scan Speed:","6000 nm/min"
"[Instrument]"
"EX Bandwidth:","3.0 nm"
"EM Bandwidth:","3.0 nm"
"Sensitivity:","High"
"[Attachment]"
"Attachment:","None"
"[Auto Print]"
"Auto Print:","No"
"Report File:",""

"AP02_2705.fs3f - CorrectionData"
"EX Wavelength/EM Wavelength",250,252,254,256,258,260,262,264,266,268,270,272,274,276,278,280,282,284,286,288,290,292,294,296,298,300,302,304,306,308,310,312,314,316,318,320,322,324,326,328,330,332,334,336,338,340,342,344,346,348,350,352,354,356,358,360,362,364,366,368,370,372,374,376,378,380,382,384,386,388,390,392,394,396,398,400,402,404,406,408,410,412,414,416,418,420,422,424,426,428,430,432,434,436,438,440,442,444,446,448,450,452,454,456,458,460,462,464,466,468,470,472,474,476,478,480,482,484,486,488,490,492,494,496,498,500,502,504,506,508,510,512,514,516,518,520,522,524,526,528,530,532,534,536,538,540,542,544,546,548,550,552,554,556,558,560,562,564,566,568,570,572,574,576,578,580,582,584,586,588,590,592,594,596,598,600,
240,-138.432,-117.832,-89.578,-45.120,-27.700,-21.477,-18.576,-41.675,-56.052,-49.851,-47.355,-54.922,-55.989,-52.650,-40.142,-39.358,-44.534,-36.495,-40.018,-33.433,-39.599,-34.845,-34.174,-31.134,-26.454,-25.741,-27.504,-28.719,-23.783,-30.606,-21.639,-26.534,-31.535,-27.415,-22.714,-27.707,-23.861,-19.982,-20.265,-19.444,-18.315,-13.452,-15.152,-11.475,-15.623,-15.948,-13.423,-12.315,-9.982,-14.455,-7.865,0.956,-5.274,0.243,7.925,-1.246,-8.307,-0.349,10.409,-3.499,8.203,7.831,15.612,7.780,16.002,11.384,16.883,9.869,18.279,16.453,13.394,8.546,9.514,17.044,20.154,32.747,24.273,30.129,14.082,25.856,27.507,31.823,16.144,22.748,30.121,25.669,17.798,26.225,33.677,18.784,37.911,30.484,19.285,19.165,27.334,25.104,29.666,25.349,26.807,37.591,21.803,16.130,23.935,19.049,25.005,32.961,16.856,25.899,17.530,15.782,7.815,16.089,72.137,247.771,489.071,621.219,486.450,215.095,75.326,13.334,17.423,11.563,3.468,-2.231,7.831,3.480,7.520,1.424,19.390,-0.409,-4.460,9.682,0.508,-5.469,0.017,8.417,6.143,3.678,10.106,-11.989,-3.878,-8.795,-7.474,-13.060,-19.332,-16.146,-10.940,-18.251,-22.070,-20.038,-26.940,-10.087,-13.716,-23.630,-23.386,-17.704,-16.792,-23.296,-31.703,-24.290,-27.535,-32.291,-29.221,-34.419,-34.721,-33.436,-31.720,-30.783,-33.135,-37.063,-26.504,-34.887,-34.941,-35.669,-38.400,-26.930,
245,57.481,-80.395,-68.289,-60.078,-64.691,-53.593,-27.367,-18.308,-5.556,6.718,-21.054,-33.663,-37.667,-39.697,-34.570,-27.084,-24.570,-36.092,-37.683,-20.174,-30.708,-29.145,-26.664,-23.497,-29.039,-27.283,-16.621,-22.653,-23.572,-16.251,-23.141,-24.373,-20.828,-17.937,-19.002,-21.188,-13.476,-18.393,-9.917,-11.291,-15.137,-14.211,-11.076,-9.511,-14.705,-10.030,-3.682,-6.877,-12.404,-1.633,-1.215,-1.399,-6.813,1.682,4.729,-0.010,10.280,5.787,4.914,10.340,9.242,9.372,4.434,12.745,12.464,16.663,17.724,19.016,17.204,22.638,17.915,26.867,25.975,25.237,15.675,18.353,8.863,21.221,30.554,33.595,15.678,25.296,26.749,29.297,35.595,37.051,27.557,33.321,20.630,22.861,33.072,28.671,22.914,25.980,31.379,32.768,28.827,46.159,21.308,24.869,38.867,24.596,25.051,30.329,24.611,24.917,20.302,22.826,19.765,19.112,19.201,17.184,21.020,21.842,29.732,22.313,24.251,71.960,236.103,550.205,691.871,556.039,327.885,80.391,24.874,11.555,13.904,5.202,14.832,6.837,6.134,12.316,3.435,6.794,3.529,-4.909,2.671,6.913,-3.165,1.361,0.735,0.484,7.405,-6.161,-2.316,3.191,-1.225,-2.439,-8.005,-7.431,-7.374,-7.445,-8.358,-14.692,-11.938,-19.343,-16.134,-11.848,-19.876,-19.169,-16.160,-15.436,-11.265,-19.315,-27.047,-17.284,-24.642,-22.230,-17.625,-24.179,-15.586,-23.019,-17.688,-26.690,-18.516,-23.612,
250,5870.744,3187.242,542.984,-14.179,-37.236,-40.776,-35.040,-40.291,-27.701,-23.167,-1.688,13.497,16.636,-7.129,-18.810,-23.109,-25.339,-19.783,-23.932,-22.933,-18.868,-24.948,-7.897,-21.711,-15.393,-16.802,-20.574,-14.386,-15.986,-11.182,-12.404,-19.456,-16.598,-15.401,-12.207,-9.684,-12.840,-8.071,-10.756,-8.866,-6.588,-8.158,-9.723,-11.319,-7.182,-1.092,-2.655,-3.493,-4.170,0.019,0.336,0.531,-1.531,4.154,-0.193,0.767,6.224,5.784,8.468,15.683,11.051,11.927,13.251,9.459,15.264,19.638,21.071,15.755,19.542,20.945,31.965,27.195,34.861,31.954,24.952,19.089,29.485,30.881,30.087,25.711,29.225,40.072,33.648,35.863,30.262,31.925,24.438,30.172,36.656,32.839,25.880,31.474,41.440,29.595,23.818,38.453,32.587,24.063,35.638,39.615,39.476,32.325,41.338,29.191,26.684,26.471,25.776,24.318,23.720,27.957,23.445,23.006,22.053,19.122,21.153,12.641,19.244,17.323,16.046,19.763,21.964,30.632,80.748,281.375,562.906,770.058,602.543,316.319,110.658,15.906,9.499,7.690,11.249,16.688,4.221,7.303,1.528,12.286,6.900,-4.849,-1.321,3.037,0.830,0.606,-2.050,1.671,3.883,2.928,-2.075,11.558,1.635,2.068,-4.729,-0.959,0.082,-6.851,-12.077,-14.500,-13.489,-11.100,-11.858,-13.729,-14.268,-15.357,-9.833,-11.784,-18.140,-17.287,-17.080,-18.239,-20.572,-17.262,-16.798,-15.617,-25.195,-21.939,
255,195.348,1514.752,5059.231,4921.054,1779.423,161.509,-27.458,-16.370,-19.692,-21.365,-27.221,-22.129,-8.546,13.976,29.466,30.853,9.490,-13.996,-21.166,-19.893,-22.063,-19.737,-14.259,-18.399,-15.782,-20.173,-14.829,-12.375,-12.719,-16.041,-15.534,-11.242,-12.693,-9.191,-11.878,-6.116,-9.286,-7.041,-7.444,-8.155,-6.729,-4.939,-6.909,-2.834,1.663,-1.418,-0.510,-4.174,-5.541,-4.242,2.732,-3.219,2.712,7.100,6.880,8.467,7.118,5.143,14.382,5.793,23.221,18.716,18.444,19.387,16.834,27.813,26.111,26.884,21.583,27.026,43.397,21.761,30.722,44.194,44.282,32.819,32.850,37.173,28.803,40.222,40.179,46.223,42.776,31.762,32.795,42.857,44.332,43.098,31.096,40.427,45.910,36.903,45.248,40.766,41.506,43.645,46.576,48.205,36.982,49.400,35.034,46.553,39.450,41.989,48.636,34.588,44.964,33.296,35.490,32.718,25.833,36.864,32.139,25.244,29.202,30.997,25.854,36.086,21.570,27.662,20.333,30.147,16.782,25.624,21.528,31.003,33.647,87.435,323.789,782.383,1059.077,948.094,496.664,152.212,39.901,11.224,11.235,9.916,10.411,8.727,6.936,13.690,3.631,9.651,4.088,4.885,-1.175,0.176,3.354,-2.700,6.235,2.893,3.090,9.036,11.718,8.108,-0.234,-12.029,-6.674,-1.767,-3.346,-5.247,-6.621,-11.981,-5.381,-15.624,-11.649,-17.112,-17.725,-15.442,-9.781,-8.887,-17.703,-12.128,-13.601,-14.900,
260,-68.536,-53.537,-12.033,535.269,2907.576,5777.859,3788.366,722.066,19.148,-10.454,-18.095,-9.312,-19.055,-14.864,-10.124,-9.835,5.389,28.939,29.999,5.032,-5.841,-8.828,-14.899,-7.224,-6.552,-12.815,-6.914,-8.093,-10.567,-5.157,-8.022,-8.722,-7.788,-8.391,9.515,-2.783,-6.371,-3.082,-2.317,-2.231,-2.053,0.264,10.087,-2.157,-1.913,-4.767,-0.745,3.863,0.126,1.708,5.423,8.657,5.380,5.103,12.390,12.373,8.921,11.677,13.032,10.350,13.508,21.065,17.855,15.753,21.221,30.590,31.784,23.447,23.069,21.664,25.398,23.472,35.868,30.078,36.428,31.468,32.359,44.480,35.289,39.995,36.786,35.079,35.217,40.117,36.368,39.032,40.864,42.145,39.990,43.314,40.371,46.379,38.437,51.321,43.312,48.669,52.809,47.669,46.344,46.641,49.511,44.640,46.827,39.751,42.236,41.654,43.094,35.730,38.753,39.789,37.276,34.991,40.168,39.066,34.039,39.264,26.607,30.341,34.828,33.529,28.461,31.162,31.616,19.102,28.310,20.474,27.155,29.108,28.859,22.303,27.922,30.480,84.420,321.942,770.982,1231.157,1134.121,681.461,210.331,43.082,22.800,11.062,14.322,14.230,11.701,12.442,9.967,7.349,3.818,1.418,5.274,4.564,2.552,0.891,4.093,5.717,-1.122,5.183,8.415,8.055,11.848,13.333,1.940,-0.469,-6.262,-5.744,-7.038,-5.383,-5.183,-8.283,-11.192,-11.315,-8.325,-9.449,-10.831,-8.286,
265,-49.928,-32.412,-38.989,-26.220,-17.669,190.499,1789.416,5277.485,5163.285,1680.520,142.708,-0.130,-10.661,-11.036,-5.978,-11.662,-10.590,-9.335,1.018,22.216,47.905,32.253,17.662,1.911,-5.557,-6.334,-7.560,-7.634,-5.112,-6.070,-2.808,3.247,-4.131,-2.398,-2.827,-1.169,-0.965,0.898,3.778,-0.153,0.815,-0.010,0.067,5.509,4.051,-0.077,3.051,1.724,5.380,6.832,7.048,7.215,7.786,10.528,6.275,13.095,13.912,12.589,14.932,11.239,17.707,15.449,18.760,17.078,20.913,22.469,28.204,22.306,16.408,21.674,28.040,23.573,21.842,30.352,27.290,32.145,30.583,30.454,31.380,37.977,27.950,33.800,41.286,35.576,34.698,37.223,36.257,31.798,39.851,39.114,37.903,43.332,40.739,34.088,39.712,40.701,39.775,41.119,38.476,37.782,38.054,39.213,35.440,41.494,37.426,38.297,39.072,39.234,38.151,33.574,38.721,31.678,38.669,32.899,34.057,29.547,29.984,34.711,29.050,29.955,24.250,22.339,24.943,33.979,23.650,24.096,25.588,22.254,20.896,13.216,21.990,20.991,11.371,17.539,11.555,25.038,23.663,106.586,394.883,941.450,1318.593,1114.863,531.871,173.185,21.238,15.114,2.118,10.359,2.921,-0.833,8.343,8.865,5.430,3.260,11.109,-1.401,2.043,5.789,3.512,2.669,-2.459,4.424,4.343,4.473,0.706,10.739,3.138,5.061,4.077,1.868,-4.072,2.629,-5.487,-10.299,-4.394,-6.433,
270,-34.305,-31.913,-25.717,-18.568,-20.551,-14.804,-14.256,6.934,592.157,3569.579,6214.537,3512.640,659.762,21.152,-1.985,-4.449,-7.095,-3.459,-4.042,0.686,5.097,1.733,22.400,36.512,31.391,21.162,-0.082,-4.233,-0.882,-0.630,-0.984,1.501,4.761,1.042,2.150,0.887,2.309,1.955,2.691,4.050,5.233,3.959,8.456,4.299,7.340,7.256,7.103,5.035,7.199,11.746,8.462,10.624,16.354,8.849,11.678,11.721,18.923,13.044,14.766,17.898,14.708,20.391,21.510,18.845,22.266,20.054,22.235,25.854,18.658,21.134,22.525,23.021,25.491,25.270,27.014,28.274,27.794,29.864,36.767,34.970,33.856,41.662,33.609,38.673,33.964,33.567,36.151,36.190,35.922,34.341,34.444,45.509,33.129,37.528,41.532,34.218,43.389,32.491,39.290,39.424,39.871,33.954,44.614,38.432,44.108,34.003,37.440,36.224,33.724,34.895,32.915,30.776,33.263,34.221,33.120,28.639,28.408,33.438,28.933,27.785,21.387,27.641,34.503,24.180,22.470,28.802,23.145,22.801,24.816,20.384,21.824,21.467,18.605,22.876,19.434,19.417,16.786,13.789,15.444,10.716,15.662,24.816,109.477,390.441,951.281,1385.860,1275.223,696.123,198.162,30.002,11.754,6.159,7.382,10.679,4.002,5.073,5.090,3.796,4.119,4.414,0.422,3.527,5.322,-0.200,-1.285,-1.702,3.125,-3.984,-1.579,3.722,7.828,7.157,8.095,6.809,7.243,1.728,
275,-34.572,-21.914,-24.124,-17.855,-14.005,-12.158,-9.680,-9.702,-6.761,-5.019,137.887,1950.518,5377.725,5320.902,1480.916,142.623,3.515,3.409,-1.650,-2.418,-2.846,-2.510,-0.906,1.601,7.560,20.326,33.929,29.306,17.941,8.186,6.264,3.861,0.435,0.502,2.070,8.019,2.697,6.227,7.789,4.351,7.766,3.462,8.195,7.938,6.973,7.786,7.113,10.573,10.437,8.215,10.979,10.636,13.254,10.819,12.705,17.045,12.960,16.586,16.044,16.837,18.956,19.586,21.660,17.671,18.966,24.679,19.670,24.862,27.224,18.484,28.376,25.478,26.520,27.595,28.293,31.959,24.665,32.429,27.242,26.597,29.261,30.205,30.622,35.603,27.345,29.304,33.831,30.635,32.550,32.455,31.553,35.527,34.567,39.162,34.516,33.409,35.817,33.203,36.967,30.589,32.785,33.366,32.686,33.399,41.201,32.663,35.347,28.885,30.460,38.093,31.531,32.738,29.535,29.874,28.716,29.081,29.933,29.402,27.377,30.023,26.082,26.559,26.457,30.028,24.015,26.180,25.057,21.595,23.550,20.210,21.584,22.322,17.481,17.202,18.136,13.564,18.254,12.760,17.004,12.647,15.383,17.260,7.952,12.164,16.087,10.736,21.895,114.736,468.699,1071.272,1542.444,1248.165,623.571,181.907,35.638,7.073,4.227,5.574,5.253,3.096,-0.359,3.814,7.327,0.170,1.571,-0.466,3.602,-1.032,2.565,0.755,-1.158,0.731,2.730,-2.049,0.399,3.526,
280,-29.522,-15.995,-18.380,-14.089,-9.461,-12.400,-10.983,-11.024,-9.645,-7.563,-2.260,-2.089,19.204,754.339,4332.810,6469.964,3113.247,418.595,13.887,2.076,2.567,1.664,3.057,8.372,2.013,4.444,4.307,10.643,19.275,33.628,32.850,19.336,9.868,6.866,6.701,8.463,6.736,7.347,9.410,7.753,6.733,8.766,10.395,9.190,12.427,10.370,10.237,12.813,13.549,11.305,10.427,15.151,12.608,15.425,16.599,15.964,16.777,18.616,18.305,21.395,18.910,23.219,23.159,19.160,22.827,24.170,24.123,21.656,26.076,23.138,23.561,28.679,26.202,26.513,26.078,29.204,32.247,29.830,29.708,27.768,30.915,27.073,29.609,30.837,30.726,31.697,39.129,32.053,32.847,33.306,32.640,35.914,34.841,29.160,30.338,35.878,31.360,35.645,32.486,33.842,35.286,35.276,32.025,33.268,36.228,34.084,30.357,30.556,34.535,32.520,33.823,29.871,24.416,29.363,32.153,29.200,28.170,33.002,28.481,23.539,24.734,22.186,27.295,23.857,23.065,24.471,19.169,18.498,18.783,18.122,18.852,18.796,16.803,18.496,15.711,15.965,14.157,13.975,15.919,11.481,13.356,12.995,11.216,13.569,10.863,10.684,9.182,9.612,6.504,8.019,11.409,37.148,190.571,598.079,1225.769,1600.421,1302.738,615.481,176.544,28.013,10.097,2.942,4.318,4.606,4.037,1.338,1.633,0.134,3.184,0.018,1.218,2.710,-0.650,3.592,-0.050,-2.332,
